cust_id,segment,industry,region,facility_type,ead,rating_internal,leverage_ratio,interest_cover,ebitda_margin,years_in_business,past_due_12m,restructuring_flag,collateral_coverage,default_flag,dpd_band,dpd_points
30,SmallCorp,Manufacturing,GCC,TermLoan,1740094,5,2.68,3.78,14.3,12,0,0,0.63,0,Clean Behaviour,35
31,LargeCorp,Transport,Asia,TradeFinance,88781781,9,3.1,0.52,5.7,18,3,0,0.84,0,Mild Deterioration,55
32,MidCorp,Transport,Asia,TradeFinance,12409101,2,1,8.76,30.5,7,0,0,0.99,0,Clean Behaviour,35
33,MidCorp,Energy,Asia,Overdraft,15838166,3,0.78,4.49,26.4,4,1,0,0.82,0,Mild Deterioration,55
34,MidCorp,Transport,Asia,TradeFinance,9415613,2,1.62,3.89,21.1,5,0,0,1.15,0,Clean Behaviour,35
35,MidCorp,Construction,GCC,TermLoan,5745025,4,1.26,5.61,15.5,19,0,0,0.77,0,Clean Behaviour,35
36,MidCorp,Services,Africa,Revolver,5060079,4,0.8,1.84,26.2,12,0,0,0.86,0,Clean Behaviour,35
37,MidCorp,Services,Africa,TermLoan,5605671,10,3.26,1.39,19.7,11,4,0,0.58,0,Mild Deterioration,55
38,SmallCorp,Retail,GCC,Revolver,850799,6,2.31,0.1,17.9,8,0,0,0.58,0,Clean Behaviour,35
39,SmallCorp,Transport,Africa,Overdraft,1245296,8,2.91,3.13,7.1,16,2,0,0.7,0,Mild Deterioration,55
40,MidCorp,Services,Europe,Overdraft,13454288,2,0.99,3.08,23.8,9,0,0,0.96,0,Clean Behaviour,35
41,SmallCorp,Construction,GCC,TermLoan,2874346,5,0.2,3.97,11.6,12,0,0,0.87,0,Clean Behaviour,35
42,LargeCorp,Construction,GCC,TermLoan,30798483,3,1.9,7.95,23.6,16,0,0,0.88,0,Clean Behaviour,35
43,MidCorp,Services,Europe,TradeFinance,10516942,5,2.01,4.86,20.3,14,0,0,0.93,0,Clean Behaviour,35
44,MidCorp,Transport,Africa,TermLoan,22580457,4,1.28,5.03,23.8,15,0,0,0.83,0,Clean Behaviour,35
45,SmallCorp,Energy,GCC,Overdraft,1174696,7,2.35,1.98,16.6,7,1,0,0.85,0,Mild Deterioration,55
46,MidCorp,Services,Asia,TermLoan,4035171,5,2.95,3.44,18.5,8,0,0,0.79,0,Clean Behaviour,35
47,MidCorp,Construction,GCC,TermLoan,8345704,5,1.07,4.31,12.6,16,0,0,0.97,0,Clean Behaviour,35
48,SmallCorp,Transport,Africa,TradeFinance,1927108,4,1.63,6.09,23.5,2,0,0,0.99,0,Clean Behaviour,35
49,MidCorp,Retail,GCC,Overdraft,6924262,10,2.31,2.24,8.8,11,4,0,0.53,0,Mild Deterioration,55
50,SmallCorp,Construction,Asia,TermLoan,3484114,3,1.93,3.65,21.7,11,0,0,0.78,0,Clean Behaviour,35
51,LargeCorp,Transport,Asia,Overdraft,40651604,7,3.88,1.88,21.6,19,1,0,0.63,0,Mild Deterioration,55
52,SmallCorp,Retail,Europe,Revolver,911184,5,1.88,5.69,18.1,7,0,0,0.73,0,Clean Behaviour,35
53,SmallCorp,Retail,Europe,Revolver,1199908,8,2.55,3.92,13.4,6,2,0,0.73,0,Mild Deterioration,55
54,MidCorp,Manufacturing,GCC,TradeFinance,3590889,6,2.17,4.3,13.7,7,1,1,0.51,0,Restructured Account,95
55,MidCorp,Transport,Europe,Revolver,15747870,3,1.54,4.12,31.4,10,0,0,0.8,0,Clean Behaviour,35
56,MidCorp,Energy,GCC,TradeFinance,2573250,4,1.83,4.23,27,24,0,0,0.97,0,Clean Behaviour,35
57,MidCorp,Energy,Europe,TermLoan,11760038,7,1.42,2.25,17.1,14,1,0,0.92,0,Mild Deterioration,55
58,SmallCorp,Manufacturing,Asia,TermLoan,2436948,1,1.49,5.21,29,17,0,0,0.86,0,Clean Behaviour,35
59,SmallCorp,Services,Europe,Overdraft,703648,8,3.52,3.43,19.6,12,2,0,0.62,0,Mild Deterioration,55
60,MidCorp,Construction,Asia,TradeFinance,14353097,5,2.03,5.38,12.5,1,0,0,0.89,0,Clean Behaviour,35
61,SmallCorp,Construction,Africa,TradeFinance,2582108,6,1.86,3.11,14.4,5,0,0,0.77,0,Clean Behaviour,35
62,MidCorp,Manufacturing,GCC,Revolver,3713996,4,2.23,4.05,19.9,17,1,0,0.63,0,Mild Deterioration,55
63,SmallCorp,Services,GCC,Revolver,808716,4,2.15,4.44,14.8,12,1,0,0.46,0,Mild Deterioration,55
64,SmallCorp,Retail,GCC,Overdraft,861604,7,1.26,4.7,21,13,1,0,0.58,0,Mild Deterioration,55
65,SmallCorp,Energy,Asia,TermLoan,1103887,8,2.68,2.31,24.1,12,3,0,0.52,0,Mild Deterioration,55
66,LargeCorp,Construction,GCC,TradeFinance,83286458,5,2,3.41,13.8,23,1,0,0.8,1,Mild Deterioration,55
67,SmallCorp,Construction,GCC,TermLoan,2687456,2,1.22,5.03,20.8,1,0,0,1.04,0,Clean Behaviour,35
68,LargeCorp,Services,Africa,TradeFinance,69623687,8,1.53,4.38,15.6,14,2,0,0.5,1,Mild Deterioration,55
69,LargeCorp,Transport,Africa,Overdraft,48911032,7,2.34,1.36,12.7,20,1,0,0.96,0,Mild Deterioration,55
70,MidCorp,Transport,Asia,TermLoan,7821833,5,1.6,5.96,20.5,1,0,0,0.62,0,Clean Behaviour,35
71,LargeCorp,Services,GCC,Overdraft,103626539,8,2.45,3.76,22.4,13,2,0,0.23,0,Mild Deterioration,55
72,SmallCorp,Services,GCC,TermLoan,1543236,6,2.45,2.31,15.4,19,0,0,0.86,0,Clean Behaviour,35
73,SmallCorp,Services,Europe,Revolver,1040310,7,2.29,1.78,10.5,10,1,0,0.84,0,Mild Deterioration,55
74,SmallCorp,Retail,Europe,TradeFinance,2575491,8,3.8,4.3,16.2,5,2,0,0.71,0,Mild Deterioration,55
75,LargeCorp,Energy,Asia,TermLoan,20536059,4,2.3,4.76,25.3,10,0,0,0.68,0,Clean Behaviour,35
76,MidCorp,Energy,Europe,TradeFinance,5952258,9,1.32,0.93,17.2,16,4,0,0.84,0,Mild Deterioration,55
77,MidCorp,Services,Africa,Overdraft,5569338,4,1.48,5.1,22.2,10,1,0,1,0,Mild Deterioration,55
78,LargeCorp,Retail,GCC,TermLoan,46497603,6,1.18,2.12,15.9,12,0,0,0.87,0,Clean Behaviour,35
79,LargeCorp,Services,Asia,TermLoan,64306107,5,2.7,1.63,17,15,0,0,0.99,0,Clean Behaviour,35
80,SmallCorp,Construction,Africa,TermLoan,1449352,7,1.58,0.1,17,11,1,0,0.81,1,Mild Deterioration,55
81,MidCorp,Retail,Asia,TermLoan,4431599,6,3.53,1.68,4.4,11,0,0,0.57,1,Clean Behaviour,35
82,SmallCorp,Transport,GCC,TermLoan,817502,6,1.92,4.17,12.6,12,0,0,0.83,0,Clean Behaviour,35
83,MidCorp,Services,GCC,Revolver,15690306,5,1.23,5.01,23.9,6,0,0,0.82,0,Clean Behaviour,35
84,MidCorp,Transport,Asia,TermLoan,11410661,8,2.74,2.62,8.4,12,2,1,0.62,0,Restructured Account,95
85,SmallCorp,Services,Asia,TermLoan,1531322,4,2.3,4.15,29.3,5,0,0,1.02,0,Clean Behaviour,35
86,SmallCorp,Services,Europe,Revolver,1858804,3,1.84,3.25,27.9,15,0,0,0.87,0,Clean Behaviour,35
87,MidCorp,Manufacturing,Europe,Revolver,13448855,7,2.47,4.74,17.3,19,1,0,0.69,0,Mild Deterioration,55
88,LargeCorp,Manufacturing,Europe,TermLoan,123206451,4,1.9,2.91,7.4,13,1,0,1.02,0,Mild Deterioration,55
89,MidCorp,Energy,GCC,Overdraft,19898163,6,2.17,3.46,20.9,2,0,0,0.7,0,Clean Behaviour,35
90,MidCorp,Manufacturing,GCC,TermLoan,13343785,2,1.28,6.16,24.6,9,0,0,0.84,0,Clean Behaviour,35
91,SmallCorp,Energy,GCC,TradeFinance,2811393,5,2,4.32,13.1,8,0,0,0.72,0,Clean Behaviour,35
92,SmallCorp,Retail,GCC,TermLoan,841529,3,2.85,4.87,19,13,0,0,0.9,0,Clean Behaviour,35
93,MidCorp,Retail,Africa,Overdraft,11900110,7,3.16,2.99,10.2,1,1,0,0.57,1,Mild Deterioration,55
94,SmallCorp,Services,GCC,Overdraft,5036732,3,1.95,2.96,18.8,9,0,0,0.64,0,Clean Behaviour,35
95,MidCorp,Energy,Africa,Overdraft,8178520,6,1.9,3.9,14.8,13,1,0,0.83,0,Mild Deterioration,55
96,SmallCorp,Services,GCC,Overdraft,1789157,8,3.13,6.2,10,10,2,1,0.7,0,Restructured Account,95
97,LargeCorp,Services,Europe,Overdraft,78049191,5,2.12,1.49,15.6,17,0,0,0.38,0,Clean Behaviour,35
98,MidCorp,Services,GCC,Overdraft,5098524,9,3.04,3.12,7.8,28,3,0,0.71,1,Mild Deterioration,55
99,LargeCorp,Transport,GCC,Overdraft,51593521,10,2.45,0.49,3.9,22,5,0,0.71,1,Mild Deterioration,55
100,MidCorp,Transport,Asia,TradeFinance,14791228,3,2.33,5.71,19.1,13,0,0,0.73,0,Clean Behaviour,35
101,MidCorp,Retail,GCC,Overdraft,2676697,1,1.92,5.39,22.3,7,0,0,0.9,0,Clean Behaviour,35
102,SmallCorp,Manufacturing,GCC,Revolver,2171487,3,1,5.96,20.9,16,0,0,0.55,0,Clean Behaviour,35
103,LargeCorp,Manufacturing,GCC,TermLoan,25645526,10,3.15,3.29,20,20,4,0,0.67,0,Mild Deterioration,55
104,LargeCorp,Energy,GCC,TermLoan,130382280,5,1.56,4.42,19.4,20,0,0,0.7,0,Clean Behaviour,35
105,MidCorp,Services,Africa,Revolver,7514602,5,2.05,3.21,21,8,0,0,0.89,0,Clean Behaviour,35
106,SmallCorp,Energy,Europe,TermLoan,3200618,9,2.8,2.07,6.8,12,3,0,0.4,0,Mild Deterioration,55
107,SmallCorp,Services,Europe,Overdraft,2111987,6,2.18,1.18,27.6,10,1,0,0.48,0,Mild Deterioration,55
108,MidCorp,Transport,Europe,TermLoan,12155202,3,2.29,5.46,19.6,7,0,0,0.84,0,Clean Behaviour,35
109,SmallCorp,Retail,GCC,Overdraft,1283594,5,2.27,3.81,24.3,20,0,0,0.7,0,Clean Behaviour,35
110,MidCorp,Retail,GCC,Overdraft,7187140,4,1.9,6.53,14,15,1,0,0.6,0,Mild Deterioration,55
111,MidCorp,Services,Africa,TradeFinance,6347677,2,1.33,6.76,12.1,14,1,0,0.99,0,Mild Deterioration,55
112,MidCorp,Transport,Europe,TradeFinance,10229858,5,1.24,2.6,22.2,14,1,0,0.81,0,Mild Deterioration,55
113,LargeCorp,Services,Europe,Revolver,29621703,8,2.72,2.87,9.4,12,2,0,0.91,1,Mild Deterioration,55
114,SmallCorp,Transport,Asia,TermLoan,1918108,3,2.2,0.96,22.4,25,0,0,0.88,0,Clean Behaviour,35
115,MidCorp,Construction,Africa,TradeFinance,1980279,7,1.51,1.93,19.3,21,1,1,0.63,1,Restructured Account,95
116,MidCorp,Manufacturing,GCC,Overdraft,11462456,8,1.93,1.95,19.5,7,3,0,0.65,0,Mild Deterioration,55
117,MidCorp,Manufacturing,Europe,TermLoan,3812448,5,0.87,4.16,19.4,17,0,0,0.73,0,Clean Behaviour,35
118,MidCorp,Services,Asia,TradeFinance,6733616,5,1.61,4.98,18.5,20,0,0,0.98,0,Clean Behaviour,35
119,LargeCorp,Transport,Africa,Revolver,102800304,3,2.79,4.53,6.1,5,0,0,0.7,0,Clean Behaviour,35
120,SmallCorp,Transport,Asia,Revolver,752992,4,1.13,2.38,14.9,13,0,0,0.61,1,Clean Behaviour,35
121,SmallCorp,Construction,GCC,Revolver,1386473,4,2.16,5.54,23,8,0,0,0.6,0,Clean Behaviour,35
122,LargeCorp,Services,Europe,TradeFinance,36322851,4,2.41,6.17,21.8,17,0,0,0.6,0,Clean Behaviour,35
123,MidCorp,Services,GCC,Revolver,7386122,6,1.15,4.68,7.9,12,0,0,0.8,0,Clean Behaviour,35
124,MidCorp,Retail,GCC,TermLoan,11789322,5,1.91,5.89,15.1,16,0,0,1.35,0,Clean Behaviour,35
125,SmallCorp,Services,GCC,Revolver,689302,8,1.69,2.28,8.5,10,2,0,0.72,0,Mild Deterioration,55
126,SmallCorp,Retail,GCC,Overdraft,951560,5,1.9,6.04,12.6,12,0,0,0.61,0,Clean Behaviour,35
127,MidCorp,Services,GCC,TermLoan,8559249,3,1.04,3.9,13.7,12,2,0,0.79,0,Mild Deterioration,55
128,MidCorp,Manufacturing,Asia,Revolver,11314498,9,3.34,1.87,6.5,16,3,0,0.81,1,Mild Deterioration,55
129,SmallCorp,Transport,Asia,TermLoan,1257890,2,0.65,4.89,15.5,11,1,0,0.95,0,Mild Deterioration,55
130,MidCorp,Services,GCC,Overdraft,4786908,7,2.24,2.28,18.7,14,1,0,0.52,0,Mild Deterioration,55
131,SmallCorp,Manufacturing,Asia,TermLoan,4609277,4,1.14,0.71,23.9,22,0,0,0.93,0,Clean Behaviour,35
132,LargeCorp,Construction,Asia,Overdraft,82205140,3,0.99,4.54,30.5,9,0,0,0.81,0,Clean Behaviour,35
133,SmallCorp,Services,Europe,Revolver,1367518,5,1.47,7.18,34.5,5,0,0,0.83,0,Clean Behaviour,35
134,SmallCorp,Services,Europe,Overdraft,1814199,6,2.92,6.1,14.6,19,0,0,0.82,0,Clean Behaviour,35
135,SmallCorp,Energy,GCC,Overdraft,836467,8,1.78,3.11,24.5,7,2,0,0.58,0,Mild Deterioration,55
136,LargeCorp,Construction,Africa,TradeFinance,51850117,6,2.52,4.26,9.7,13,0,0,0.66,1,Clean Behaviour,35
137,MidCorp,Transport,GCC,TradeFinance,4775098,4,2.17,2.03,12.8,17,0,0,1.22,1,Clean Behaviour,35
138,LargeCorp,Manufacturing,Asia,TradeFinance,32306866,6,1.71,2.78,18.5,13,0,0,0.72,1,Clean Behaviour,35
139,MidCorp,Manufacturing,GCC,TermLoan,5087531,8,1.58,4.02,24.4,12,2,0,0.47,0,Mild Deterioration,55
140,MidCorp,Manufacturing,GCC,TradeFinance,19135809,5,2.24,5.75,14.7,9,1,0,0.79,0,Mild Deterioration,55
141,LargeCorp,Services,Asia,TermLoan,34776482,10,3.67,3.54,9.3,9,4,0,0.63,0,Mild Deterioration,55
142,MidCorp,Services,Europe,TermLoan,5298966,4,1.37,5.48,26.5,20,0,0,0.86,0,Clean Behaviour,35
143,SmallCorp,Construction,Europe,Revolver,1874164,7,1.73,3.88,19.2,24,1,0,0.99,0,Mild Deterioration,55
144,MidCorp,Transport,Europe,TermLoan,12661693,4,2.17,3.45,16.6,8,0,0,0.96,0,Clean Behaviour,35
145,MidCorp,Services,Africa,Overdraft,7955565,8,2.87,0.71,16.3,14,3,0,0.65,0,Mild Deterioration,55
146,SmallCorp,Retail,Africa,TermLoan,2349596,7,3.35,0.11,7.1,24,3,0,0.83,0,Mild Deterioration,55
147,SmallCorp,Construction,GCC,Revolver,718143,5,2.56,4.67,10.4,9,0,0,0.85,0,Clean Behaviour,35
148,LargeCorp,Services,GCC,Overdraft,39355436,4,3.02,4.56,15.6,12,0,0,0.85,0,Clean Behaviour,35
149,SmallCorp,Transport,Africa,TradeFinance,2656092,5,0.97,4.98,26.5,12,0,0,1.05,0,Clean Behaviour,35
150,SmallCorp,Services,Africa,TradeFinance,3009463,6,2.29,3.14,25,15,0,0,0.68,0,Clean Behaviour,35
151,LargeCorp,Transport,GCC,TermLoan,73763726,7,3.11,2.62,24.8,15,1,0,0.65,0,Mild Deterioration,55
152,SmallCorp,Construction,Europe,Overdraft,460281,6,2.18,4.61,20.4,18,0,0,0.74,0,Clean Behaviour,35
153,MidCorp,Energy,Europe,Overdraft,9781446,3,1.23,6.05,17.3,11,1,0,0.76,0,Mild Deterioration,55
154,MidCorp,Retail,Europe,TermLoan,19967387,5,2.68,6.24,22.5,13,0,1,0.78,0,Restructured Account,95
155,SmallCorp,Transport,Asia,Revolver,1304534,6,2.04,0.64,28.4,13,0,0,0.71,0,Clean Behaviour,35
156,LargeCorp,Services,Asia,Revolver,47178751,6,2.19,4.22,17.6,13,0,0,0.99,0,Clean Behaviour,35
157,SmallCorp,Services,GCC,TermLoan,542815,7,3.26,1.13,18.2,9,1,0,1.03,0,Mild Deterioration,55
158,SmallCorp,Services,GCC,Overdraft,1981077,5,1.69,3.34,24.1,23,0,0,0.53,0,Clean Behaviour,35
159,SmallCorp,Manufacturing,Africa,Revolver,1240992,3,1.76,4.63,20.7,14,0,0,0.85,0,Clean Behaviour,35
160,MidCorp,Energy,GCC,TermLoan,34061516,8,3.05,0.78,19.3,17,2,0,0.62,0,Mild Deterioration,55
161,MidCorp,Transport,GCC,TermLoan,5612649,9,1.61,0.8,1.3,5,3,0,0.69,1,Mild Deterioration,55
162,SmallCorp,Construction,Asia,Overdraft,1664826,6,2.36,3,26.1,27,0,0,0.68,0,Clean Behaviour,35
163,MidCorp,Services,Asia,Overdraft,11693111,6,2.32,2.7,11.1,10,1,0,0.68,1,Mild Deterioration,55
164,LargeCorp,Retail,GCC,TradeFinance,45867673,3,2.65,3.5,12.8,19,0,0,1.03,1,Clean Behaviour,35
165,MidCorp,Services,Europe,Overdraft,7026387,2,1.17,3.72,13.3,18,0,0,0.87,0,Clean Behaviour,35
166,SmallCorp,Services,GCC,TermLoan,1527938,8,1.83,0.1,15.7,17,2,0,0.64,0,Mild Deterioration,55
167,MidCorp,Retail,Asia,Overdraft,15587181,8,2.48,3.33,18.3,12,2,0,0.54,0,Mild Deterioration,55
168,SmallCorp,Services,Europe,Overdraft,961996,8,1.09,1.45,15.8,6,3,0,0.53,1,Mild Deterioration,55
169,SmallCorp,Construction,Europe,Revolver,1568364,9,3.2,0.99,7.3,1,3,0,0.18,0,Mild Deterioration,55
170,MidCorp,Services,GCC,TermLoan,7401367,4,1.44,1.95,18.8,12,1,0,0.96,0,Mild Deterioration,55
171,SmallCorp,Services,Europe,Revolver,1693022,7,1.67,5.15,13.8,11,1,0,0.68,0,Mild Deterioration,55
172,LargeCorp,Energy,GCC,Revolver,61466209,6,1.37,0.54,6.1,6,0,0,0.85,0,Clean Behaviour,35
173,SmallCorp,Transport,GCC,TermLoan,3310960,8,2.02,4.76,18.1,6,2,0,0.86,0,Mild Deterioration,55
174,SmallCorp,Transport,Africa,TermLoan,1480469,8,2.42,1.36,15,6,2,0,0.43,0,Mild Deterioration,55
175,SmallCorp,Energy,Asia,TermLoan,1408964,2,2.31,4.73,18.9,9,0,0,0.95,0,Clean Behaviour,35
176,LargeCorp,Energy,Asia,TermLoan,29764803,2,1.91,4.78,18.5,2,0,0,0.97,0,Clean Behaviour,35
177,LargeCorp,Transport,Africa,TradeFinance,37476252,5,1.97,5.03,31.2,20,0,1,0.91,1,Restructured Account,95
178,LargeCorp,Manufacturing,GCC,TermLoan,94907031,7,2.55,2.69,12,11,1,0,1.06,0,Mild Deterioration,55
179,MidCorp,Manufacturing,GCC,TermLoan,10028274,5,0.93,2.89,15,6,0,0,1,0,Clean Behaviour,35
180,MidCorp,Retail,GCC,TermLoan,8538574,3,1.42,4.77,27.2,16,0,0,1.07,0,Clean Behaviour,35
181,MidCorp,Services,GCC,TradeFinance,7806506,5,2.39,3.54,24.2,9,0,0,0.38,0,Clean Behaviour,35
182,LargeCorp,Construction,GCC,Revolver,32825127,1,1.15,3.83,24.3,9,1,0,0.77,0,Mild Deterioration,55
183,LargeCorp,Construction,Asia,Overdraft,40294553,5,1.24,2.75,17.9,23,0,0,0.58,0,Clean Behaviour,35
184,SmallCorp,Transport,GCC,TermLoan,3947671,4,1.8,1.65,16.8,18,1,0,0.99,0,Mild Deterioration,55
185,MidCorp,Retail,GCC,Overdraft,6601640,2,0.92,6.66,16.8,13,0,1,0.67,0,Restructured Account,95
186,SmallCorp,Manufacturing,GCC,Revolver,5870629,6,1.91,6.32,13.7,15,1,0,0.48,0,Mild Deterioration,55
187,LargeCorp,Construction,GCC,TermLoan,30962811,4,1.88,6.63,18.2,19,0,0,0.5,0,Clean Behaviour,35
188,MidCorp,Energy,GCC,Overdraft,11048496,10,3.2,0.1,18.1,15,4,0,0.71,0,Mild Deterioration,55
189,SmallCorp,Services,GCC,TermLoan,1222570,10,4.36,0.94,18.2,3,4,0,0.61,0,Mild Deterioration,55
190,MidCorp,Services,Asia,TermLoan,7611160,3,2.35,4.78,16.6,2,0,0,0.65,0,Clean Behaviour,35
191,LargeCorp,Energy,Europe,TermLoan,38099572,7,2.21,3.11,10.6,13,1,0,0.62,0,Mild Deterioration,55
192,SmallCorp,Transport,Europe,TradeFinance,618278,4,0.91,2.66,15.9,8,0,0,0.73,0,Clean Behaviour,35
193,MidCorp,Retail,GCC,TermLoan,11492128,1,3.1,4.11,25.3,12,0,0,1.1,0,Clean Behaviour,35
194,SmallCorp,Construction,GCC,Revolver,1160675,7,1.45,2.58,10.1,7,1,0,0.78,0,Mild Deterioration,55
195,LargeCorp,Energy,Europe,Overdraft,47883071,4,1.06,2.96,31.6,14,0,0,0.62,0,Clean Behaviour,35
196,SmallCorp,Retail,Asia,TermLoan,1392965,1,0.56,5.41,17.4,9,0,0,1.31,0,Clean Behaviour,35
197,LargeCorp,Manufacturing,Asia,TradeFinance,159393425,2,0.42,5.56,31.5,12,0,0,0.84,0,Clean Behaviour,35
198,SmallCorp,Services,Europe,TermLoan,2808495,7,3.25,5.67,13.9,8,1,0,0.83,0,Mild Deterioration,55
199,MidCorp,Construction,GCC,Overdraft,4903112,8,1.05,2.98,23.1,14,3,0,0.63,0,Mild Deterioration,55
200,LargeCorp,Retail,GCC,Revolver,26868689,7,1.69,1.63,24,15,1,0,0.54,1,Mild Deterioration,55
201,MidCorp,Retail,Europe,TermLoan,9873841,2,1.93,2.94,21.2,21,0,0,0.94,0,Clean Behaviour,35
202,LargeCorp,Services,GCC,Revolver,33242084,9,3.2,1.08,3.4,22,4,0,0.49,0,Mild Deterioration,55
203,SmallCorp,Energy,GCC,TermLoan,1818065,4,1.35,5.87,16.8,20,0,0,1.15,0,Clean Behaviour,35
204,SmallCorp,Services,Asia,TradeFinance,1127066,7,1.85,1.9,18.6,18,1,0,0.75,1,Mild Deterioration,55
205,SmallCorp,Construction,Africa,Overdraft,1124940,6,2.07,2.13,12.9,9,0,0,0.81,0,Clean Behaviour,35
206,MidCorp,Retail,GCC,Overdraft,5814799,4,1.03,3.27,13.3,16,0,0,0.66,0,Clean Behaviour,35
207,LargeCorp,Construction,GCC,TermLoan,54033031,9,2.52,6.23,12.2,18,3,0,0.57,0,Mild Deterioration,55
208,SmallCorp,Construction,Asia,TradeFinance,1190520,7,3.62,4.26,33.1,5,1,0,0.79,0,Mild Deterioration,55
209,SmallCorp,Services,GCC,TermLoan,1815255,3,2.43,3.35,30,4,0,0,0.9,0,Clean Behaviour,35
210,LargeCorp,Retail,GCC,TermLoan,15734084,5,0.93,6.21,12.7,22,0,0,0.83,0,Clean Behaviour,35
211,SmallCorp,Manufacturing,Europe,TermLoan,892239,5,2.18,5.94,22.5,15,0,0,0.83,0,Clean Behaviour,35
212,MidCorp,Services,Europe,TermLoan,3585903,1,2.16,4.6,24.1,14,1,0,0.97,0,Mild Deterioration,55
213,MidCorp,Manufacturing,Asia,TermLoan,6570091,6,2.4,4.46,21.4,11,0,0,0.53,0,Clean Behaviour,35
214,SmallCorp,Energy,GCC,Revolver,3005491,5,1.92,4.3,18.5,16,0,0,0.75,0,Clean Behaviour,35
215,MidCorp,Manufacturing,Asia,Overdraft,6242936,6,1.61,3.12,18.8,1,0,0,0.82,0,Clean Behaviour,35
216,MidCorp,Energy,GCC,TradeFinance,10013580,5,2.69,5.76,16.6,7,0,0,0.68,0,Clean Behaviour,35
217,LargeCorp,Construction,Africa,TradeFinance,38781866,7,2.25,3.78,20.4,12,1,0,1.04,0,Mild Deterioration,55
