cust_id,age_years,monthly_income,loan_amount,property_value,monthly_instalment,dbr_ratio,tenure_months,dpd_30plus_12m,dpd_60plus_12m,dpd_max_12m,base_pd,default_flag,flood_index,heat_index,storm_index,drought_index,sealevel_index,carbon_index,emissions_intensity_idx,transition_risk_idx,greeninv_risk_index,governance_risk_index,ndvi_vulnerability,vuln_index_from_raw,VULNCI,PCCI,TCCI,PCI,CHRC,segment,RCI,RSI
19,58,13371.803898,101528.73179,141474.80908,102907779.63,769587.86124,30,1,1,18,3078.4594449,1,89.602334099,11.452316702,91.015307233,49.574216874,69.199572178,75.013691327,74.729101639,57.278907252,58.89529183,79.558328958,15.759645286,64.023319345,64.023319345,60.411043727,69.007233406,64.480532159,64.480532159,Corpor,35.976680655,64.709138567
20,27,6763.8502992,386626.45565,596426.43089,78900125.884,1166497.2226,207,1,1,86,4666.5048906,1,91.00220676,9.6783724846,18.355825357,92.797706136,67.574595008,41.20621013,9.4972709892,45.41922994,19.172986387,86.323311646,40.419857483,39.678801534,39.678801534,52.958527685,32.040903686,41.559410968,41.559410968,SME,60.321198466,42.499715685
21,57,23272.675551,340275.52835,418266.45455,1912193180.3,8216473.3322,207,0,0,30,32866.073329,1,0.8025160758,31.563601177,5.1685503218,21.477308264,1.7843024107,72.995675029,68.796699913,93.75644445,64.848937513,69.881971111,86.823136313,12.511555858,12.511555858,14.75299396,78.516273131,35.260274316,35.260274316,Retail,87.488444142,46.634633545
22,51,19613.699663,319528.63334,442650.67832,463471658.08,2362999.6688,192,1,0,82,9452.4906753,1,6.8324802443,61.231028452,95.513748936,6.4401132753,65.964632807,54.282958829,18.903181469,45.028841565,2.9372426448,34.988023294,3.6707782885,54.525752544,54.525752544,42.504342727,39.404993954,45.478363075,45.478363075,Corpor,45.474247456,40.954668341
23,53,25237.981516,394090.56557,582104.95888,115364979.72,457108.58313,188,0,0,67,1828.8363325,1,13.576533995,16.927606356,68.433618057,55.630764738,55.25546656,29.480675445,4.6586422017,73.909577355,17.56681907,0.7441386115,6.527413195,32.979252803,32.979252803,38.642130786,36.016298334,35.879227308,35.879227308,SME,67.020747197,37.32921456
24,50,14085.906798,215599.66096,286929.48124,75775643.142,537953.60307,83,0,0,62,2152.1864123,1,82.098468603,38.725937228,93.606380303,26.800676086,5.2700510947,10.179751716,4.6326028183,90.045667603,10.059556412,64.969404321,37.306089932,71.476928711,71.476928711,60.307865555,34.952674046,55.579156104,55.579156104,Retail,28.523071289,47.6302698
25,22,22791.880999,53890.02146,75876.715812,26609830.614,116751.35815,162,0,1,76,467.4614326,1,24.495361838,70.187730668,80.810015509,26.25326151,91.292593884,2.2749514086,26.306522847,61.728529213,69.687507884,39.531822153,79.199214582,58.497702672,58.497702672,50.436592381,30.10333449,46.345876514,46.345876514,Corpor,41.502297328,40.269963436
26,30,10542.750732,423158.7781,737389.18768,112728879.58,1069254.9074,224,0,0,31,4277.2056295,1,96.500517381,17.754165642,67.125369818,6.6426094621,91.721728561,54.161901283,43.051913474,54.584582499,86.125389254,82.077912684,6.5616123145,60.460017614,60.460017614,47.005665576,50.599465752,52.688382981,52.688382981,SME,39.539982386,48.802565664
27,24,19442.785841,131641.04279,194009.83831,42786506.465,220063.66173,177,0,0,85,880.76464693,1,57.286306424,96.3526465,74.374297564,96.742128767,0.7525052642,93.106817291,23.539890046,51.755319862,79.614053783,4.0473133791,33.607116388,76.004416829,76.004416829,81.188844814,56.134009066,71.109090236,71.109090236,Retail,23.995583171,68.66142694
28,36,10528.865987,333740.2299,496005.85351,96441338.007,915970.79991,55,0,0,39,3664.1171996,1,57.955826796,52.375319414,55.431020143,53.211224452,85.628000228,25.137577136,92.184950458,85.827439744,13.247558754,59.077704721,51.250504469,55.254055451,55.254055451,54.743347701,67.716655779,59.238019644,59.238019644,Corpor,44.745944549,61.23000174
29,61,22384.969228,191748.08932,319512.38119,84122620.261,375799.57964,66,0,0,57,1503.5403186,1,70.762953162,38.692903146,80.7692328,4.8864413286,77.769037359,77.506799926,34.75784522,5.782093294,73.773631826,10.526428092,75.954842824,63.408363036,63.408363036,48.777882609,39.348912813,50.511719486,50.511719486,SME,36.591636964,44.063397711
30,62,7150.00225,266899.09437,348349.04903,394761692.86,5521140.8201,267,0,0,79,22085.037281,1,20.158337569,57.841283665,92.81210613,81.865148968,54.562122864,36.10531413,44.09599877,60.317418305,66.543452675,61.655574152,41.083520977,56.937242455,56.937242455,63.169219083,46.839577068,55.648679535,55.648679535,Retail,43.062757545,55.004398076
31,23,28685.695149,466955.89111,687883.55495,178135035.9,620989.08522,150,0,0,84,2484.4603409,1,87.426009891,69.208260812,97.422198951,70.265249978,74.12680639,71.582693839,65.880762623,15.622978937,69.349783659,71.564375958,83.586209943,84.685489885,84.685489885,81.080429908,51.0288118,72.264910531,72.264910531,Corpor,15.314510115,66.054620854
32,30,11336.263882,140911.1403,185728.86862,27867683.229,245827.75701,47,1,0,23,983.44902804,1,64.143540175,60.772026866,0.2159915864,11.13956233,23.402079102,11.902955943,62.070741132,31.614473043,8.5042774212,88.601532206,35.374704516,41.710519542,41.710519542,34.067780239,35.196056706,36.991452162,36.991452162,SME,58.289480458,34.631918473
33,33,24783.600094,64392.298344,90087.00386,12005963.536,48443.178113,162,0,1,70,194.19271245,1,26.438209694,97.349033388,8.1407391699,73.548394139,18.747627386,26.338125626,35.509140394,2.5178586366,61.569750402,16.416148795,72.844214505,43.975994084,43.975994084,51.369094098,21.455041552,38.933376578,38.933376578,Retail,56.024005916,36.412067825
34,59,8146.7956491,411656.51261,694919.34804,72668313.878,891986.4571,261,1,0,85,3568.4558284,1,30.988588789,66.22797267,62.106215651,33.658429002,52.549405163,60.5004946,98.766793823,37.439599028,54.989571311,3.4547241637,39.528807532,53.10759237,53.10759237,48.245301528,65.568962484,55.640618794,55.640618794,Corpor,46.89240763,56.907132006
35,38,12248.773478,498619.03148,794235.9777,150679822.56,1230162.5369,29,0,1,4,4920.6741476,1,67.404642352,92.734381324,91.773371375,92.059221026,36.121046008,31.812344724,0.4313241923,80.651600659,25.73737679,80.18886731,5.0898615038,83.97079835,83.97079835,85.992904019,37.631756525,69.198486298,69.198486298,SME,16.02920165,61.812330272
36,62,9682.7450511,322443.45495,423805.07914,440924844.19,4553717.3793,50,0,0,51,18215.175517,1,5.2592471708,64.439435257,3.5357892746,50.255098497,68.187937653,41.547614103,8.5194248473,62.77203192,42.98073526,12.303689262,35.137040447,24.411490567,24.411490567,30.87239255,37.613023624,30.96563558,30.96563558,Retail,75.588509433,34.242708087
37,24,8745.3594385,193136.89031,231122.95999,37479075.27,428559.57532,123,0,0,77,1714.7003013,1,97.57741217,98.073548358,78.101913957,23.749716789,47.081752704,70.104666939,32.416210114,76.137198205,37.656616373,10.641002725,21.716867154,91.250958162,91.250958162,74.375647819,59.552691753,75.059765911,75.059765911,Corpor,8.7490418383,66.964169786
38,29,20090.697783,418405.93704,566559.13825,386428246.52,1923418.7418,213,0,0,32,7693.8669674,1,93.233773322,75.406246609,90.499611688,53.261144669,33.675197675,76.434466708,37.56174352,20.370828803,69.4475631,4.1682708776,55.054003303,86.379877206,86.379877206,78.100194072,44.78901301,69.75636143,69.75636143,SME,13.620122794,61.444603541
39,29,18535.498315,202644.58985,336166.38241,296555945.48,1599935.1106,179,0,0,77,6400.2024425,1,62.117785192,64.495104109,86.816844088,62.623936916,63.924299483,5.9764264384,32.947528013,49.228175706,30.252969568,29.533552239,35.468870471,71.143244463,71.143244463,69.013417576,29.384043386,56.513568475,56.513568475,Retail,28.856755537,49.198730481
40,25,7642.7283825,299928.78817,497458.50587,6088311206,79661488.689,208,0,0,27,318646.11676,1,60.539840185,63.661449263,90.20743682,22.942177625,70.270082215,66.330574662,3.4955996787,26.284134202,30.575903738,28.202330065,68.550909404,71.469575423,71.469575423,59.337725973,32.036769514,54.28135697,54.28135697,Corpor,28.530424577,45.687247744
41,48,29948.372191,197006.8676,242448.93996,78117613.049,260840.93169,30,0,0,81,1043.8497268,1,84.676203574,61.832453148,92.618420627,86.477045249,7.8052209225,33.57586551,70.317428629,77.521651355,0.2585657872,37.228980777,22.619075305,79.709025783,79.709025783,81.401030649,60.471648498,73.86056831,73.86056831,SME,20.290974217,70.936339574
42,37,7847.1649624,383223.6101,611621.55931,84632044.291,1078504.7173,106,0,0,65,4314.4088691,1,93.487746199,54.887394258,41.715616663,68.766980059,49.476340832,67.106631817,26.394997165,33.425499988,62.921643653,51.99465272,61.416403879,63.363585706,63.363585706,64.714434295,42.30904299,56.795687664,56.795687664,Retail,36.636414294,53.511738642
43,26,15037.743574,263180.90633,339954.6061,58260260.988,387426.88158,238,0,0,77,1550.1695263,1,72.068845294,97.943490976,88.304009265,3.4691177541,87.579390407,47.925413819,43.0191088,18.823569361,13.08232958,83.599324827,60.369308013,86.105448512,86.105448512,65.446365823,36.589363993,62.713726109,62.713726109,Corpor,13.894551488,51.017864908
44,40,12257.004909,460938.54158,561328.69277,131730283.1,1074734.685,197,0,0,53,4299.25674,1,68.09741531,80.943201389,0.5404482596,96.118881484,95.048003551,55.908237584,34.414900956,89.220064413,27.704912075,98.273001332,0.8094905177,49.860354986,49.860354986,61.424986611,59.847734317,57.044358638,57.044358638,SME,50.139645014,60.636360464
45,38,13773.712756,146774.78375,170228.04362,146665959.07,1064825.1613,170,1,0,44,4259.5646454,1,87.122793612,57.03260689,31.558395899,42.562602321,89.419915061,23.1129091,80.716144922,68.913068692,74.542336026,98.094853899,32.530142181,58.571265467,58.571265467,54.569099681,57.580707571,56.90702424,56.90702424,Retail,41.428734533,56.074903626
46,50,9037.1379524,363181.08424,567364.03398,71318878.025,789175.4934,294,0,0,71,3157.1279736,1,58.924147091,47.166556586,27.263177931,76.779806265,26.448032027,6.1894045677,83.806362236,58.538272907,52.229158883,54.685935192,60.423477576,44.451293869,44.451293869,52.533421968,49.51134657,48.832020803,48.832020803,Corpor,55.548706131,51.022384269
47,61,18870.395819,436297.02051,655213.92288,436124491.29,2311157.0922,71,0,0,26,9244.7843686,1,96.393961692,37.846844364,42.872991553,24.724202929,80.805965117,30.656209332,20.857035415,19.76217085,8.6229926674,6.9485160988,41.865686234,59.037932536,59.037932536,50.459500134,23.758471866,44.418634846,44.418634846,SME,40.962067464,37.108986
48,60,20124.204423,78205.819568,113943.2281,91228570.853,453327.58968,220,0,1,60,1813.6703587,1,49.907447002,10.869996133,13.641274255,24.354371126,79.492060887,66.075266246,29.164488823,92.478565848,84.496816364,67.598859011,28.746308736,24.80623913,24.80623913,24.693272129,62.572773639,37.357428299,37.357428299,Retail,75.19376087,43.633022884
49,40,7030.4275386,387464.23211,460771.39845,257623031.39,3664400.6353,84,0,0,70,14658.022541,1,11.00486482,1.5224370407,98.566795862,8.8829817949,23.004681338,3.3386114752,0.3148247954,6.901310035,59.252727544,27.709197183,76.759326132,37.031365908,37.031365908,29.99426988,3.5182487685,23.514628185,23.514628185,Corpor,62.968634092,16.756259324
50,26,11695.747538,327418.77717,554014.80279,70173379.174,599990.54308,204,0,0,18,2400.0701723,1,31.068587396,92.109251604,73.11522665,22.711124504,17.202690756,14.24598333,46.887812344,98.460271559,22.629002947,81.301202462,6.4900036668,65.431021883,65.431021883,54.751047539,53.198022411,57.793363944,57.793363944,SME,34.568978117,53.974534975
51,61,13224.589063,123358.58021,212722.6389,42074602.625,318154.32921,221,0,0,64,1273.0013168,1,51.454282994,57.371961535,22.824652051,55.95605534,41.832060507,61.858885107,13.634270639,1.5174922766,93.335318356,24.196169269,3.3548970707,43.883632193,43.883632193,46.90173798,25.670216007,38.818528727,38.818528727,Retail,56.116367807,36.285976994
52,64,29027.03375,137483.3806,224455.7816,38941137.912,134154.7271,130,0,0,40,536.8589084,1,91.032890091,39.455258613,71.860192693,68.446125789,95.116436388,37.683955743,72.253799788,18.836132973,23.783201631,14.924984239,84.778047795,67.449447132,67.449447132,67.698616796,42.924629501,59.357564477,59.357564477,Corpor,32.550552868,55.311623149
53,29,9915.4516484,359659.39473,530518.0096,1671817682.3,16860731.529,226,0,0,44,67443.190116,1,6.4189312048,80.434073135,62.741404353,19.566871156,28.773826477,17.771687941,71.224163519,21.935592452,60.465226811,99.93953025,41.899434407,49.864802898,49.864802898,42.290319962,36.977147971,43.044090277,43.044090277,SME,50.135197102,39.633733966
54,38,15308.09175,292373.51279,388973.49027,678565370.75,4432723.437,44,0,0,69,17731.307748,1,71.157152206,12.080257619,87.44965631,7.225979981,76.515842509,35.976756783,37.694944115,40.341626457,14.523355849,78.180874209,73.325940501,56.895688712,56.895688712,44.478261529,38.004442452,46.459464231,46.459464231,Retail,43.104311288,41.24135199
55,34,29085.116253,65347.376291,108487.32173,22920654.663,78805.442838,275,1,0,69,315.63577135,1,44.042751496,1.3823383022,64.385618106,52.907781117,28.538404312,66.285005864,90.396574885,18.637343147,65.704576252,92.10143364,26.308749989,36.603569301,36.603569301,40.679622255,58.439641298,45.240944285,45.240944285,Corpor,63.396430699,49.559631777
56,37,24509.661867,444380.21393,678639.72628,115518871.68,471319.72814,33,1,0,15,1885.3689126,1,53.961367067,15.821332275,41.643702309,11.00779043,61.658322904,57.291991869,51.953073242,72.564895358,0.6715352414,12.049432215,5.4551012814,37.142133884,37.142133884,30.60854802,60.603320156,42.784667353,42.784667353,SME,62.857866116,45.605934088
57,26,24445.478835,381865.82928,589192.37427,162994730.47,666768.40972,76,0,1,71,2667.4996389,1,15.792683489,54.533279478,34.978991468,56.528251478,29.822830856,32.375575346,40.301729087,78.66664934,12.908732682,32.9405725,85.055666673,35.101651478,35.101651478,40.458301478,50.447984591,42.002645849,42.002645849,Retail,64.898348522,45.453143034
58,21,22637.861328,258043.20463,379321.1497,94716791.172,418399.90889,137,0,0,12,1673.6716356,1,72.16065859,27.116657584,10.530739767,70.614446397,21.730789938,78.060075035,15.399036766,89.513553842,28.69500732,43.668524828,52.144307806,36.602685313,36.602685313,45.105625584,60.990888548,47.566399815,47.566399815,Corpor,63.397314687,53.048257066
59,58,11158.258242,195051.76931,296849.06431,114700415.7,1027941.9351,288,0,0,35,4111.9777406,1,60.823444719,12.488729949,94.085014053,20.315428241,80.852659722,63.690958638,0.7688038051,97.145549301,89.541342366,94.122691872,33.632111526,55.799062907,55.799062907,46.928154241,53.868437248,52.198551465,52.198551465,SME,44.200937093,50.398295744
60,62,25147.636923,432530.80783,687652.94898,163199394.02,648965.1275,27,0,0,81,2596.34651,1,81.861745962,75.531753479,19.592296961,9.9734651623,73.365265387,3.6893259268,94.357720553,22.88023755,5.988436169,33.227958879,24.861564604,58.995265467,58.995265467,46.739815391,40.309094676,48.681391845,48.681391845,Retail,41.004734533,43.524455034
61,43,9457.4171538,206400.27884,253946.49502,45877731.673,485097.89646,150,0,0,37,1940.6135858,1,86.850427906,90.217133006,34.62706455,12.05707409,56.695803721,19.551974791,18.510517082,4.9270840595,92.600615299,67.400936689,26.386472955,70.564875154,70.564875154,55.937924888,14.329858644,46.944219562,46.944219562,Corpor,29.435124846,35.133891766
62,64,12853.070181,377788.72416,615855.26931,80715838.08,627988.77579,76,0,0,4,2511.9791032,1,18.164677708,77.162559167,12.510018074,46.650629095,14.078927645,28.927259427,12.436202727,39.029533905,78.042802191,71.758648939,48.875748739,35.94575165,35.94575165,38.621971011,26.797665353,33.788462671,33.788462671,SME,64.05424835,32.709818182
63,54,24788.186345,231850.97123,350545.48467,73413739.425,296164.22276,276,0,0,12,1184.728891,1,8.0447105691,1.2977300445,6.8887429079,47.379095596,76.561392704,55.143812927,73.750957195,21.859516087,50.022171973,5.3198721027,72.498180252,5.4103945071,5.4103945071,15.902569779,50.251428736,23.854797674,23.854797674,Retail,94.589605493,33.076999258
64,32,26291.389532,143488.41942,246762.64609,806420324.09,3067241.1708,70,0,0,83,12269.462683,1,50.339597953,43.538923631,20.078853192,75.422481471,49.443938304,15.175684262,49.445671309,90.79575236,93.290259992,22.683637799,12.574492325,37.985791592,37.985791592,47.344964062,51.805702643,45.712152766,45.712152766,Corpor,62.014208408,49.575333353
65,57,23906.473246,410454.66494,592618.91813,224218544.29,937898.87776,291,0,0,75,3752.0455111,1,52.277212963,28.787398851,93.338463851,71.461793012,77.120287251,96.684982488,8.1773386803,92.972707772,67.869196879,91.537347459,23.3948434,58.134358555,58.134358555,61.466217169,65.945009647,61.848528457,61.848528457,SME,41.865641445,63.705613408
66,55,22801.247851,354199.21303,551274.6167,64735580.875,283912.44767,238,1,0,15,1135.7397907,1,82.13636342,95.448760688,1.5555983409,71.185026271,79.084101948,96.065985761,67.626766069,74.259665655,39.925283124,7.0470517501,34.683494829,59.71357415,59.71357415,62.58143718,79.317472495,67.204161275,67.204161275,Retail,40.28642585,70.949454837
67,57,22162.450083,137106.82695,161444.86933,115180739.46,519711.2189,120,0,0,4,2078.8688756,1,98.549234285,38.931476092,94.998038211,19.9934948,39.073978877,0.9768777294,54.140820261,79.495641473,62.211057474,63.892818987,78.632145794,77.492916196,77.492916196,63.118060847,44.871113154,61.827363399,61.827363399,Corpor,22.507083804,53.994587001
68,62,22746.006319,437509.4451,724669.14675,142683917.28,627292.17286,246,0,0,80,2509.6486914,1,51.739465282,53.975395206,84.311715839,42.782776174,24.53559218,94.176560151,7.7058897354,85.162272258,96.291051572,51.182695269,31.080213957,63.342192109,63.342192109,58.202338126,62.348240715,61.297590317,61.297590317,SME,36.657807891,60.27528942
69,34,13814.923599,450716.59441,737474.03601,186454067.5,1349656.8849,285,0,0,84,5399.1315395,1,33.28729542,40.406587604,7.6996780001,38.155662268,89.591536648,50.601945934,27.977550752,51.061294274,51.370945224,21.696250164,52.028994076,27.131187008,27.131187008,29.887305823,43.213596987,33.410696606,33.410696606,Retail,72.868812992,36.550451405
70,37,28459.018319,111729.76423,132990.75768,12806701.83,45000.504539,292,0,1,70,180.42201816,1,75.26499622,7.385598938,91.894688061,89.368447941,33.482504473,82.684756024,2.6312803151,59.214880248,47.548716492,82.842958975,37.291828194,58.181761073,58.181761073,65.97843279,48.176972196,57.44572202,57.44572202,Corpor,41.818238927,57.077702493
71,23,5890.4859715,411009.81012,527977.70453,101562814.4,1724183.9619,74,0,1,22,6896.8678477,1,92.55871512,23.101122212,41.298433254,65.841788729,63.318055868,31.812297623,7.9567102017,85.594736668,66.607533605,11.597687192,88.124378771,52.319423528,52.319423528,55.700014828,41.787914831,49.935784396,49.935784396,SME,47.680576472,48.74396483
72,37,11955.935858,411499.88868,535670.22159,114571972.2,958285.2698,163,1,0,81,3833.6270792,1,56.357291993,84.276284277,60.129538807,80.094597233,88.036754541,92.153185885,76.862627803,46.533017815,23.71242675,53.389612399,15.357341897,66.921038359,66.921038359,70.214428077,71.849610501,69.661692313,69.661692313,Retail,33.078961641,71.032019289
73,29,5545.4125465,73873.205855,102856.97644,15654253.903,282291.96244,140,0,1,44,1129.4318498,1,1.2622645823,20.371645736,43.021800462,53.197900066,52.985181869,26.433282392,28.645061539,5.0056613982,98.491568631,56.950827362,62.261207309,21.551903593,21.551903593,29.463402712,20.028001776,23.681102694,23.681102694,Corpor,78.448096407,24.745702244
74,52,5899.3877913,236051.33465,401153.25838,69329874.802,1175204.5679,89,1,0,22,4700.9502716,1,93.481455045,86.541688815,86.432878929,94.508643518,50.103868637,34.059227584,70.584783331,68.800469092,20.697545912,6.9715525256,41.293063015,88.818674263,88.818674263,90.241166577,57.814826669,78.958222503,78.958222503,SME,11.181325737,74.027996623
75,22,21224.480339,403200.52913,480168.2022,131190461.96,618109.18273,136,0,0,90,2472.9767309,1,85.991167882,99.147351133,84.967808425,71.773674991,50.497270748,70.557690621,24.741204409,75.936733745,64.213115443,34.668567753,56.158206169,90.03544248,90.03544248,85.470000608,57.078542925,77.527995338,77.527995338,Retail,9.9645575198,71.274271766
76,32,21838.196781,342885.3303,588544.49751,86160032.654,394538.21905,224,1,0,75,1578.6028762,1,11.132428795,3.5654290812,72.780774464,91.659661545,40.105719608,43.292679288,37.771334709,15.930169006,95.449251845,19.467848563,23.456747108,29.159544113,29.159544113,44.784573471,32.331394334,35.42517064,35.42517064,Corpor,70.840455887,38.557983903
77,58,14853.099071,176114.47198,218532.75964,35337287.492,237911.8817,244,0,0,28,951.81552681,1,74.639713042,69.788338593,10.459463578,88.231165847,99.879202689,63.203037297,78.115944634,35.432296526,93.944973336,2.3133038078,42.338688998,51.629171738,51.629171738,60.779670265,58.917092819,57.108644941,57.108644941,SME,48.370828262,59.848381542
78,30,26523.600887,127072.29609,158198.89203,34830436.544,131318.65727,132,0,0,29,525.44862908,1,81.976987189,94.60400769,68.355749361,73.087262292,96.925704903,55.335426517,67.477299203,37.018114491,21.708716406,73.51187733,20.84624772,81.645581413,81.645581413,79.506001633,53.276946737,71.476176595,71.476176595,Retail,18.354418587,66.391474185
79,33,10319.063074,393853.43011,654821.33125,106792120.06,1034901.3209,280,0,0,45,4139.8752837,1,79.714701301,51.800940698,47.956638178,10.497075296,59.305644711,7.7332402114,97.13364807,53.037374606,6.1525670812,74.774747738,81.18937742,59.824093392,59.824093392,47.492338868,52.634754296,53.317062186,53.317062186,Corpor,40.175906608,50.063546582
