cust_id,product_type,age_years,monthly_income,loan_amount,property_value,profit_rate_pct,tenure_months,dpd_30plus_12m,dpd_60plus_12m,dpd_max_12m,monthly_instalment,dbr_ratio,base_pd,default_flag
39,IJARA_HOME,57,17061.806423,214824.84052,341810.08581,4.1058333967,149,1,3,60,1842.7970816,10.800714977,0.14,0
40,MURABAHA_A,47,13607.892029,171756.57498,192090.17819,9.5695620381,116,3,0,30,2275.1140994,16.719078124,0.12,0
41,IJARA_HOME,30,15696.882669,309395.75005,382137.11075,4.202782323,264,4,2,60,1797.9928091,11.45445785,0.14,0
42,IJARA_HOME,28,17297.213715,77329.920977,98673.731366,3.8582397582,288,0,0,0,412.1410392,2.3827018964,0.04,0
43,IJARA_HOME,39,14161.876738,64683.113154,78989.274812,3.9665821565,248,4,2,60,382.57606954,2.7014503559,0.14,0
44,MURABAHA_A,37,15660.496843,58503.094129,91306.99432,9.2027371219,70,4,2,60,1083.1873696,6.9166858525,0.17,0
45,IJARA_HOME,23,17205.362073,52976.554446,85503.668539,3.626055147,206,2,1,60,345.83441608,2.0100385834,0.14,0
46,MURABAHA_A,30,15822.668751,378393.87441,528351.85374,7.980133904,283,1,0,30,2971.7520799,18.781610907,0.09,0
47,IJARA_HOME,57,12013.735203,199224.35973,327151.88711,4.1399039455,221,0,0,0,1289.8543347,10.736497125,0.04,0
48,MURABAHA_A,49,18255.470204,330750.92267,392615.29671,6.4715156692,96,5,0,30,4422.8722437,24.227654475,0.09,0
49,MURABAHA_A,37,17453.545411,138684.01172,163393.61685,6.8837752843,297,4,2,60,973.62498528,5.57837942,0.14,0
50,MURABAHA_A,35,11038.3178,76570.437849,87492.554664,8.0260002891,174,2,2,60,746.02005666,6.7584578572,0.17,0
51,MURABAHA_A,25,16231.372622,265852.83838,351433.58361,6.238007132,161,3,2,60,2441.5829867,15.042369142,0.14,0
52,MURABAHA_A,44,15342.003505,66189.253516,94445.258546,8.9424878358,120,1,2,60,836.39871195,5.4516915712,0.17,0
53,MURABAHA_P,26,7745.1405517,224819.99723,361912.13219,6.1081078038,184,3,2,60,1884.950397,24.337200654,0.14,0
54,MURABAHA_A,57,25323.417591,414078.13458,512080.24,7.8555270918,111,5,1,60,5260.1562774,20.771905129,0.14,0
55,IJARA_HOME,38,9924.4515131,399599.51965,491942.63221,4.3225909784,131,4,0,30,3831.8728607,38.610424523,0.09,0
56,MURABAHA_A,24,16179.365,353819.37129,402130.66137,7.0104476521,47,2,1,60,8630.6533186,53.343584986,0.14,0
57,MURABAHA_P,52,13849.5966,278413.05071,421534.57036,8.4251093686,184,5,3,60,2699.904079,19.49446007,0.17,0
58,IJARA_HOME,39,19108.300595,296622.29661,410123.83787,4.823431241,41,5,3,60,7861.6948413,41.142825874,0.14,0
59,IJARA_HOME,29,5000,166802.23374,190132.54824,4.8315654051,155,5,2,60,1448.7406464,28.974812929,0.14,0
60,MURABAHA_A,49,16768.679986,327399.13464,401868.04508,6.5428364402,255,1,1,60,2379.9087283,14.192582423,0.14,0
61,IJARA_HOME,51,14183.723141,94977.59873,134981.26811,3.6294302249,96,0,0,0,1141.4069203,8.0473011842,0.04,0
62,IJARA_HOME,26,13759.601469,298282.96453,429280.83697,3.77791724,47,5,1,60,6837.5248236,49.692753376,0.14,0
63,MURABAHA_A,38,17013.339462,250386.10268,323620.24623,6.2790150749,69,4,3,60,4332.5747701,25.465751623,0.14,0
64,MURABAHA_A,50,11853.565936,192036.56157,316081.69088,6.9044409967,194,0,0,0,1645.6124065,13.882846861,0.04,0
65,IJARA_HOME,53,16130.489853,177937.1772,207459.72908,4.0994651442,67,4,3,60,2975.81359,18.448377062,0.14,0
66,IJARA_HOME,47,19516.690916,260197.62065,332945.77943,3.2378932916,297,2,2,60,1274.6363892,6.5310066891,0.14,1
67,IJARA_HOME,37,17528.945423,411183.37214,678444.59452,4.4016830636,241,1,0,30,2572.8988151,14.678001174,0.09,0
68,MURABAHA_P,57,17645.525847,177249.3789,294779.90298,7.2817533788,247,1,3,60,1386.7718077,7.8590562824,0.14,1
69,MURABAHA_A,45,13796.002598,188263.21997,299586.84258,6.9727649366,178,1,2,60,1700.0817668,12.323002657,0.14,0
70,IJARA_HOME,47,12833.736934,322751.75061,445394.24357,4.0014866562,47,3,1,60,7430.6480468,57.899332711,0.14,1
71,IJARA_HOME,24,11546.19419,81119.675841,95730.623831,3.7757226884,147,2,1,60,690.10881262,5.9769375193,0.14,0
72,MURABAHA_A,60,8648.1131033,330418.66776,473889.30344,7.3234649831,234,2,0,30,2656.140427,30.713525544,0.09,0
73,IJARA_HOME,45,19158.60862,98396.94649,150705.51798,3.739253922,213,4,3,60,632.79099931,3.3029068648,0.14,0
74,IJARA_HOME,58,15899.931013,263044.57868,375228.21034,4.1793203514,235,2,0,30,1641.0399422,10.321050707,0.09,0
75,IJARA_HOME,43,9780.1073781,185684.07986,217314.61179,4.0840122586,49,1,2,60,4120.6523567,42.132997087,0.14,0
76,MURABAHA_P,52,20061.944108,397267.37635,504228.44292,9.0137544871,201,0,0,0,3836.5546662,19.123543788,0.07,0
77,IJARA_HOME,33,13821.921172,92283.65412,120377.43781,3.6029196605,258,0,0,0,514.44652337,3.7219610571,0.04,0
78,MURABAHA_P,33,20660.045765,304645.79705,349917.2872,8.0777481351,87,4,2,60,4637.9871403,22.449065181,0.17,1
79,IJARA_HOME,33,10449.807841,298679.07064,332094.23802,4.4840551924,114,0,0,0,3222.3497228,30.836449548,0.04,0
80,IJARA_HOME,58,14222.889156,306542.02346,358936.48012,4.1312871179,195,5,3,60,2160.8897533,15.193043618,0.14,1
81,IJARA_HOME,49,12599.869067,197458.86931,311367.8054,3.3567682112,229,4,3,60,1168.8934147,9.277028265,0.14,0
82,IJARA_HOME,37,13516.051123,91504.254099,103927.39877,4.8643996954,176,2,2,60,728.25219602,5.3880544648,0.14,0
83,MURABAHA_A,35,24156.85957,295665.61552,462955.42452,7.8533752234,135,2,0,30,3304.9604461,13.681250398,0.09,0
84,MURABAHA_P,53,13227.072988,88192.663714,108051.89598,8.217681575,295,5,0,30,697.03729365,5.2697773293,0.12,0
85,MURABAHA_A,29,14760.6284,291477.23205,399605.01804,7.5544639197,104,5,0,30,3828.0596212,25.934259149,0.09,0
86,MURABAHA_A,51,8586.6588563,235791.67034,293166.65868,9.3820958322,248,0,0,0,2156.0120584,25.108858922,0.07,0
87,MURABAHA_A,56,12536.506773,56527.198851,86357.100982,6.3226218104,180,3,0,30,486.91730302,3.8839950541,0.09,0
88,MURABAHA_A,55,17748.244885,220250.40928,253668.80188,5.6983194523,88,4,2,60,3067.9536364,17.28595507,0.14,0
89,MURABAHA_A,47,11569.213153,324804.67018,376506.90433,7.996500183,165,5,1,60,3251.0871218,28.101194772,0.14,0
90,MURABAHA_P,44,14126.087183,357119.22506,525682.38558,5.7468328002,41,5,2,60,9614.0914241,68.059125642,0.16,0
91,MURABAHA_A,56,15685.509165,284507.44497,420133.3662,8.6206270181,296,1,1,60,2323.0264022,14.810015906,0.17,0
92,IJARA_HOME,29,16579.742682,221491.96621,328538.95771,3.9482722051,247,1,0,30,1311.3234848,7.9091908119,0.09,0
93,IJARA_HOME,24,14207.837319,291987.27077,471857.53086,4.4720516808,165,1,3,60,2372.3004985,16.697125997,0.14,0
94,MURABAHA_A,47,20507.259485,93479.984533,145851.94248,7.4959063189,91,4,2,60,1349.8514589,6.5823103272,0.14,0
95,MURABAHA_P,48,8042.706836,82486.840617,99986.939189,7.0075520336,42,1,1,60,2220.3541988,27.607051258,0.14,0
96,IJARA_HOME,38,16589.477675,94019.459281,155515.28763,3.7411382976,297,0,0,0,485.88199969,2.9288565271,0.04,1
97,IJARA_HOME,24,17617.51306,357037.30453,563230.97095,3.2117666491,98,3,3,60,4146.7470118,23.537641196,0.14,0
98,MURABAHA_A,42,16465.228293,144357.50088,208246.25061,6.1607005006,279,4,0,30,974.67054698,5.919568983,0.09,0
99,IJARA_HOME,40,17922.339954,115207.62686,129853.46435,3.840108091,194,4,2,60,798.06285612,4.4528943104,0.14,0
100,MURABAHA_A,26,17131.566238,141298.6082,184014.15042,10.20130098,139,3,0,30,1736.5983441,10.136833492,0.12,1
101,MURABAHA_A,23,12820.517946,353094.82738,428319.64265,8.042634403,130,2,2,60,4077.5990244,31.805259674,0.17,0
102,MURABAHA_P,37,19569.307999,430465.74555,603694.85775,8.4639213993,224,1,0,30,3829.3894363,19.568343635,0.12,0
103,MURABAHA_A,29,22625.817842,65089.828428,85765.546089,7.9231914457,226,2,2,60,555.2408615,2.4540145483,0.14,0
104,MURABAHA_A,53,16992.041565,165095.30591,252703.9633,6.3104910585,221,1,2,60,1265.1400685,7.4454859568,0.14,0
105,IJARA_HOME,37,5588.5754821,170266.1396,269646.23479,4.5180338494,275,0,0,0,995.09221486,17.805829375,0.04,0
106,MURABAHA_A,49,9029.5340029,211366.50583,328428.1176,6.1902652151,240,4,1,60,1537.5872557,17.028423119,0.14,0
107,IJARA_HOME,55,13627.661772,412926.37829,622206.34915,3.6897406761,296,4,3,60,2126.8461358,15.606830955,0.14,0
108,IJARA_HOME,47,15982.460018,315140.02346,361735.23922,3.0935889411,75,3,3,60,4626.5601194,28.947734668,0.14,0
109,IJARA_HOME,52,18620.748563,434062.01368,491764.76471,4.1546321081,33,1,2,60,13941.834822,74.872579774,0.16,0
110,IJARA_HOME,43,10393.407019,94031.161722,119788.73909,3.8592175147,182,3,2,60,683.33126174,6.5746608449,0.14,1
111,IJARA_HOME,24,13278.283439,344991.84825,433153.71591,4.1602004787,131,2,0,30,3281.1355331,24.710539944,0.09,0
112,IJARA_HOME,52,13136.772401,268133.11791,380364.66755,3.5407722647,180,1,1,60,1922.2099918,14.632285109,0.14,0
113,MURABAHA_A,34,22350.336643,263327.23331,328720.30969,7.1630727522,279,2,2,60,1940.6899227,8.6830456012,0.14,0
114,IJARA_HOME,40,18736.803722,92122.959066,113473.81277,3.5176668669,84,4,0,30,1238.8602983,6.6119083951,0.09,0
115,IJARA_HOME,39,15316.506524,148532.13187,213193.45544,4.6233007051,195,1,1,60,1084.7261657,7.0820729519,0.14,0
116,MURABAHA_A,37,11724.955988,99954.919796,113294.81275,7.719614023,80,4,2,60,1602.3251255,13.66593723,0.14,1
117,MURABAHA_P,58,14051.378811,372362.19076,435500.87276,8.1068179802,227,3,3,60,3212.2536162,22.860771598,0.17,1
118,MURABAHA_A,56,17066.038123,352127.01391,534516.34201,8.0642426862,51,4,0,30,8178.0360853,47.919945018,0.12,0
119,IJARA_HOME,24,11849.407101,252666.22696,386641.89405,3.409724676,120,0,0,0,2487.8409845,20.99548917,0.04,0
120,MURABAHA_A,51,14210.169481,397401.71162,456441.82284,6.5863635401,119,0,0,0,4556.8299045,32.067386041,0.04,0
121,IJARA_HOME,23,17133.678355,155545.89182,175293.94795,4.1089420942,111,4,3,60,1686.8161278,9.8450320638,0.14,0
122,MURABAHA_A,34,14257.616777,358650.23667,562562.08518,6.1839627509,153,0,0,0,3394.1656898,23.805982044,0.04,0
123,IJARA_HOME,52,22281.612312,349865.06272,417770.16169,3.9529706449,135,3,2,60,3214.613072,14.427201349,0.14,0
124,MURABAHA_P,60,11944.720055,356245.57082,465418.00188,7.4535643518,228,1,2,60,2925.7751551,24.494296574,0.14,1
125,MURABAHA_A,55,13007.571526,117394.59354,162433.6126,7.4950174279,222,5,3,60,978.95554324,7.5260438989,0.14,0
126,IJARA_HOME,29,21576.694089,110702.73705,147931.66045,3.9820186334,275,5,0,30,614.40886387,2.8475579314,0.09,0
127,MURABAHA_P,53,13671.705897,378970.86563,426174.61849,4.842313988,263,1,3,60,2340.9982254,17.122941665,0.14,0
128,MURABAHA_A,58,18014.041203,436739.92995,699307.51144,8.4521765394,281,4,3,60,3573.3642714,19.836549896,0.17,0
129,MURABAHA_A,48,16093.432057,77090.468723,103224.20631,8.9977532011,71,0,0,0,1404.29315,8.7258773951,0.07,0
130,IJARA_HOME,49,18362.35359,209701.13249,337606.24412,4.5784496543,120,4,2,60,2181.2479878,11.878912891,0.14,0
131,IJARA_HOME,30,16704.147557,317719.55146,401842.95102,2.9330386498,38,0,0,0,8765.5420056,52.475242905,0.04,0
132,MURABAHA_A,37,13986.121991,367982.56589,467794.36565,7.5214097267,200,4,3,60,3233.0631279,23.116222852,0.14,0
133,MURABAHA_P,40,13501.821736,236603.49753,270048.37982,8.7994628693,270,1,2,60,2015.2866764,14.926035285,0.17,0
134,MURABAHA_A,31,15491.536004,169050.13211,239522.72905,5.5342028343,270,4,1,60,1096.0807207,7.0753521176,0.14,0
135,MURABAHA_A,43,8225.2103171,80798.712,113089.49678,6.5277852544,272,3,1,60,569.8099485,6.9276033867,0.14,0
136,MURABAHA_A,42,14327.592788,104870.90154,169107.1435,8.0804569614,227,0,0,0,902.9888957,6.3024466777,0.07,0
137,IJARA_HOME,52,16379.732998,79542.395752,90834.581792,4.106813947,271,2,3,60,450.83653865,2.7524046864,0.14,1
138,MURABAHA_A,54,14462.534202,64247.775543,76424.197926,7.0215050586,86,5,3,60,952.86845476,6.5885303462,0.14,0
139,MURABAHA_A,31,14554.167872,142404.48885,196719.73128,8.268433787,206,3,1,60,1296.2546411,8.9064153478,0.17,1
140,MURABAHA_A,26,18585.545224,161294.97373,191789.52196,7.2110713028,94,3,1,60,2250.9334139,12.111204631,0.14,0
141,IJARA_HOME,48,15876.137614,290518.15523,345738.14002,4.590478264,267,5,3,60,1738.6528757,10.951359316,0.14,0
142,IJARA_HOME,42,13395.392108,58726.600744,95348.474831,3.8203777964,135,5,2,60,535.85164534,4.0002684582,0.14,0
143,MURABAHA_A,41,9514.2295039,262791.60026,346254.27245,7.176991837,97,1,0,30,3578.4797703,37.611871448,0.09,0
144,MURABAHA_A,49,13113.035103,416288.18819,532856.6892,7.4120080392,173,1,0,30,3923.4085112,29.919911602,0.09,0
145,IJARA_HOME,53,15055.731671,332339.13332,412126.18223,2.930854025,81,0,0,0,4527.1663513,30.06938786,0.04,0
146,MURABAHA_P,24,17379.224388,212578.80945,251692.97528,8.4504297718,224,5,3,60,1889.3058504,10.871059652,0.17,0
147,MURABAHA_P,49,15182.351422,148964.81764,179950.44929,9.3846494238,201,2,2,60,1472.648007,9.6997360035,0.17,0
148,MURABAHA_A,58,14042.039512,340138.4918,524538.05726,6.566540226,296,4,2,60,2323.1843685,16.544493886,0.14,1
149,IJARA_HOME,50,18064.882963,223170.71715,312864.62324,3.9090102683,68,5,0,30,3664.1418911,20.283230722,0.09,0
150,MURABAHA_A,32,10459.183964,129076.97763,153978.99989,7.7476812667,215,5,1,60,1112.1399384,10.633142531,0.14,0
151,MURABAHA_A,26,17346.199689,191729.1861,217420.72326,8.7490614675,30,2,0,30,7138.5471281,41.153378008,0.12,0
152,IJARA_HOME,28,17839.957104,206653.72238,245101.41191,4.3204802306,215,1,0,30,1382.3668348,7.7487116518,0.09,0
153,MURABAHA_A,50,16898.329865,319909.19681,449908.22396,7.5539597622,84,4,0,30,4915.3794313,29.087959996,0.09,0
154,IJARA_HOME,51,7752.0099954,249257.78667,286573.84773,5.3110861569,244,3,1,60,1672.5983513,21.576318301,0.14,1
155,MURABAHA_A,59,15198.496816,349098.99095,413836.15336,6.7836267383,142,4,1,60,3582.3747445,23.57058588,0.14,0
156,IJARA_HOME,47,16043.957985,166500.27754,244539.58747,2.4682512701,190,1,3,60,1059.5670457,6.6041499651,0.14,0
157,IJARA_HOME,43,14248.558209,368731.03455,462850.6591,3.3372920106,141,3,0,30,3164.8612985,22.211800325,0.09,0
158,MURABAHA_P,42,13840.001117,288457.44692,374182.13704,8.6834362271,227,2,0,30,2591.7418268,18.726456775,0.12,0
159,MURABAHA_A,46,14894.901681,391868.23172,514680.66414,7.0686245112,51,5,3,60,8917.9853565,59.872737313,0.14,0
160,MURABAHA_A,40,17283.866591,290554.4945,340130.86194,7.9467361504,174,3,2,60,2817.6699592,16.302312589,0.14,0
161,MURABAHA_P,22,11407.609775,304831.57123,436179.49578,7.40911242,108,1,2,60,3875.778033,33.97537354,0.14,0
162,IJARA_HOME,29,11173.692698,102574.42063,136333.23353,3.4891904533,243,3,3,60,589.24785991,5.2735284195,0.14,0
163,MURABAHA_A,47,16783.811592,139266.39063,168616.19892,6.8497280127,257,1,2,60,1034.5274687,6.1638410503,0.14,0
164,IJARA_HOME,43,14336.904168,119093.15325,139377.52993,3.8993790266,204,4,0,30,799.42251829,5.5759772747,0.09,0
165,MURABAHA_A,50,15177.475227,193094.35906,269046.97509,6.1429437118,139,1,0,30,1944.9356931,12.814619454,0.09,0
166,IJARA_HOME,44,12177.789526,391705.13554,451369.51584,4.367428005,92,4,0,30,5017.8508992,41.20494026,0.09,0
167,IJARA_HOME,42,14433.461431,158184.28192,247428.52744,3.9764653331,46,1,1,60,3713.2173442,25.726450734,0.14,0
168,IJARA_HOME,40,14036.154882,228132.11363,275160.71439,3.688359818,169,3,1,60,1732.7359069,12.344804695,0.14,0
169,IJARA_HOME,27,14697.278617,76421.441138,107105.93303,3.5862140112,77,1,3,60,1112.5309513,7.5696391164,0.14,0
170,IJARA_HOME,43,19323.362342,327792.33931,506543.9035,3.909372268,51,5,0,30,6986.4619898,36.155519242,0.09,0
171,MURABAHA_A,26,24726.473979,286496.51054,424599.34409,8.7015764434,170,4,0,30,2937.5955401,11.880365727,0.12,0
172,IJARA_HOME,47,19585.478379,91222.547833,122538.76495,3.843605741,71,4,2,60,1438.4979601,7.3447170004,0.14,0
173,MURABAHA_A,42,18778.54916,282604.27406,443950.11417,8.5117195758,297,2,1,60,2284.5135016,12.165548479,0.17,1
174,IJARA_HOME,60,14610.193264,238972.17913,343171.10763,4.2282147443,97,1,3,60,2912.8729424,19.937264962,0.14,0
175,IJARA_HOME,48,18616.852958,83464.844525,94787.235482,4.4337766729,218,3,3,60,558.20899761,2.9984068675,0.14,0
176,MURABAHA_A,32,10970.132766,120869.51928,142031.67588,7.6013787163,152,0,0,0,1240.8521451,11.311186214,0.04,0
177,MURABAHA_A,27,17527.337613,137283.30676,216734.56186,7.4201658162,90,1,1,60,1993.5719237,11.374071566,0.14,0
178,MURABAHA_A,45,11531.878385,228302.29262,319538.60097,7.5735288321,86,1,2,60,3448.1378858,29.900921349,0.14,0
179,IJARA_HOME,22,9081.2497831,211071.57711,296116.62724,3.0658559001,176,5,2,60,1490.54667,16.413453055,0.14,0
180,IJARA_HOME,30,17782.487436,445369.53261,592646.25675,4.1407045229,282,4,3,60,2472.9291706,13.906542487,0.14,0
181,MURABAHA_A,48,11326.793235,218399.26476,320789.90328,7.5353635477,195,3,1,60,1945.384089,17.175064898,0.14,0
182,IJARA_HOME,36,13547.19585,293234.88753,329221.38699,4.5237657624,221,5,1,60,1957.8079353,14.451757817,0.14,0
183,MURABAHA_P,33,18927.891515,241520.42884,396281.35995,8.5665238683,99,4,3,60,3410.7339762,18.019619214,0.17,0
184,IJARA_HOME,39,18119.576037,311039.34767,438171.48722,3.7201392741,114,1,0,30,3243.0672558,17.898140934,0.09,0
185,MURABAHA_P,37,12763.954488,276709.3624,390248.72329,7.8353206567,223,1,1,60,2359.4844122,18.485528246,0.14,0
186,MURABAHA_A,26,6279.6166658,144671.27621,163120.3438,6.9929654704,169,2,0,30,1347.974782,21.46587688,0.09,0
187,IJARA_HOME,40,11039.525861,262692.70228,311762.94522,3.4007718336,273,0,0,0,1383.2994996,12.530424921,0.04,0
188,IJARA_HOME,31,15925.011002,445800.19442,709736.32476,4.1164632438,245,3,3,60,2693.0334562,16.910716457,0.14,0
189,MURABAHA_A,29,14418.827702,177252.84379,213017.11744,7.2822848432,148,1,2,60,1818.3339481,12.610830684,0.14,0
190,MURABAHA_P,24,17830.449367,330719.83885,503805.78525,7.2734348232,186,4,0,30,2969.6444183,16.654905085,0.09,0
191,MURABAHA_A,46,10752.170372,273486.3868,426014.06679,7.9610945677,137,4,3,60,3045.1846724,28.321581291,0.14,0
192,IJARA_HOME,56,13221.791167,188019.15469,278772.60942,3.7403731672,133,1,2,60,1729.062719,13.077371267,0.14,0
193,MURABAHA_A,60,13237.910216,377926.98955,436149.32661,7.2486082247,161,0,0,0,3677.5186893,27.780205706,0.04,0
194,MURABAHA_A,52,16579.31637,358473.44147,491520.247,7.7150517131,275,2,1,60,2782.2355596,16.781364789,0.14,0
195,MURABAHA_A,35,16190.889531,394388.77981,464794.18979,5.6255816519,205,2,0,30,2998.3078874,18.518487707,0.09,0
196,IJARA_HOME,31,17397.049437,205811.27414,283578.43625,4.7421181952,270,3,3,60,1241.2732422,7.1349641599,0.14,0
197,MURABAHA_A,45,9174.3395481,426734.03583,634807.90108,7.8588818137,162,5,0,30,4281.9423279,46.673030853,0.09,0
198,IJARA_HOME,57,14776.302405,100099.88602,166361.7357,2.8222061014,142,2,0,30,829.99869717,5.6170933324,0.09,0
199,MURABAHA_P,49,10944.305476,445261.18543,589224.86945,7.8133675019,212,5,3,60,3879.070689,35.443735533,0.14,0
200,IJARA_HOME,35,6554.5989791,155842.69622,195068.34042,4.7668896278,159,5,2,60,1323.9301349,20.198491763,0.14,0
201,MURABAHA_A,26,18295.63069,333182.75157,404752.75793,8.559112383,41,3,2,60,9401.2104921,51.385003618,0.17,1
202,MURABAHA_A,45,19550.936994,233422.45547,273487.92346,7.9666013935,283,0,0,0,1831.1489054,9.3660416684,0.04,0
203,MURABAHA_A,29,16469.709048,326319.46784,370052.92089,7.8099312414,290,4,2,60,2505.618964,15.213498652,0.14,0
204,MURABAHA_A,39,15863.487426,409747.42696,603844.14785,7.1855157004,180,5,2,60,3725.5539134,23.485087568,0.14,1
205,MURABAHA_P,24,11803.301292,369063.84416,572516.77328,8.3488160418,106,1,3,60,4933.5430369,41.797992909,0.17,0
206,MURABAHA_A,49,17677.459573,93270.628992,105902.60008,7.6707352307,116,4,3,60,1141.1240503,6.4552491015,0.14,0
207,MURABAHA_A,53,15379.176158,335880.65058,464467.93338,8.2378943801,35,2,0,30,10828.354296,70.40919608,0.14,0
208,MURABAHA_A,23,16037.895024,312023.08172,433482.44624,6.5388473096,255,5,1,60,2267.3924808,14.137718681,0.14,1
209,MURABAHA_A,38,13519.997783,81077.776197,131603.07491,8.9123688927,233,2,1,60,732.85666743,5.42053837,0.17,0
210,IJARA_HOME,34,18880.153706,423478.88621,544985.21089,3.5764540904,171,2,2,60,3164.5307055,16.76114906,0.14,0
211,IJARA_HOME,46,5879.4154441,257466.32628,402083.61027,3.6331481693,273,5,0,30,1387.2941177,23.595783133,0.09,0
212,IJARA_HOME,32,19573.030123,358161.8933,404172.75195,3.7930361277,37,4,2,60,10272.405747,52.482449996,0.14,0
