cust_id,segment,facility_type,limit_amt,current_balance,util_ratio,util_change_12m,undrawn_amt,obs_ccf,ead_at_default,dpd_12m_max,high_risk_flag,default_flag,secured_flag,revolving_flag,util_ratio_12m_ago,util_ratio_6m_ago,util_max_12m,util_min_12m,util_vol_12m,undrawn_ratio,limit_bucket,obs_ccf_capped,obs_ccf_high_flag,dpd_ever_30plus,high_risk_dpd_flag,segment_stress_scale,ccf_baseline,ccf_ttc,ccf_pit,ead_current,ead_ttc,ead_stressed_up,ead_stressed_down,high_util_flag,low_util_flag,ccf_gap,new_to_bank_flag,refinance_flag,sector_code
11,Retail,Overdraft,143108,71462,0.499,-0.066,71645,0.242,88800,0,0,1,0,1,0.565,0.532,0.565,0.499,0.032999999999999974,0.5006358833887693,L2_50_200k,0.242,0,0,0,1.0,0.75,0.7049999999999998,0.44520000000000004,71462,258694.21487603302,106560.0,79920.0,0,0,-0.508,0,0,SERVICES
12,Retail,Overdraft,117610,46256,0.393,0.021,71353,0.226,62349,0,0,0,0,1,0.372,0.3825,0.393,0.372,0.01050000000000001,0.6066916078564748,L2_50_200k,0.226,0,0,0,1.0,0.75,0.7049999999999998,0.43560000000000004,46256,194495.77433628312,74818.8,56114.1,0,0,-0.524,0,0,SERVICES
13,Retail,Overdraft,37779,33401,0.884,0.109,4378,0.208,34310,0,1,0,0,1,0.775,0.8295,0.884,0.775,0.05449999999999999,0.1158844860901559,L1_0_50k,0.208,0,0,1,1.0,0.85,0.7749999999999999,0.4648,33401,127837.74038461538,41172.0,30879.0,1,0,-0.642,0,0,SERVICES
14,Retail,Revolver,47400,23592,0.498,-0.008,23807,0.832,43410,0,0,0,0,1,0.506,0.502,0.506,0.498,0.0040000000000000036,0.5022573839662448,L1_0_50k,0.832,1,0,0,1.0,0.75,0.7049999999999998,0.7992,23592,36783.71394230769,52092.0,39069.0,0,0,0.08199999999999996,0,0,SERVICES
15,Retail,CreditLine,103546,92289,0.891,0.152,11256,0.38,96567,0,1,0,0,1,0.739,0.815,0.891,0.739,0.07600000000000001,0.10870530971742028,L2_50_200k,0.38,0,0,1,1.0,0.6,0.6,0.46799999999999997,92289,152474.2105263158,115880.4,86910.3,1,0,-0.21999999999999997,0,0,SERVICES
16,Retail,CreditLine,33924,26252,0.774,-0.045,7671,0.445,29669,5,1,0,0,1,0.8190000000000001,0.7965,0.8190000000000001,0.774,0.02250000000000002,0.22612309869119207,L1_0_50k,0.445,0,0,1,1.0,0.6,0.6,0.507,26252,40003.14606741573,35602.799999999996,26702.100000000002,0,0,-0.15499999999999997,0,0,SERVICES
17,Corporate,Revolver,3170041,696670,0.22,-0.109,2473371,0.369,1609594,0,0,0,0,1,0.329,0.2745,0.329,0.22,0.05450000000000001,0.780233126322341,L4_500k_plus,0.369,0,0,0,1.1,0.75,0.7049999999999998,0.5214000000000001,696670,3075240.5691056903,1963704.68,1432538.66,0,0,-0.381,0,0,
18,SME,CreditLine,405259,277655,0.685,-0.235,127604,0.343,321459,0,0,0,0,1,0.92,0.8025,0.92,0.685,0.1175,0.31487024347392656,L3_200_500k,0.343,0,0,0,1.2,0.5,0.53,0.40580000000000005,277655,496715.07288629736,398609.16,282883.92,0,0,-0.15699999999999997,1,0,MANUFACTURING
19,Corporate,Revolver,2659826,1252457,0.471,-0.066,1407368,0.446,1879848,60,1,0,0,1,0.5369999999999999,0.504,0.5369999999999999,0.471,0.032999999999999974,0.5291203259160562,L4_500k_plus,0.446,0,1,1,1.1,0.9,0.81,0.6276,1252457,3414073.7219730946,2293414.56,1673064.72,0,0,-0.454,0,1,
20,Corporate,Overdraft,3210511,2598550,0.809,0.077,611961,0.356,2816165,5,1,0,0,1,0.7320000000000001,0.7705000000000001,0.809,0.7320000000000001,0.03849999999999998,0.19061171259030105,L4_500k_plus,0.356,0,0,1,1.1,0.85,0.7749999999999999,0.5536,2598550,6130696.2780898865,3435721.3,2506386.85,1,0,-0.494,0,0,
21,SME,CreditLine,360613,166419,0.461,0.032,194194,0.672,296905,0,0,0,0,1,0.42900000000000005,0.44500000000000006,0.461,0.42900000000000005,0.015999999999999986,0.5385108135314035,L3_200_500k,0.672,0,0,0,1.2,0.5,0.53,0.6032,166419,234166.1458333333,368162.2,261276.4,0,0,0.17200000000000004,0,0,MANUFACTURING
22,SME,Revolver,264733,61101,0.231,0.009,203631,0.456,153959,30,0,0,0,1,0.222,0.2265,0.231,0.222,0.004500000000000004,0.7691938670282888,L3_200_500k,0.456,0,1,0,1.2,0.8,0.74,0.5936000000000001,61101,249845.74561403508,190909.16,135483.92,0,0,-0.34400000000000003,0,0,MANUFACTURING
23,Retail,Overdraft,95587,67143,0.702,0.077,28444,0.33,76533,60,1,0,0,1,0.625,0.6635,0.702,0.625,0.03849999999999998,0.2975718455438501,L2_50_200k,0.33,0,1,1,1.0,0.9,0.81,0.558,67143,187853.72727272726,91839.59999999999,68879.7,0,0,-0.5700000000000001,0,0,SERVICES
24,Retail,Revolver,55814,25946,0.465,-0.021,29867,0.405,38038,30,0,0,0,1,0.48600000000000004,0.47550000000000003,0.48600000000000004,0.465,0.01050000000000001,0.5351166374028021,L2_50_200k,0.405,0,1,0,1.0,0.8,0.74,0.5630000000000001,25946,69501.53086419753,45645.6,34234.200000000004,0,0,-0.395,0,0,SERVICES
25,Retail,CreditLine,39040,9858,0.253,-0.039,29182,0.582,26854,0,0,0,0,1,0.292,0.27249999999999996,0.292,0.253,0.01949999999999999,0.7474897540983606,L1_0_50k,0.582,0,0,0,1.0,0.5,0.53,0.5491999999999999,9858,24454.673539518903,32224.8,24168.600000000002,0,0,0.08199999999999996,0,0,SERVICES
26,Retail,Revolver,66344,18060,0.272,-0.141,48283,0.647,49318,5,0,0,0,1,0.41300000000000003,0.3425,0.41300000000000003,0.272,0.07050000000000001,0.7277673941878693,L2_50_200k,0.647,0,0,0,1.0,0.75,0.7049999999999998,0.6882,18060,53739.088098918066,59181.6,44386.200000000004,0,0,-0.10299999999999998,0,0,SERVICES
27,Retail,Card,60256,41821,0.694,-0.223,18434,0.856,57606,5,0,0,1,0,0.9169999999999999,0.8054999999999999,0.9169999999999999,0.694,0.11149999999999999,0.30592804036112586,L2_50_200k,0.856,1,0,0,1.0,0.5,0.53,0.7136,41821,35667.26635514019,69127.2,51845.4,0,0,0.356,0,0,SERVICES
28,Corporate,Overdraft,1697035,469129,0.276,0.029,1227905,0.363,915049,0,0,0,0,1,0.24700000000000003,0.2615,0.276,0.24700000000000003,0.014499999999999999,0.7235590308980074,L4_500k_plus,0.363,0,0,0,1.1,0.75,0.7049999999999998,0.5178,469129,1777161.2809917354,1116359.78,814393.61,0,0,-0.387,1,0,
29,Retail,CreditLine,149078,129484,0.869,-0.074,19594,0.575,140746,30,1,1,0,1,0.943,0.9059999999999999,0.943,0.869,0.03699999999999998,0.13143455104039495,L2_50_200k,0.575,0,1,1,1.0,0.65,0.635,0.605,129484,155432.5391304348,168895.19999999998,126671.40000000001,1,0,-0.07500000000000007,0,0,SERVICES
30,Corporate,Revolver,10000000,4227590,0.423,-0.074,5772409,0.718,8371743,0,0,0,0,1,0.497,0.45999999999999996,0.497,0.423,0.037000000000000005,0.5772409,L4_500k_plus,0.718,0,0,0,1.1,0.75,0.7049999999999998,0.7308,4227590,8220165.480501391,10213526.459999999,7450851.2700000005,0,0,-0.03200000000000003,0,0,
31,Retail,Overdraft,33441,29105,0.87,0.225,4335,0.234,30120,30,1,0,0,1,0.645,0.7575000000000001,0.87,0.645,0.11249999999999999,0.12963129093029516,L1_0_50k,0.234,0,1,1,1.0,0.9,0.81,0.5004000000000001,29105,104261.53846153847,36144.0,27108.0,1,0,-0.666,0,0,SERVICES
32,Retail,Revolver,90731,23511,0.259,0.038,67220,0.637,66318,5,0,0,0,1,0.221,0.24,0.259,0.221,0.019000000000000003,0.7408713670079686,L2_50_200k,0.637,0,0,0,1.0,0.75,0.7049999999999998,0.6822,23511,73397.47252747252,79581.59999999999,59686.200000000004,0,0,-0.11299999999999999,0,0,SERVICES
33,SME,Revolver,150717,132137,0.877,-0.034,18580,0.789,146798,5,1,0,0,1,0.911,0.894,0.911,0.877,0.017000000000000015,0.12327740069136196,L2_50_200k,0.789,1,0,1,1.2,0.85,0.7749999999999999,0.8134,132137,144193.21926489225,182029.52,129182.24,1,0,-0.06099999999999994,0,0,MANUFACTURING
34,SME,CreditLine,377004,102111,0.271,-0.071,274892,0.396,211048,0,0,0,0,1,0.342,0.3065,0.342,0.271,0.035500000000000004,0.729148762347349,L3_200_500k,0.396,0,0,0,1.2,0.5,0.53,0.4376,102111,282463.23232323234,261699.52,185722.24,0,0,-0.10399999999999998,0,0,MANUFACTURING
35,Retail,Revolver,68782,44195,0.643,-0.003,24586,0.608,59136,0,0,0,0,1,0.646,0.6445000000000001,0.646,0.643,0.0015000000000000013,0.3574481695792504,L2_50_200k,0.608,0,0,0,1.0,0.75,0.7049999999999998,0.6648000000000001,44195,68570.52631578947,70963.2,53222.4,0,0,-0.14200000000000002,0,0,SERVICES
36,Retail,Card,51169,16120,0.315,-0.031,35048,0.579,36415,0,0,0,1,0,0.346,0.3305,0.346,0.315,0.015499999999999986,0.684945963376263,L2_50_200k,0.579,0,0,0,1.0,0.5,0.53,0.5474,16120,33333.2469775475,43698.0,32773.5,0,0,0.07899999999999996,0,1,SERVICES
37,Retail,Revolver,60140,7432,0.124,-0.207,52708,0.47,32206,0,0,0,0,1,0.33099999999999996,0.22749999999999998,0.33099999999999996,0.124,0.10349999999999998,0.8764216827402727,L2_50_200k,0.47,0,0,0,1.0,0.75,0.7049999999999998,0.5820000000000001,7432,48308.99999999999,38647.2,28985.4,0,1,-0.28,1,0,SERVICES
38,SME,Overdraft,365876,73126,0.2,-0.321,292750,0.355,176980,0,0,0,0,1,0.521,0.36050000000000004,0.521,0.2,0.1605,0.8001344717882561,L3_200_500k,0.355,0,0,0,1.2,0.75,0.7049999999999998,0.513,73126,351467.3239436619,219455.2,155742.4,0,0,-0.395,0,1,MANUFACTURING
39,SME,Overdraft,467638,430393,0.92,-0.211,37245,0.333,442778,0,1,0,0,1,1.0,0.96,1.0,0.92,0.03999999999999998,0.07964493903403914,L3_200_500k,0.333,0,0,1,1.2,0.85,0.7749999999999999,0.5398000000000001,430393,1030489.3393393392,549044.72,389644.64,1,0,-0.5169999999999999,0,0,MANUFACTURING
40,Retail,Revolver,39438,32922,0.835,-0.068,6515,0.439,35784,0,1,1,0,1,0.903,0.869,0.903,0.835,0.03400000000000003,0.1651960038541508,L1_0_50k,0.439,0,0,1,1.0,0.85,0.7749999999999999,0.6033999999999999,32922,63172.20956719817,42940.799999999996,32205.600000000002,1,0,-0.411,0,0,SERVICES
41,Retail,Revolver,66485,13136,0.198,-0.054,53348,0.355,32068,0,0,0,0,1,0.252,0.225,0.252,0.198,0.026999999999999996,0.8024065578701963,L2_50_200k,0.355,0,0,0,1.0,0.75,0.7049999999999998,0.513,13136,63684.338028169,38481.6,28861.2,0,1,-0.395,0,0,SERVICES
42,Retail,Card,126738,85209,0.672,-0.151,41529,0.81,118851,5,0,0,1,0,0.8230000000000001,0.7475,0.8230000000000001,0.672,0.07550000000000001,0.3276759929934195,L2_50_200k,0.81,1,0,0,1.0,0.5,0.53,0.6859999999999999,85209,77766.70370370371,142621.19999999998,106965.90000000001,0,0,0.31000000000000005,0,0,SERVICES
43,Corporate,Revolver,1394292,660202,0.474,0.019,734089,0.331,903166,5,0,1,0,1,0.45499999999999996,0.46449999999999997,0.474,0.45499999999999996,0.009500000000000008,0.5264958846497003,L4_500k_plus,0.331,0,0,0,1.1,0.75,0.7049999999999998,0.49860000000000004,660202,1923661.72205438,1101862.52,803817.74,0,0,-0.419,0,0,
44,Corporate,CreditLine,813312,194691,0.239,-0.331,618621,0.562,542175,30,0,0,0,1,0.5700000000000001,0.4045,0.5700000000000001,0.239,0.16550000000000004,0.7606195408404155,L4_500k_plus,0.562,0,1,0,1.1,0.55,0.565,0.5572,194691,545069.1725978646,661453.5,482535.75,0,0,0.01200000000000001,0,0,
45,Corporate,Overdraft,2975164,354587,0.119,0.019,2620577,0.404,1413926,0,0,0,0,1,0.09999999999999999,0.10949999999999999,0.119,0.09999999999999999,0.009500000000000001,0.8808176624885217,L4_500k_plus,0.404,0,0,0,1.1,0.75,0.7049999999999998,0.5424,354587,2467370.866336633,1724989.72,1258394.1400000001,0,1,-0.346,0,0,
46,Retail,CreditLine,60606,13296,0.219,-0.053,47310,0.388,31672,0,0,0,0,1,0.272,0.2455,0.272,0.219,0.02650000000000001,0.7806157806157806,L2_50_200k,0.388,0,0,0,1.0,0.5,0.53,0.4328,13296,43263.298969072166,38006.4,28504.8,0,0,-0.11199999999999999,0,0,SERVICES
47,Corporate,Overdraft,1336102,881926,0.66,0.141,454176,0.284,1010798,0,1,0,0,1,0.519,0.5895,0.66,0.519,0.07050000000000001,0.3399261433633061,L4_500k_plus,0.284,0,0,1,1.1,0.85,0.7749999999999999,0.5104,881926,2758339.612676056,1233173.56,899610.22,0,0,-0.5660000000000001,0,1,
48,Corporate,Overdraft,3759486,849597,0.226,-0.096,2909889,0.387,1975245,0,0,0,0,1,0.322,0.274,0.322,0.226,0.048,0.7740124580860256,L4_500k_plus,0.387,0,0,0,1.1,0.75,0.7049999999999998,0.5322,849597,3598314.53488372,2409798.9,1757968.05,0,0,-0.363,0,0,
49,SME,Revolver,90024,67923,0.755,0.106,22100,0.699,83361,60,1,0,0,1,0.649,0.702,0.755,0.649,0.05299999999999999,0.24549009153114726,L2_50_200k,0.699,0,1,1,1.2,0.9,0.81,0.7794,67923,96598.58369098713,103367.64,73357.68000000001,0,0,-0.20100000000000007,0,0,MANUFACTURING
50,SME,CreditLine,340624,182125,0.535,-0.21,158499,0.539,267596,30,0,0,0,1,0.745,0.64,0.745,0.535,0.10499999999999998,0.46531953121330266,L3_200_500k,0.539,0,1,0,1.2,0.55,0.565,0.5434000000000001,182125,280504.15584415576,331819.04,235484.48,0,0,-0.01100000000000001,1,0,MANUFACTURING
51,Retail,CreditLine,37889,24831,0.655,0.13,13058,0.628,33026,30,1,0,0,1,0.525,0.5900000000000001,0.655,0.525,0.065,0.3446382855182243,L1_0_50k,0.628,0,1,1,1.0,0.65,0.635,0.6368,24831,33394.12420382165,39631.2,29723.4,0,0,-0.02200000000000002,0,0,SERVICES
52,SME,Card,136014,78542,0.577,-0.199,57471,0.73,120508,5,0,0,1,0,0.776,0.6765,0.776,0.577,0.09950000000000003,0.4225373858573382,L2_50_200k,0.73,0,0,0,1.2,0.5,0.53,0.638,78542,87492.1095890411,149429.92,106047.04,0,0,0.22999999999999998,1,0,MANUFACTURING
53,SME,Overdraft,254875,220150,0.864,0.088,34724,0.283,229978,0,1,0,0,1,0.776,0.8200000000000001,0.864,0.776,0.043999999999999984,0.13623933300637567,L3_200_500k,0.283,0,0,1,1.2,0.85,0.7749999999999999,0.5098,220150,629798.4098939929,285172.72,202380.64,1,0,-0.567,0,0,MANUFACTURING
54,SME,Revolver,299775,54089,0.18,0.047,245686,0.37,145076,5,0,0,0,1,0.133,0.1565,0.18,0.133,0.023499999999999993,0.8195680093403386,L3_200_500k,0.37,0,0,0,1.2,0.75,0.7049999999999998,0.522,54089,276428.59459459456,179894.24,127666.88,0,1,-0.38,0,0,MANUFACTURING
55,Retail,Overdraft,48262,15063,0.312,-0.047,33199,0.41,28675,90,1,0,0,1,0.359,0.3355,0.359,0.312,0.023499999999999993,0.6878910944428329,L1_0_50k,0.41,0,1,1,1.0,0.9,0.81,0.606,15063,56650.60975609757,34410.0,25807.5,0,0,-0.49000000000000005,0,0,SERVICES
56,Retail,Overdraft,27014,6980,0.258,-0.152,20034,0.197,10928,30,0,1,0,1,0.41000000000000003,0.334,0.41000000000000003,0.258,0.07600000000000001,0.7416154586510698,L1_0_50k,0.197,0,1,0,1.0,0.8,0.74,0.43820000000000003,6980,41049.34010152284,13113.6,9835.2,0,0,-0.603,0,0,SERVICES
57,Retail,Card,123439,51609,0.418,0.006,71829,0.417,81590,5,0,0,1,0,0.412,0.415,0.418,0.412,0.0030000000000000027,0.5818987516101071,L2_50_200k,0.417,0,0,0,1.0,0.5,0.53,0.4502,51609,103699.52038369306,97908.0,73431.0,0,0,-0.08300000000000002,0,0,SERVICES
58,SME,CreditLine,438687,139602,0.318,0.02,299084,0.256,216049,0,0,0,0,1,0.298,0.308,0.318,0.298,0.010000000000000009,0.6817708297715683,L3_200_500k,0.256,0,0,0,1.2,0.5,0.53,0.3536,139602,447288.9453125,267900.76,190123.12,0,0,-0.244,0,0,MANUFACTURING
59,Retail,CreditLine,33148,19613,0.592,-0.081,13535,0.705,29156,0,0,0,0,1,0.6729999999999999,0.6325,0.6729999999999999,0.592,0.04049999999999998,0.4083202606492096,L1_0_50k,0.705,0,0,0,1.0,0.5,0.53,0.623,19613,21918.695035460994,34987.2,26240.4,0,0,0.20499999999999996,1,0,SERVICES
60,Retail,Overdraft,27935,10098,0.362,-0.124,17836,0.244,14447,0,0,0,0,1,0.486,0.424,0.486,0.362,0.062,0.6384821908000716,L1_0_50k,0.244,0,0,0,1.0,0.75,0.7049999999999998,0.4464,10098,41742.35655737705,17336.399999999998,13002.300000000001,0,0,-0.506,1,0,SERVICES
61,Retail,Overdraft,55520,21961,0.396,-0.01,33559,0.211,29052,30,0,0,0,1,0.406,0.401,0.406,0.396,0.0050000000000000044,0.6044488472622478,L2_50_200k,0.211,0,1,0,1.0,0.8,0.74,0.44660000000000005,21961,101888.53080568722,34862.4,26146.8,0,0,-0.5890000000000001,0,0,SERVICES
62,Retail,Overdraft,34371,32231,0.938,-0.11,2140,0.214,32689,0,1,0,0,1,1.0,0.969,1.0,0.938,0.031000000000000028,0.06226179046289023,L1_0_50k,0.214,0,0,1,1.0,0.85,0.7749999999999999,0.46840000000000004,32231,118383.06074766353,39226.799999999996,29420.100000000002,1,0,-0.636,0,0,SERVICES
63,Retail,Revolver,80607,8889,0.11,0.122,71718,0.496,44440,60,1,0,0,1,0.0,0.055,0.11,0.0,0.055,0.8897242174997209,L2_50_200k,0.496,0,1,1,1.0,0.9,0.81,0.6576,8889,72573.3870967742,53328.0,39996.0,0,1,-0.404,0,0,SERVICES
64,Retail,Revolver,77194,16703,0.216,-0.243,60491,0.544,49622,5,0,0,0,1,0.45899999999999996,0.33749999999999997,0.45899999999999996,0.216,0.12149999999999998,0.7836230795139518,L2_50_200k,0.544,0,0,0,1.0,0.75,0.7049999999999998,0.6264000000000001,16703,64307.922794117636,59546.399999999994,44659.8,0,0,-0.20599999999999996,0,0,SERVICES
65,SME,CreditLine,110215,99433,0.902,0.082,10781,0.503,104859,60,1,1,0,1,0.8200000000000001,0.861,0.902,0.8200000000000001,0.04099999999999998,0.09781790137458604,L2_50_200k,0.503,0,1,1,1.2,0.65,0.635,0.5618000000000001,99433,132376.66998011927,130025.16,92275.92,1,0,-0.14700000000000002,0,0,MANUFACTURING
66,Retail,Overdraft,70511,14966,0.212,-0.192,55544,0.535,44706,90,1,0,0,1,0.404,0.308,0.404,0.212,0.09600000000000002,0.7877352469827403,L2_50_200k,0.535,0,1,1,1.0,0.9,0.81,0.681,14966,67685.71962616823,53647.2,40235.4,0,0,-0.365,0,0,SERVICES
67,SME,Revolver,402897,111412,0.277,0.141,291484,0.547,270822,5,1,1,0,1,0.13600000000000004,0.20650000000000002,0.277,0.13600000000000004,0.0705,0.7234702665941916,L3_200_500k,0.547,0,0,1,1.2,0.85,0.7749999999999999,0.6682,111412,383705.7586837294,335819.27999999997,238323.36000000002,0,0,-0.30299999999999994,0,0,MANUFACTURING
68,Retail,CreditLine,78044,68766,0.881,0.126,9278,0.217,70780,0,1,0,0,1,0.755,0.8180000000000001,0.881,0.755,0.063,0.11888165650146071,L2_50_200k,0.217,0,0,1,1.0,0.6,0.6,0.3702,68766,195705.06912442396,84936.0,63702.0,1,0,-0.383,0,0,SERVICES
69,Retail,CreditLine,31967,3751,0.117,-0.099,28216,0.319,12741,0,0,0,0,1,0.21600000000000003,0.1665,0.21600000000000003,0.117,0.04950000000000001,0.8826602433759815,L1_0_50k,0.319,0,0,0,1.0,0.5,0.53,0.39139999999999997,3751,21168.43260188088,15289.199999999999,11466.9,0,1,-0.181,1,1,SERVICES
70,SME,Overdraft,425293,388765,0.914,0.118,36527,0.251,397946,0,1,1,0,1,0.796,0.855,0.914,0.796,0.059,0.08588667107147308,L3_200_500k,0.251,0,0,1,1.2,0.85,0.7749999999999999,0.49060000000000004,388765,1228717.7290836652,493453.04,350192.48,1,0,-0.599,0,0,MANUFACTURING
71,Retail,Overdraft,77802,60965,0.784,0.114,16836,0.232,64868,0,1,0,0,1,0.67,0.7270000000000001,0.784,0.67,0.056999999999999995,0.2163954654122002,L2_50_200k,0.232,0,0,1,1.0,0.85,0.7749999999999999,0.4792,60965,216692.67241379304,77841.59999999999,58381.200000000004,0,0,-0.618,0,1,SERVICES
72,Corporate,Overdraft,2660559,2151168,0.809,-0.092,509391,0.489,2400414,5,1,1,0,1,0.901,0.855,0.901,0.809,0.045999999999999985,0.191460140519342,L4_500k_plus,0.489,0,0,1,1.1,0.85,0.7749999999999999,0.6334,2151168,3804337.116564417,2928505.08,2136368.46,1,0,-0.361,0,0,
73,Retail,Card,86674,16703,0.193,-0.102,69970,0.864,77187,0,0,0,1,0,0.295,0.244,0.295,0.193,0.05099999999999999,0.8072778457207467,L2_50_200k,0.864,1,0,0,1.0,0.5,0.53,0.7183999999999999,16703,47348.506944444445,92624.4,69468.3,0,1,0.364,0,0,SERVICES
74,SME,CreditLine,239883,210365,0.877,0.205,29518,0.369,221254,5,1,0,0,1,0.672,0.7745,0.877,0.672,0.10249999999999998,0.1230516543481614,L3_200_500k,0.369,0,0,1,1.2,0.6,0.6,0.4614,210365,359762.60162601626,274354.96,194703.52,1,0,-0.23099999999999998,0,0,MANUFACTURING
75,Retail,Revolver,84416,60249,0.714,0.088,24167,0.752,78424,5,0,0,0,1,0.626,0.6699999999999999,0.714,0.626,0.043999999999999984,0.28628459059893857,L2_50_200k,0.752,1,0,0,1.0,0.75,0.7049999999999998,0.7512000000000001,60249,73522.49999999999,94108.8,70581.6,0,0,0.0020000000000000018,1,0,SERVICES
76,SME,CreditLine,186626,115026,0.616,-0.051,71599,0.468,148501,30,0,0,0,1,0.667,0.6415,0.667,0.616,0.025500000000000023,0.3836496522456678,L2_50_200k,0.468,0,1,0,1.2,0.55,0.565,0.5008,115026,179280.05341880338,184141.24,130680.88,0,0,-0.08200000000000002,0,0,MANUFACTURING
77,SME,Overdraft,259445,219000,0.844,-0.0,40445,0.354,233326,0,1,0,0,1,0.844,0.844,0.844,0.844,0.0,0.15589045847867564,L3_200_500k,0.354,0,0,1,1.2,0.85,0.7749999999999999,0.5524,219000,510812.5706214688,289324.24,205326.88,1,0,-0.496,0,0,MANUFACTURING
78,SME,CreditLine,260522,190527,0.731,0.075,69994,0.131,199697,30,0,0,0,1,0.656,0.6935,0.731,0.656,0.03749999999999998,0.2686682890504449,L3_200_500k,0.131,0,1,0,1.2,0.55,0.565,0.29860000000000003,190527,861288.5877862594,247624.28,175733.36000000002,0,0,-0.41900000000000004,0,0,MANUFACTURING
79,SME,CreditLine,201126,125233,0.623,-0.153,75893,0.734,180928,0,0,0,0,1,0.776,0.6995,0.776,0.623,0.07650000000000001,0.3773405725763949,L3_200_500k,0.734,0,0,0,1.2,0.5,0.53,0.6404,125233,130642.83378746593,224350.72,159216.64,0,0,0.23399999999999999,0,0,MANUFACTURING
