cust_id,segment,facility_type,sector_code,limit_amt,current_balance,util_ratio,util_ratio_12m_ago,util_ratio_6m_ago,util_change_12m,util_max_12m,util_min_12m,util_vol_12m,undrawn_amt,undrawn_ratio,limit_bucket,obs_ccf,obs_ccf_capped,obs_ccf_high_flag,ccf_baseline,ccf_ttc,ccf_pit,ccf_gap,ead_current,ead_ttc,ead_at_default,ead_stressed_up,ead_stressed_down,dpd_12m_max,dpd_ever_30plus,high_risk_flag,high_risk_dpd_flag,secured_flag,revolving_flag,segment_stress_scale,high_util_flag,low_util_flag,new_to_bank_flag,refinance_flag,default_flag
11,Retail,Overdraft,Construction,154630,72985.36,0.472,0.49606543726891755,0.46940831689258533,-0.024,0.49606543726891755,0.46940831689258533,0.027,81644.64,0.528,150k-300k,0.183,0.183,0,0.205,0.168,0.259,-0.022,89722.51,94208.64,87926.33,89722.51,80750.26,0,0,0,0,0,1,0.057,0,0,0,0,0
12,Corporate,Revolving Loan,Services,534523,122940.29,0.23,0.13499884421151914,0.25739610406525826,0.095,0.25739610406525826,0.13499884421151914,0.122,411582.71,0.77,500k+,0.359,0.359,0,0.29,0.274,0.298,0.069,242299.28,254414.24,270698.48,314989.06,218069.35,0,0,1,0,1,0,0.116,0,0,0,0,0
13,SME,Term Loan,Trading,412763,183266.77,0.444,0.19736458986306404,0.30692047980353376,0.247,0.444,0.19736458986306404,0.247,229496.23,0.556,300k-500k,0.34,0.34,0,0.359,0.38,0.385,-0.019,265655.92,278938.72,261295.49,265655.92,239090.33,0,0,0,0,0,0,0.341,0,0,0,0,0
14,Retail,Term Loan,Services,226104,160759.94,0.711,0.6985628287794245,0.6183625807814791,0.012,0.711,0.6183625807814791,0.093,65344.06,0.289,150k-300k,0.454,0.454,0,0.294,0.279,0.283,0.16,179971.09,188969.64,190426.14,215965.31,161973.98,30,1,0,0,1,0,0.142,0,0,0,0,0
15,Retail,Term Loan,Services,166980,78814.56,0.472,0.2620588765162628,0.46120286540662914,0.21,0.472,0.2620588765162628,0.21,88165.44,0.528,150k-300k,0.525,0.525,1,0.424,0.434,0.459,0.101,116196.71,122006.55,125101.42,151055.72,104577.04,0,0,1,0,1,0,0.089,0,0,0,0,0
16,Retail,Overdraft,Services,444785,208159.38,0.468,0.2557171914182653,0.4199828522436865,0.212,0.468,0.2557171914182653,0.212,236625.62,0.532,300k-500k,0.409,0.409,0,0.257,0.232,0.266,0.152,268972.16,282420.77,304939.26,349663.81,242074.94,15,0,1,0,0,1,0.141,0,0,0,0,0
17,Retail,Credit Card,Services,364332,38983.52,0.107,0.002972351378163221,0.042511399800576666,0.104,0.107,0.002972351378163221,0.104,325348.48,0.893,300k-500k,0.307,0.307,0,0.338,0.365,0.376,-0.031,148951.31,156398.88,138865.5,148951.31,134056.18,0,0,0,0,1,1,0.11,0,1,0,0,0
18,Retail,Credit Card,Public Sector,499344,266649.7,0.534,0.44888834371197445,0.4827041652369683,0.085,0.534,0.44888834371197445,0.085,232694.3,0.466,300k-500k,0.272,0.272,0,0.209,0.21,0.248,0.063,315282.81,331046.95,329942.55,409867.65,283754.53,0,0,1,0,0,1,0.127,0,0,1,0,0
19,Retail,Credit Card,Manufacturing,321403,178700.07,0.556,0.5562622393254402,0.5696840532923028,-0.0,0.5696840532923028,0.556,0.014,142702.93,0.444,300k-500k,0.655,0.655,1,0.552,0.547,0.575,0.103,257472.09,270345.69,272170.49,308966.51,231724.88,30,1,0,0,1,1,0.166,0,0,0,0,0
20,Retail,Credit Card,Trading,192093,58780.46,0.306,0.40514286623130713,0.3268493516550353,-0.099,0.40514286623130713,0.306,0.099,133312.54,0.694,150k-300k,0.109,0.109,0,0.055,0.082,0.116,0.054,66112.65,69418.28,73311.53,85946.44,59501.38,0,0,1,0,0,1,0.156,0,0,0,0,1
21,SME,Credit Card,Trading,342025,84822.2,0.248,0.18722829163127822,0.2807951745173828,0.061,0.2807951745173828,0.18722829163127822,0.094,257202.8,0.752,300k-500k,0.067,0.067,0,0.116,0.128,0.18,-0.049,114657.72,120390.61,102054.79,114657.72,103191.95,0,0,0,0,1,1,0.273,0,0,0,0,0
22,Retail,Term Loan,Services,531358,89799.5,0.169,0.18259315000976867,0.1439013688225928,-0.014,0.18259315000976867,0.1439013688225928,0.039,441558.5,0.831,500k+,0.43,0.43,0,0.39,0.403,0.434,0.04,262007.32,275107.69,279669.66,262007.32,235806.59,0,0,0,0,1,0,0.099,0,1,0,0,0
23,Retail,Term Loan,Trading,300832,36400.67,0.121,0.06335378032116687,0.07828549258671587,0.058,0.121,0.06335378032116687,0.058,264431.33,0.879,300k-500k,0.427,0.427,0,0.372,0.35,0.37,0.055,134769.12,141507.58,149312.85,134769.12,121292.21,0,0,0,0,1,0,0.071,0,1,0,0,0
24,Retail,Revolving Loan,Construction,502611,297043.1,0.591,0.6146441158016953,0.5255843268636335,-0.024,0.6146441158016953,0.5255843268636335,0.089,205567.90000000002,0.409,500k+,0.316,0.316,0,0.227,0.229,0.315,0.089,343707.01,360892.36,362002.56,446819.11,309336.31,0,0,1,0,0,0,0.093,0,0,0,0,0
25,Retail,Term Loan,Trading,290000,87000.0,0.3,0.20442671635808043,0.26708074701947404,0.096,0.3,0.20442671635808043,0.096,203000.0,0.7,150k-300k,0.3,0.3,0,0.245,0.24,0.277,0.055,136735.0,143571.75,147900.0,136735.0,123061.5,0,0,0,0,0,0,0.172,0,0,0,0,0
26,SME,Overdraft,Services,153899,49247.68,0.32,0.35879767304263555,0.3309974169356153,-0.039,0.35879767304263555,0.32,0.039,104651.32,0.68,150k-300k,0.353,0.353,0,0.107,0.095,0.155,0.246,60445.37,63467.64,86189.6,90668.06,54400.83,60,1,1,1,0,1,0.262,0,0,1,1,0
27,Retail,Revolving Loan,Trading,106105,25465.2,0.24,0.09855471847112562,0.22693435964797065,0.141,0.24,0.09855471847112562,0.141,80639.8,0.76,50k-150k,0.43,0.43,0,0.381,0.378,0.342,0.049,56188.96,58998.41,60140.31,56188.96,50570.06,0,0,0,0,1,0,0.171,0,0,0,0,0
28,Retail,Term Loan,Manufacturing,88695,40356.22,0.455,0.4561929818142464,0.4524088300216108,-0.001,0.4561929818142464,0.4524088300216108,0.004,48338.78,0.545,50k-150k,0.565,0.565,1,0.452,0.428,0.487,0.113,62205.35,65315.62,67667.63,80866.96,55984.82,0,0,1,0,1,0,0.174,0,0,0,0,0
29,SME,Revolving Loan,Services,471972,138759.77,0.294,0.22991906082492514,0.24049656675121314,0.064,0.294,0.22991906082492514,0.064,333212.23,0.706,300k-500k,0.525,0.525,1,0.383,0.41,0.401,0.142,266380.05,279699.05,313696.19,319656.06,239742.04,30,1,0,0,0,0,0.242,0,0,1,0,0
30,Retail,Revolving Loan,Public Sector,532991,297941.97,0.559,0.5613552508214066,0.5449020542212739,-0.002,0.5613552508214066,0.5449020542212739,0.016,235049.03000000003,0.441,500k+,0.328,0.328,0,0.281,0.274,0.276,0.047,363990.75,382190.29,375038.05,363990.75,327591.68,0,0,0,0,0,0,0.14,0,0,0,0,0
31,SME,Credit Card,Manufacturing,379645,69095.39,0.182,0.08878888282712996,0.14502286277151571,0.093,0.182,0.08878888282712996,0.093,310549.61,0.818,300k-500k,0.38,0.38,0,0.262,0.277,0.271,0.118,150459.39,157982.36,187104.24,195597.21,135413.45,0,0,1,0,1,1,0.341,0,1,0,0,0
32,Retail,Revolving Loan,Trading,111015,36523.94,0.329,0.3871265499602198,0.3324999247661118,-0.058,0.3871265499602198,0.329,0.058,74491.06,0.671,50k-150k,0.348,0.348,0,0.271,0.281,0.246,0.077,56711.02,59546.57,62446.83,73724.33,51039.92,0,0,1,0,1,0,0.08,0,0,0,1,0
33,Retail,Term Loan,Public Sector,86547,44658.25,0.516,0.4396962877087462,0.5151012826565057,0.076,0.516,0.4396962877087462,0.076,41888.75,0.484,50k-150k,0.501,0.501,1,0.481,0.484,0.486,0.02,64806.74,68047.08,65644.51,64806.74,58326.07,0,0,0,0,1,0,0.153,0,0,0,0,0
34,Corporate,Credit Card,Manufacturing,123429,68379.67,0.554,0.42641374471968396,0.6099849720702668,0.128,0.6099849720702668,0.42641374471968396,0.184,55049.33,0.446,50k-150k,0.839,0.839,1,0.538,0.545,0.549,0.301,97996.21,102896.02,114566.06,146994.32,88196.59,30,1,1,0,1,1,0.1,0,0,0,0,0
35,Corporate,Term Loan,Construction,493507,198389.81,0.402,0.22993792488696935,0.4027640852570434,0.172,0.4027640852570434,0.22993792488696935,0.173,295117.19,0.598,300k-500k,0.378,0.378,0,0.365,0.363,0.398,0.013,306107.58,321412.96,309944.11,306107.58,275496.82,0,0,0,0,0,0,0.244,0,0,0,0,0
36,SME,Credit Card,Manufacturing,160786,58686.89,0.365,0.29582385541320366,0.3873609032826508,0.069,0.3873609032826508,0.29582385541320366,0.092,102099.11,0.635,150k-300k,0.295,0.295,0,0.347,0.38,0.408,-0.052,94115.28,98821.04,88806.13,94115.28,84703.75,0,0,0,0,0,1,0.195,0,0,0,0,0
37,Retail,Term Loan,Public Sector,353516,57623.11,0.163,0.0394262847077063,0.1613147634768926,0.124,0.163,0.0394262847077063,0.124,295892.89,0.837,300k-500k,0.758,0.758,1,0.454,0.457,0.525,0.304,191958.48,201556.4,281909.92,287937.72,172762.63,30,1,1,0,1,0,0.127,0,1,0,0,1
38,Retail,Credit Card,Construction,250358,43562.29,0.174,0.0,0.08854929962482751,0.174,0.174,0.0,0.174,206795.71,0.826,150k-300k,0.492,0.492,0,0.367,0.363,0.442,0.125,119456.32,125429.14,145305.78,143347.58,107510.69,60,1,0,0,1,1,0.124,0,1,0,0,0
39,SME,Credit Card,Trading,171373,122874.44,0.717,0.7435162611143578,0.6981809980062602,-0.027,0.7435162611143578,0.6981809980062602,0.045,48498.56,0.283,150k-300k,0.435,0.435,0,0.332,0.36,0.37,0.103,138975.96,145924.76,143971.31,180668.75,125078.36,0,0,1,0,1,1,0.205,0,0,1,0,0
40,Retail,Overdraft,Services,145623,12814.82,0.088,0.1883234225512476,0.03473872228203112,-0.1,0.1883234225512476,0.03473872228203112,0.154,132808.18,0.912,50k-150k,0.332,0.332,0,0.332,0.358,0.408,0.0,56907.14,59752.5,56907.14,73979.28,51216.43,0,0,1,0,1,1,0.151,0,1,0,0,0
41,Retail,Term Loan,Trading,359816,27705.83,0.077,0.0,0.00025354547033838715,0.077,0.077,0.0,0.077,332110.17,0.923,300k-500k,0.531,0.531,1,0.523,0.515,0.558,0.008,201399.45,211469.42,204056.33,201399.45,181259.5,0,0,0,0,1,0,0.171,0,1,0,0,0
42,Retail,Revolving Loan,Services,336352,60543.36,0.18,0.2320636155870951,0.11307424343287248,-0.052,0.2320636155870951,0.11307424343287248,0.119,275808.64,0.82,300k-500k,0.503,0.503,1,0.431,0.42,0.492,0.072,179416.88,188387.72,199275.11,233241.94,161475.19,0,0,1,0,1,0,0.132,0,1,0,0,0
43,Retail,Credit Card,Services,193698,39127.0,0.202,0.1675871764657852,0.1233586654813838,0.034,0.202,0.1233586654813838,0.079,154571.0,0.798,150k-300k,0.562,0.562,1,0.523,0.545,0.527,0.039,119967.63,125966.01,125995.9,119967.63,107970.87,0,0,0,0,1,1,0.158,0,0,0,0,0
44,Corporate,Term Loan,Public Sector,134567,42523.17,0.316,0.3769470032920617,0.3529210810868615,-0.061,0.3769470032920617,0.316,0.061,92043.83,0.684,50k-150k,0.385,0.385,0,0.271,0.293,0.3,0.114,67467.05,70840.4,77960.04,80960.46,60720.34,30,1,0,0,0,0,0.246,0,0,0,0,0
45,Retail,Credit Card,Construction,137869,81756.32,0.593,0.5409286607023088,0.517114453792081,0.052,0.593,0.517114453792081,0.076,56112.67999999999,0.407,50k-150k,0.262,0.262,0,0.288,0.308,0.284,-0.026,97916.77,102812.61,96457.84,97916.77,88125.09,0,0,0,0,1,1,0.102,0,0,0,0,0
46,SME,Overdraft,Construction,358446,249836.86,0.697,0.6697704181398948,0.7139204351445431,0.027,0.7139204351445431,0.6697704181398948,0.044,108609.14000000001,0.303,300k-500k,0.585,0.585,1,0.598,0.627,0.582,-0.013,314785.13,330524.39,313373.21,314785.13,283306.62,0,0,0,0,0,1,0.181,0,0,1,0,0
47,Retail,Overdraft,Manufacturing,287936,174489.22,0.606,0.5771640377390219,0.5687800238697119,0.029,0.606,0.5687800238697119,0.037,113446.78,0.394,150k-300k,0.579,0.579,1,0.29,0.308,0.311,0.289,207388.79,217758.23,240174.91,311083.18,186649.91,60,1,1,1,1,1,0.135,0,0,1,1,0
48,Retail,Overdraft,Trading,329738,94634.81,0.287,0.4143739083831399,0.15922941436972635,-0.127,0.4143739083831399,0.15922941436972635,0.255,235103.19,0.713,300k-500k,0.204,0.204,0,0.15,0.148,0.217,0.054,129900.29,136395.3,142595.86,129900.29,116910.26,15,0,0,0,1,1,0.061,0,0,0,0,0
49,Retail,Overdraft,Public Sector,529335,293780.93,0.555,0.792194658089171,0.45926417107472517,-0.237,0.792194658089171,0.45926417107472517,0.333,235554.07,0.445,500k+,0.575,0.575,1,0.439,0.45,0.481,0.136,397189.17,417048.63,429224.52,476627.0,357470.25,60,1,0,0,0,1,0.113,0,0,0,0,0
50,Retail,Revolving Loan,Trading,5133,87.26,0.017,0.0,0.0,0.017,0.017,0.0,0.017,5045.74,0.983,0-50k,0.323,0.323,0,0.331,0.324,0.285,-0.008,1757.4,1845.27,1717.03,1757.4,1581.66,0,0,0,0,0,0,0.155,0,1,0,1,0
51,Corporate,Revolving Loan,Manufacturing,16238,2062.23,0.127,0.12058031698469329,0.011627168289760959,0.006,0.127,0.011627168289760959,0.115,14175.77,0.873,0-50k,0.372,0.372,0,0.402,0.407,0.511,-0.03,7760.89,8148.93,7335.62,7760.89,6984.8,15,0,0,0,0,0,0.127,0,1,1,0,0
52,SME,Credit Card,Manufacturing,302276,66803.0,0.221,0.17476711003210688,0.20873099345413762,0.046,0.221,0.17476711003210688,0.046,235473.0,0.779,300k-500k,0.552,0.552,1,0.471,0.475,0.515,0.081,177710.78,186596.32,196784.1,177710.78,159939.7,0,0,0,0,1,1,0.322,0,0,1,0,0
53,Corporate,Term Loan,Public Sector,368957,256425.12,0.695,0.758840972144437,0.7347990613263216,-0.064,0.758840972144437,0.695,0.064,112531.88,0.305,300k-500k,0.379,0.379,0,0.391,0.424,0.487,-0.012,300425.09,315446.34,299074.7,300425.09,270382.58,0,0,0,0,0,0,0.206,0,0,1,0,0
54,Corporate,Overdraft,Manufacturing,164154,102267.94,0.623,0.6203450483028806,0.5953631260788722,0.003,0.623,0.5953631260788722,0.028,61886.06,0.377,150k-300k,0.36,0.36,0,0.215,0.224,0.245,0.145,115573.44,121352.11,124546.92,150245.47,104016.1,0,0,1,0,1,1,0.245,0,0,0,0,0
55,SME,Overdraft,Public Sector,506845,281298.98,0.555,0.4810412485155512,0.5106413854967651,0.074,0.555,0.4810412485155512,0.074,225546.02000000002,0.445,500k+,0.295,0.295,0,0.288,0.3,0.315,0.007,346256.23,363569.04,347835.06,346256.23,311630.61,0,0,0,0,0,1,0.185,0,0,1,0,0
56,Corporate,Revolving Loan,Manufacturing,378807,131446.03,0.347,0.20466824648035836,0.34336488269330667,0.142,0.347,0.20466824648035836,0.142,247360.97,0.653,300k-500k,0.44,0.44,0,0.325,0.352,0.369,0.115,211838.35,222430.27,240284.86,275389.86,190654.52,0,0,1,0,1,0,0.268,0,0,0,0,0
57,Retail,Revolving Loan,Construction,582534,69321.55,0.119,0.047900509724208146,0.06577045656068756,0.071,0.119,0.047900509724208146,0.071,513212.45,0.881,500k+,0.539,0.539,1,0.43,0.43,0.495,0.109,290002.9,304503.05,345943.06,377003.77,261002.61,0,0,1,0,1,0,0.125,0,1,0,0,0
58,Retail,Overdraft,Public Sector,56689,43026.95,0.759,0.6836979910331196,0.6187103030536648,0.075,0.759,0.6187103030536648,0.14,13662.050000000003,0.241,50k-150k,0.468,0.468,0,0.446,0.445,0.435,0.022,49120.22,51576.23,49420.79,49120.22,44208.2,0,0,0,0,0,1,0.189,0,0,0,0,0
59,Retail,Term Loan,Construction,158440,64168.2,0.405,0.21189980194384903,0.43480192227081677,0.193,0.43480192227081677,0.21189980194384903,0.223,94271.8,0.595,150k-300k,0.424,0.424,0,0.275,0.289,0.262,0.149,90092.94,94597.59,104139.44,108111.53,81083.65,30,1,0,0,0,0,0.113,0,0,1,0,0
60,Retail,Credit Card,Construction,302383,171148.78,0.566,0.4682084480608206,0.5485855041885126,0.098,0.566,0.4682084480608206,0.098,131234.22,0.434,300k-500k,0.274,0.274,0,0.235,0.238,0.301,0.039,201988.82,212088.26,207106.96,201988.82,181789.94,0,0,0,0,0,1,0.157,0,0,0,0,0
61,Retail,Credit Card,Public Sector,597258,105714.67,0.177,0.18038013522446314,0.09909952182841092,-0.003,0.18038013522446314,0.09909952182841092,0.081,491543.33,0.823,500k+,0.094,0.094,0,0.114,0.121,0.171,-0.02,161750.61,169838.14,151919.74,161750.61,145575.55,0,0,0,0,1,1,0.132,0,1,0,0,1
62,Retail,Credit Card,Trading,255781,196695.59,0.769,0.5742802185305453,0.7724161039786255,0.195,0.7724161039786255,0.5742802185305453,0.198,59085.41,0.231,150k-300k,0.775,0.775,1,0.537,0.549,0.586,0.238,228424.46,239845.68,242486.78,342636.69,205582.01,60,1,1,1,1,1,0.059,0,0,0,0,0
63,SME,Credit Card,Services,132019,56108.08,0.425,0.24541016541721233,0.2905966337230146,0.18,0.425,0.24541016541721233,0.18,75910.92,0.575,50k-150k,0.503,0.503,1,0.526,0.518,0.574,-0.023,96037.22,100839.08,94291.27,96037.22,86433.5,0,0,0,0,0,1,0.266,0,0,0,1,1
64,Retail,Term Loan,Manufacturing,359066,260681.92,0.726,0.6690780539472715,0.6243013470666985,0.057,0.726,0.6243013470666985,0.102,98384.07999999999,0.274,300k-500k,0.652,0.652,1,0.488,0.505,0.527,0.164,308693.35,324128.02,324828.34,370432.02,277824.02,30,1,0,0,0,0,0.178,0,0,1,0,0
65,Retail,Term Loan,Manufacturing,444486,69784.3,0.157,0.20635692966495311,0.14189135628789032,-0.049,0.20635692966495311,0.14189135628789032,0.064,374701.7,0.843,300k-500k,0.525,0.525,1,0.333,0.303,0.331,0.192,194559.97,204287.97,266502.69,233471.96,175103.97,30,1,0,0,1,0,0.07,0,1,0,0,0
66,Retail,Term Loan,Trading,125632,51634.75,0.411,0.3977215657725909,0.4352444480669677,0.013,0.4352444480669677,0.3977215657725909,0.038,73997.25,0.589,50k-150k,0.359,0.359,0,0.192,0.229,0.231,0.167,65842.22,69134.33,78199.76,79010.66,59258.0,30,1,0,0,0,0,0.194,0,0,0,0,0
67,Retail,Revolving Loan,Services,49014,14067.02,0.287,0.017045825540605575,0.2662772233123748,0.27,0.287,0.017045825540605575,0.27,34946.979999999996,0.713,0-50k,0.235,0.235,0,0.216,0.21,0.218,0.019,21615.57,22696.35,22279.56,21615.57,19454.01,0,0,0,0,0,0,0.11,0,0,0,1,0
68,SME,Overdraft,Trading,282809,40724.5,0.144,0.0,0.24013759865468065,0.144,0.24013759865468065,0.0,0.24,242084.5,0.856,150k-300k,0.253,0.253,0,0.261,0.27,0.329,-0.008,103908.55,109103.98,101971.88,103908.55,93517.7,0,0,0,0,0,1,0.262,0,1,0,0,0
69,Retail,Term Loan,Services,307686,37537.69,0.122,0.0,0.02891469667782369,0.122,0.122,0.0,0.122,270148.31,0.878,300k-500k,0.255,0.255,0,0.28,0.279,0.269,-0.025,113179.22,118838.18,106425.51,113179.22,101861.3,0,0,0,0,1,0,0.067,0,1,0,0,0
70,Corporate,Credit Card,Public Sector,290625,147056.25,0.506,0.559853835777282,0.4282711370385386,-0.054,0.559853835777282,0.4282711370385386,0.132,143568.75,0.494,150k-300k,0.361,0.361,0,0.438,0.464,0.443,-0.077,209939.36,220436.33,198884.57,209939.36,188945.42,0,0,0,0,0,1,0.116,0,0,0,0,0
71,SME,Term Loan,Public Sector,450860,213707.64,0.474,0.43786378884176075,0.4691542017995042,0.036,0.474,0.43786378884176075,0.036,237152.36,0.526,300k-500k,0.387,0.387,0,0.278,0.273,0.348,0.109,279636.0,293617.8,305485.6,335563.2,251672.4,60,1,0,0,0,0,0.326,0,0,0,0,1
72,Retail,Overdraft,Construction,314098,111504.79,0.355,0.2443733674654585,0.406969964787701,0.111,0.406969964787701,0.2443733674654585,0.163,202593.21000000002,0.645,300k-500k,0.457,0.457,0,0.307,0.294,0.366,0.15,173700.91,182385.96,204089.89,225811.18,156330.82,15,0,1,0,0,1,0.199,0,0,1,0,0
73,Retail,Revolving Loan,Construction,125156,110763.06,0.885,0.7132622509305295,0.8709904643535058,0.172,0.885,0.7132622509305295,0.172,14392.940000000002,0.115,50k-150k,0.423,0.423,0,0.257,0.253,0.259,0.166,114462.05,120185.15,116851.27,137354.46,103015.84,30,1,0,0,1,0,0.154,1,0,0,0,0
74,SME,Credit Card,Public Sector,538433,263832.17,0.49,0.47876861562220224,0.4992430980917817,0.011,0.4992430980917817,0.47876861562220224,0.02,274600.83,0.51,500k+,0.631,0.631,1,0.476,0.474,0.455,0.155,394542.17,414269.28,437105.29,512904.82,355087.95,0,0,1,0,0,1,0.363,0,0,0,0,0
75,SME,Revolving Loan,Construction,236049,189547.35,0.803,0.7275765084628649,0.7515645058994603,0.075,0.803,0.7275765084628649,0.075,46501.649999999994,0.197,150k-300k,0.72,0.72,1,0.526,0.527,0.566,0.194,214007.22,224707.58,223028.54,278209.39,192606.5,0,0,1,0,1,0,0.314,1,0,0,0,0
76,SME,Term Loan,Public Sector,65835,7505.19,0.114,0.13168860208699557,0.0795339780536939,-0.018,0.13168860208699557,0.0795339780536939,0.052,58329.81,0.886,50k-150k,0.647,0.647,1,0.51,0.496,0.522,0.137,37253.39,39116.06,45244.58,48429.41,33528.05,0,0,1,0,0,0,0.252,0,1,0,0,0
77,SME,Credit Card,Trading,594794,186170.52,0.313,0.18334437065229708,0.3291615162378706,0.13,0.3291615162378706,0.18334437065229708,0.146,408623.48,0.687,500k+,0.421,0.421,0,0.416,0.425,0.476,0.005,356157.89,373965.78,358201.01,356157.89,320542.1,15,0,0,0,1,1,0.202,0,0,0,0,0
78,Retail,Credit Card,Manufacturing,572352,96727.49,0.169,0.0,0.06820563981344685,0.169,0.169,0.0,0.169,475624.51,0.831,500k+,0.671,0.671,1,0.555,0.555,0.601,0.116,360699.09,378734.04,415871.54,468908.82,324629.18,0,0,1,0,1,1,0.071,0,1,0,0,0
79,Retail,Term Loan,Public Sector,242807,153696.83,0.633,0.45776894224718134,0.697985304310552,0.175,0.697985304310552,0.45776894224718134,0.24,89110.17000000001,0.367,150k-300k,0.136,0.136,0,0.103,0.13,0.145,0.033,162875.18,171018.94,165815.81,162875.18,146587.66,0,0,0,0,1,0,0.191,0,0,1,0,0
80,Retail,Term Loan,Public Sector,266076,117605.59,0.442,0.3749702023643018,0.4967189974379456,0.067,0.4967189974379456,0.3749702023643018,0.122,148470.41,0.558,150k-300k,0.227,0.227,0,0.181,0.17,0.227,0.046,144478.73,151702.67,151308.37,144478.73,130030.86,0,0,0,0,1,0,0.073,0,0,0,0,0
81,Corporate,Overdraft,Public Sector,552242,238568.54,0.432,0.46049878651536597,0.3316918761011071,-0.028,0.46049878651536597,0.3316918761011071,0.129,313673.45999999996,0.568,500k+,0.532,0.532,1,0.258,0.28,0.304,0.274,319496.29,335471.1,405442.82,479244.43,287546.66,60,1,1,1,1,1,0.134,0,0,0,0,1
82,SME,Term Loan,Construction,114120,39371.4,0.345,0.18958260718162126,0.25389203242153735,0.155,0.345,0.18958260718162126,0.155,74748.6,0.655,50k-150k,0.579,0.579,1,0.446,0.449,0.459,0.133,72709.28,76344.74,82650.84,94522.06,65438.35,0,0,1,0,0,0,0.346,0,0,0,0,0
