cust_id,segment,secured_flag,ead,collateral_value,recovery_amount,recovery_cost,time_to_recovery,recovery_strategy,seniority,lgd_observed,default_flag
110,Auto,1,109631,109205,49608,8118,13,Auction,Senior,0.622,0
111,Auto,0,158998,0,33413,10341,15,Auction,Senior,0.855,0
112,SME,1,505162,559645,318620,50149,6,Auction,Senior,0.469,1
113,Mortgage,1,307412,266192,131844,15024,10,DirectSale,Senior,0.62,0
114,SME,0,156952,0,29312,9273,19,Auction,Senior,0.872,0
115,Mortgage,1,305738,287314,152016,15240,15,DirectSale,Senior,0.553,0
116,SME,1,685962,769126,442214,25108,12,InternalRecovery,Senior,0.392,0
117,Mortgage,1,577502,397350,191832,41594,12,Auction,Senior,0.74,0
118,SME,1,228632,222570,177257,21207,21,Legal,Senior,0.317,0
119,Auto,1,108390,88835,58814,2892,14,Auction,Senior,0.484,0
120,Auto,0,34450,0,3395,3107,25,Auction,Subordinated,0.95,0
121,Auto,1,45309,32537,24541,2486,17,InternalRecovery,Senior,0.513,0
122,Mortgage,1,1083049,786090,409202,55067,12,Auction,Senior,0.673,0
123,Auto,0,81679,0,6288,6287,30,InternalRecovery,Subordinated,0.95,0
124,Auto,0,51755,0,6385,2646,26,Legal,Subordinated,0.928,0
125,Corporate,1,6215084,6190729,3109857,596641,8,InternalRecovery,Senior,0.596,0
126,Auto,0,69959,0,8063,4845,22,Legal,Senior,0.95,0
127,Mortgage,1,492756,539171,362562,27631,16,Auction,Senior,0.32,1
128,SME,1,321443,292669,159726,18029,10,Auction,Senior,0.559,0
129,Auto,1,83189,82464,54497,5281,11,InternalRecovery,Subordinated,0.408,0
130,Auto,1,89485,91085,56437,3142,28,InternalRecovery,Senior,0.404,0
131,Mortgage,1,707495,728566,543263,59961,7,Auction,Senior,0.317,0
132,SME,1,232594,270346,125171,26107,12,DirectSale,Senior,0.574,1
133,Corporate,1,1780832,1422513,796574,142374,11,Legal,Senior,0.633,0
134,SME,0,273355,0,42953,33666,28,InternalRecovery,Senior,0.95,0
135,SME,1,390826,411961,209106,27203,9,Legal,Senior,0.535,0
136,SME,1,239960,262758,129313,14110,7,InternalRecovery,Senior,0.52,0
137,Auto,1,46306,44094,28562,5123,4,Auction,Senior,0.494,0
138,Mortgage,1,482220,574660,243193,62093,17,Legal,Senior,0.624,1
139,Corporate,0,10878980,0,2423069,998259,21,InternalRecovery,Senior,0.869,0
140,Mortgage,1,1209102,1024369,552183,122180,7,Auction,Senior,0.644,0
141,SME,1,164411,158776,109365,13842,14,InternalRecovery,Subordinated,0.419,1
142,Corporate,1,8569465,5894468,2810296,551622,5,Legal,Senior,0.736,0
143,SME,1,213229,155742,84330,15339,14,Legal,Senior,0.676,0
144,Auto,1,95447,84468,51194,6705,13,Auction,Senior,0.534,0
145,Auto,1,71056,65353,37306,5920,11,DirectSale,Subordinated,0.558,0
146,Corporate,1,4900838,4390239,3253317,290245,11,Auction,Senior,0.395,1
147,Mortgage,1,595184,581664,310586,59227,11,Legal,Senior,0.578,0
148,Mortgage,1,506716,356113,181294,41872,6,Auction,Senior,0.725,0
149,Corporate,0,12575243,0,2483890,2496736,29,Legal,Senior,0.95,0
150,SME,1,323857,246290,157006,7662,19,Legal,Senior,0.539,0
151,Mortgage,1,565084,452507,239564,51698,3,DirectSale,Senior,0.668,0
152,Corporate,1,6279029,7436789,5079298,876526,14,DirectSale,Senior,0.331,0
153,Auto,0,43299,0,2839,3680,16,InternalRecovery,Senior,0.95,1
154,Auto,1,102404,62591,34253,4008,17,Auction,Senior,0.705,0
155,Auto,1,98547,69838,47861,8023,10,Legal,Senior,0.596,0
156,SME,1,223519,267744,213224,18039,15,Auction,Senior,0.127,0
157,Auto,0,97672,0,10292,7027,8,Legal,Subordinated,0.95,0
158,SME,0,402361,0,71791,72339,17,Auction,Senior,0.95,0
159,Auto,1,73770,60628,30608,2137,15,DirectSale,Subordinated,0.614,0
160,Auto,1,64943,52192,39690,5649,8,InternalRecovery,Senior,0.476,0
161,Auto,1,56809,46402,29443,4861,12,InternalRecovery,Subordinated,0.567,0
162,Corporate,1,4577428,3903121,2734690,436947,19,Legal,Senior,0.498,0
163,SME,1,722604,509732,338310,60094,3,InternalRecovery,Senior,0.615,0
164,Mortgage,1,1036363,679367,294123,77365,17,Legal,Senior,0.791,0
165,SME,1,251929,164770,102904,7088,16,Auction,Senior,0.62,0
166,SME,0,124762,0,17502,14628,18,Auction,Senior,0.95,1
167,Auto,1,153327,143751,81833,8383,15,InternalRecovery,Senior,0.521,0
168,SME,0,553819,0,119058,31389,9,Auction,Senior,0.842,0
169,Mortgage,1,790920,501382,221241,47341,3,Legal,Senior,0.78,1
170,Mortgage,1,859272,774447,312665,42357,17,Auction,Senior,0.685,0
171,Mortgage,1,1276783,1236502,694825,142003,6,Legal,Senior,0.567,0
172,Mortgage,1,641305,606945,469525,33414,15,Legal,Senior,0.32,1
173,Auto,1,61557,73756,52223,6019,15,Auction,Subordinated,0.249,1
174,Corporate,1,7046270,7647864,4967881,895172,12,DirectSale,Senior,0.422,0
175,Mortgage,0,553973,0,132578,31482,20,Legal,Senior,0.818,0
176,Auto,0,87156,0,6275,7617,16,InternalRecovery,Senior,0.95,0
177,SME,1,92124,60376,24305,4851,13,Legal,Senior,0.789,0
178,SME,1,392626,236072,136457,16926,12,InternalRecovery,Senior,0.696,0
179,Auto,1,59654,48072,19382,4648,15,Legal,Senior,0.753,0
180,SME,1,347933,253599,128357,16845,19,DirectSale,Senior,0.68,0
181,Corporate,1,14531514,10045028,6142241,794598,16,Legal,Senior,0.632,0
182,Mortgage,1,502547,514343,245243,60443,16,InternalRecovery,Senior,0.632,0
183,Corporate,0,2443426,0,242645,356597,14,Auction,Senior,0.95,0
184,Mortgage,0,353962,0,67993,66774,32,Auction,Senior,0.95,0
185,SME,0,163784,0,32739,16386,34,Auction,Subordinated,0.9,0
186,Mortgage,1,728890,531532,320018,62829,4,Auction,Senior,0.647,0
187,SME,0,705459,0,91317,37145,16,DirectSale,Subordinated,0.923,0
188,Auto,1,207405,226880,153035,10558,25,DirectSale,Senior,0.313,0
189,Auto,0,102256,0,6309,17309,21,Auction,Senior,0.95,1
190,Auto,1,136006,85593,57517,7874,9,InternalRecovery,Senior,0.635,1
191,SME,1,372900,309290,197893,22448,11,Legal,Subordinated,0.53,0
192,Auto,1,48959,54313,43261,6377,8,DirectSale,Senior,0.247,0
193,Mortgage,1,271778,315130,237588,16945,9,Auction,Subordinated,0.188,0
194,Mortgage,0,515467,0,75273,95259,23,Auction,Senior,0.95,0
195,Mortgage,1,513149,419469,183580,25643,4,Auction,Senior,0.692,0
196,Mortgage,0,545259,0,55363,75408,14,DirectSale,Senior,0.95,0
197,SME,1,248196,194989,83360,20382,18,Auction,Senior,0.746,0
198,Auto,1,67198,41791,19569,3327,12,DirectSale,Senior,0.758,0
199,Corporate,0,4496689,0,968533,298544,15,DirectSale,Senior,0.851,1
200,Mortgage,1,1066335,1161915,553966,102600,26,DirectSale,Senior,0.577,0
201,Auto,1,138470,121062,64910,10681,13,InternalRecovery,Senior,0.608,0
202,Corporate,0,2858109,0,201832,422529,11,Legal,Senior,0.95,1
203,Auto,1,51840,46627,19858,2498,7,InternalRecovery,Subordinated,0.665,0
204,SME,1,171305,164786,68633,17256,9,Auction,Subordinated,0.7,0
205,Mortgage,1,430568,302103,240187,18180,7,DirectSale,Subordinated,0.484,0
206,Auto,1,35047,38863,25989,2559,21,Legal,Senior,0.331,0
207,Auto,1,114666,134257,78427,8790,11,DirectSale,Senior,0.393,0
208,SME,1,373694,332369,141440,31399,11,Auction,Senior,0.706,0
209,Auto,0,87549,0,8114,13587,25,Legal,Senior,0.95,0
210,Mortgage,0,1026631,0,177627,82932,13,Auction,Senior,0.908,0
211,Mortgage,0,359907,0,44394,64038,24,DirectSale,Senior,0.95,0
212,SME,1,371643,408773,320974,25084,16,InternalRecovery,Senior,0.204,0
213,Auto,1,70797,60410,28989,5251,11,InternalRecovery,Subordinated,0.665,0
214,Mortgage,1,876998,687683,314811,52955,10,DirectSale,Senior,0.701,0
215,Mortgage,1,888263,729513,463217,42883,9,DirectSale,Senior,0.527,0
216,SME,0,225633,0,45685,16772,10,Auction,Subordinated,0.872,0
217,SME,0,855601,0,210370,76551,16,Auction,Senior,0.844,1
218,Mortgage,0,464153,0,109263,40201,11,Legal,Subordinated,0.851,0
219,Corporate,0,2635012,0,325584,173931,13,Auction,Senior,0.942,0
220,SME,0,570108,0,56283,83090,24,DirectSale,Senior,0.95,0
221,Corporate,0,2917397,0,364636,247726,19,InternalRecovery,Senior,0.95,0
222,Mortgage,1,641475,544454,232253,28383,16,InternalRecovery,Senior,0.682,0
223,Mortgage,1,915470,987133,700847,92780,8,Legal,Senior,0.336,0
224,SME,1,426960,484690,275919,19040,11,Auction,Senior,0.398,0
225,SME,1,280681,228398,94472,15709,3,InternalRecovery,Senior,0.719,0
226,Mortgage,1,293577,185026,98090,13153,3,Auction,Senior,0.711,0
227,Auto,1,54901,47051,37605,3890,16,Legal,Senior,0.386,0
228,Corporate,1,6911609,7727415,3111086,729295,18,Legal,Senior,0.655,0
229,Auto,0,119556,0,15954,7474,22,DirectSale,Senior,0.929,0
230,Auto,0,54940,0,5492,5714,19,InternalRecovery,Senior,0.95,0
231,Corporate,1,5417319,3417597,1666163,252849,19,InternalRecovery,Senior,0.739,0
232,Corporate,1,6266538,4014487,2840633,144912,17,Auction,Subordinated,0.57,1
233,Auto,1,86698,52439,36929,5367,6,Legal,Senior,0.636,0
234,Mortgage,0,480598,0,101701,75465,10,DirectSale,Senior,0.945,0
235,SME,1,267832,299654,222922,25996,14,Legal,Senior,0.265,0
236,Mortgage,1,275551,261391,112773,19305,23,DirectSale,Subordinated,0.661,1
237,Mortgage,0,613360,0,110537,102158,16,Legal,Senior,0.95,0
238,Mortgage,1,538719,554040,433690,50775,8,Legal,Senior,0.289,0
239,SME,0,645199,0,42832,68007,19,Auction,Senior,0.95,0
240,Auto,1,27348,22805,14878,1934,16,Auction,Senior,0.527,0
241,Mortgage,0,454219,0,36532,70438,22,InternalRecovery,Senior,0.95,0
242,Auto,0,106307,0,5687,16499,13,Legal,Senior,0.95,0
243,Auto,1,136752,135228,65534,14190,3,Auction,Senior,0.625,0
244,SME,1,188367,183348,121157,12805,19,Legal,Senior,0.425,0
245,SME,0,203354,0,31222,22170,28,Legal,Subordinated,0.95,0
246,Mortgage,1,698473,757219,595122,40573,5,Auction,Senior,0.206,1
247,SME,1,402254,450047,359626,17180,12,DirectSale,Subordinated,0.149,0
248,Auto,1,50235,31739,17993,1696,15,Legal,Subordinated,0.676,0
249,Auto,1,72125,59472,41494,3199,7,Legal,Senior,0.469,0
250,Corporate,0,7502011,0,965332,995516,12,Auction,Senior,0.95,0
251,Auto,1,122391,130391,91237,4282,7,DirectSale,Senior,0.29,0
252,Auto,1,71641,70563,38457,2510,15,Legal,Subordinated,0.498,0
253,Auto,0,54446,0,12935,5580,15,InternalRecovery,Senior,0.865,0
254,Mortgage,1,712269,586146,286943,50051,14,Auction,Senior,0.667,0
255,Auto,1,86393,80998,63502,9480,19,InternalRecovery,Senior,0.375,0
256,Mortgage,0,465447,0,58382,56752,15,Auction,Senior,0.95,1
257,SME,1,479869,450659,257559,51487,16,Legal,Senior,0.571,0
258,SME,1,211324,215949,124223,16283,10,Legal,Senior,0.489,0
259,Mortgage,1,378141,429906,337344,29156,19,Auction,Senior,0.185,0
260,Corporate,0,2296122,0,530434,277601,10,DirectSale,Senior,0.89,0
261,SME,1,644760,598014,299260,47853,20,Auction,Subordinated,0.61,0
262,SME,1,240195,240022,123371,7889,23,Auction,Senior,0.519,0
263,Mortgage,1,1024418,620548,442046,46246,14,Auction,Senior,0.614,0
264,Auto,0,61140,0,13377,3201,15,DirectSale,Senior,0.834,0
265,Auto,0,70330,0,13728,13176,22,Legal,Senior,0.95,0
266,SME,1,361509,250122,179412,12086,3,Auction,Senior,0.537,0
267,Corporate,0,11801502,0,1358548,927736,18,Auction,Senior,0.95,0
268,Auto,0,101976,0,7633,6752,30,InternalRecovery,Senior,0.95,0
269,SME,1,354158,373748,185992,38392,17,Auction,Senior,0.583,0
270,Auto,0,81925,0,20098,6166,17,Legal,Senior,0.83,0
271,Auto,1,55711,44111,21693,1880,6,InternalRecovery,Senior,0.644,0
272,Mortgage,1,618918,595782,265808,37890,31,Legal,Senior,0.632,0
273,Corporate,0,6382304,0,702004,378720,20,Auction,Senior,0.949,0
274,Mortgage,1,300586,246740,162408,26005,11,Auction,Senior,0.546,0
275,Mortgage,1,620194,453119,290735,24118,7,Auction,Senior,0.57,0
276,Mortgage,0,500217,0,95288,99707,29,DirectSale,Senior,0.95,0
277,Corporate,1,1188722,1355139,721159,142906,22,InternalRecovery,Senior,0.514,0
278,Corporate,0,3790332,0,252857,491405,14,DirectSale,Senior,0.95,0
279,SME,0,426718,0,31052,61408,19,Legal,Senior,0.95,0
280,Mortgage,1,748994,509237,229591,56639,13,InternalRecovery,Subordinated,0.769,0
281,SME,1,307160,269160,200310,23869,12,DirectSale,Subordinated,0.426,0
282,Corporate,1,9523611,7972987,4159254,934836,14,Legal,Senior,0.661,0
283,Auto,0,85229,0,13177,6075,3,Legal,Senior,0.917,1
284,Mortgage,0,618006,0,64570,69834,27,Auction,Senior,0.95,0
285,SME,0,248675,0,32066,21095,17,Legal,Senior,0.95,0
286,Corporate,0,9247155,0,597796,1217649,31,Legal,Subordinated,0.95,0
287,Mortgage,0,542898,0,94306,82618,15,Legal,Senior,0.95,0
288,Auto,1,79634,51110,20909,3379,9,Legal,Senior,0.78,0
289,Auto,0,43726,0,4853,5149,8,Auction,Subordinated,0.95,0
290,Mortgage,1,442477,460890,314462,24210,16,Auction,Subordinated,0.344,1
291,Corporate,1,4772832,4404091,2273593,389930,6,InternalRecovery,Subordinated,0.605,1
292,Auto,0,69572,0,10636,13506,15,Auction,Senior,0.95,0
293,SME,1,253489,219298,161315,10220,9,DirectSale,Senior,0.404,0
294,SME,0,269754,0,45142,31312,13,Auction,Senior,0.949,0
295,SME,1,459470,470222,374970,53555,3,Legal,Senior,0.3,0
296,Mortgage,1,912603,595969,265987,69608,4,DirectSale,Senior,0.785,0
297,Auto,1,39585,31122,13970,2030,12,Auction,Senior,0.698,1
298,Auto,0,80572,0,11447,14695,13,Auction,Senior,0.95,1
299,Corporate,1,17984088,17501311,12377798,1864375,13,Legal,Senior,0.415,0
300,Auto,1,95039,103036,42195,7539,16,Legal,Senior,0.635,0
301,Mortgage,0,406946,0,34528,55882,15,Auction,Senior,0.95,1
302,Auto,1,83433,91060,63513,3178,26,Auction,Senior,0.277,0
303,Auto,1,115090,129730,96339,6958,18,Legal,Senior,0.223,0
304,Auto,0,98552,0,24601,5269,21,Auction,Senior,0.804,0
305,Mortgage,1,499713,532180,350384,41552,8,DirectSale,Senior,0.382,0
306,Corporate,1,5118067,4119429,2528020,436385,6,Auction,Subordinated,0.591,0
307,Mortgage,0,500428,0,46339,65782,22,Auction,Senior,0.95,0
308,Mortgage,0,369242,0,27134,36864,24,DirectSale,Senior,0.95,0
309,SME,1,258171,158940,109632,6516,3,Legal,Senior,0.601,0
310,Corporate,1,12571555,8727621,4352342,974560,14,Auction,Subordinated,0.731,0
311,Mortgage,1,1306828,1116030,856257,78305,11,Legal,Subordinated,0.405,0
312,Mortgage,0,684800,0,92021,64228,16,Auction,Senior,0.95,1
313,Auto,1,90928,61399,38794,5003,16,Legal,Senior,0.628,1
314,Corporate,1,11170086,11266101,8131753,1052215,28,Legal,Senior,0.366,0
315,SME,1,140356,115518,48332,6783,6,Auction,Senior,0.704,0
316,Mortgage,1,400425,427028,275691,39347,7,InternalRecovery,Senior,0.41,1
317,Mortgage,1,778836,639112,465707,75888,11,DirectSale,Senior,0.499,0
318,Auto,0,50770,0,4633,3915,25,Auction,Senior,0.95,0
319,SME,0,404313,0,55352,28990,22,Legal,Senior,0.935,0
320,Mortgage,1,719267,772568,572313,38601,16,DirectSale,Subordinated,0.258,1
321,Auto,1,81470,53769,27893,5850,13,Legal,Senior,0.729,0
322,Mortgage,1,687402,581394,439369,43334,18,Legal,Senior,0.424,0
323,Mortgage,1,365284,224054,118186,13046,8,InternalRecovery,Senior,0.712,1
324,Corporate,1,5020656,5088795,4044624,494089,3,InternalRecovery,Subordinated,0.293,0
325,SME,1,257131,235346,167944,19442,8,Auction,Senior,0.422,0
326,Auto,0,62900,0,8648,8791,21,Legal,Senior,0.95,1
327,Auto,1,57466,65848,41873,6980,13,Auction,Senior,0.393,0
328,SME,1,381259,291100,211981,32918,20,Auction,Senior,0.53,0
329,Corporate,1,10350579,10386374,4206271,667480,6,Legal,Senior,0.658,0
330,Auto,0,119625,0,16955,13915,10,Legal,Senior,0.95,0
331,Mortgage,0,821415,0,152526,139436,16,InternalRecovery,Subordinated,0.95,0
332,Auto,0,82065,0,4865,15154,22,InternalRecovery,Senior,0.95,0
333,Corporate,0,8182457,0,1030143,785519,19,Auction,Senior,0.95,0
334,Mortgage,1,987226,1016094,731479,69597,9,Auction,Senior,0.33,0
335,Mortgage,1,383367,369888,261807,21283,24,Legal,Senior,0.373,0
336,Corporate,1,9232849,9007024,5239370,1025879,16,DirectSale,Senior,0.544,0
337,Mortgage,1,554035,415301,272314,24462,6,Auction,Senior,0.553,0
338,Mortgage,1,1013772,1033214,717180,88909,7,InternalRecovery,Subordinated,0.38,0
339,Auto,1,99953,75005,50352,7124,27,Legal,Senior,0.568,0
340,Mortgage,0,795689,0,107313,105106,27,InternalRecovery,Senior,0.95,0
341,Auto,1,57704,35589,18793,3405,17,InternalRecovery,Senior,0.733,0
342,Corporate,0,4623402,0,987627,533390,24,Legal,Senior,0.902,0
343,Corporate,1,4821487,4699818,2947684,522976,8,Legal,Senior,0.497,0
344,Auto,1,129274,135560,74490,6989,12,Auction,Senior,0.478,0
345,Auto,1,56124,62745,49509,6380,20,Legal,Senior,0.232,0
346,Mortgage,1,725656,853868,669331,25831,12,Auction,Senior,0.113,0
347,Mortgage,0,775746,0,72843,148799,21,DirectSale,Senior,0.95,0
348,SME,1,290781,228334,172241,18027,10,Legal,Senior,0.47,0
349,Corporate,1,6621104,6466307,4628529,436430,11,Legal,Subordinated,0.367,0
350,Mortgage,1,398770,270283,176126,9670,17,Legal,Senior,0.583,0
351,Auto,1,115925,72718,40534,5119,5,Legal,Senior,0.694,0
352,Mortgage,1,522551,561008,384945,21861,7,Auction,Senior,0.305,1
353,Corporate,0,2925911,0,641129,170508,12,Auction,Senior,0.839,1
354,Auto,1,55563,42898,20743,2072,3,Legal,Senior,0.664,0
355,Mortgage,0,540052,0,104820,105712,27,Legal,Senior,0.95,0
356,SME,0,550774,0,67895,65298,24,DirectSale,Senior,0.95,0
357,Mortgage,1,614718,397897,226044,21784,11,Auction,Senior,0.668,1
358,Auto,1,52243,48811,25466,1553,12,DirectSale,Senior,0.542,0
359,SME,0,170278,0,38684,10601,22,Legal,Senior,0.835,0
360,SME,1,338547,398384,213994,30342,13,Auction,Subordinated,0.458,0
361,SME,1,252775,152903,70821,15339,14,Legal,Subordinated,0.781,0
362,Auto,1,108803,95382,54537,8970,6,Legal,Subordinated,0.581,0
363,Corporate,1,5747639,5229987,3744974,502472,6,Auction,Senior,0.436,0
