cust_id,region,sector,loan_amount,hazard_index_100,transition_combined_index_100,exposure_index_100,vulnerability_index_100,hazard_score_1000,transition_combined_score_1000,exposure_score_1000,vulnerability_score_1000,combined_climate_index_100,combined_climate_score_1000,climate_rating
13,South_Asia_Coast,OilGas,70864,52.000146,68.250875,46.027901,96.171562,520.001462,682.508746,460.279008,961.71562,61.195479,611.954793,D – High Climate Risk
14,Gulf_Coast_Urban,Retail,50162,44.739669,80.891508,88.972244,90.580474,447.396686,808.915083,889.722444,905.804744,71.711893,717.118933,D – High Climate Risk
15,Gulf_Coast_Urban,Agriculture,50000,56.739588,41.648759,3.767281,50.654799,567.395883,416.487587,37.672808,506.54799,38.811086,388.110856,B – Resilient
16,Gulf_Coast_Urban,Agriculture,50000,68.327916,15.186092,84.59132,74.279441,683.279164,151.860925,845.913199,742.794407,60.00104,600.0104,D – High Climate Risk
17,Gulf_Coast_Urban,OilGas,52575,45.491082,28.086177,25.96097,43.873518,454.910816,280.861767,259.609701,438.735182,36.014693,360.14693,B – Resilient
18,SE_Asia_StormBel,Retail,50000,19.592489,37.132523,95.550047,96.603878,195.924888,371.325227,955.500466,966.03878,54.518595,545.185951,C – Moderately Vulnerable
19,Gulf_Coast_Urban,AutoManufacturing,206113,46.283545,46.262204,7.715006,7.769567,462.835449,462.622042,77.150061,77.695668,30.858978,308.589783,B – Resilient
20,Gulf_Coast_Urban,Agriculture,144616,55.412486,40.069772,83.854613,20.519448,554.124865,400.697722,838.546135,205.194482,53.453384,534.533839,C – Moderately Vulnerable
21,SE_Asia_StormBel,OilGas,131720,56.188752,35.662871,53.386123,25.853847,561.887524,356.62871,533.861235,258.53847,45.806389,458.06389,C – Moderately Vulnerable
22,EastAfrica_Droug,AutoManufacturing,54559,61.448513,61.697426,19.40909,28.194795,614.485127,616.974263,194.090898,281.947955,46.012828,460.128278,C – Moderately Vulnerable
23,Gulf_Coast_Urban,Retail,50000,6.912644,62.227552,43.119929,27.465971,69.126442,622.275516,431.199294,274.659713,32.876191,328.761914,B – Resilient
24,Gulf_Coast_Urban,Steel,173234,53.429979,37.01513,30.351923,60.460522,534.299795,370.151302,303.519229,604.605225,44.611334,446.113345,C – Moderately Vulnerable
25,Gulf_Coast_Urban,Retail,78299,48.221272,48.321962,23.827706,89.376416,482.212718,483.219618,238.277061,893.764161,48.321324,483.213245,C – Moderately Vulnerable
26,South_Asia_Coast,Banking,111131,26.460904,80.249356,62.161018,6.728535,264.609043,802.493562,621.610183,67.285349,45.87319,458.731904,C – Moderately Vulnerable
27,Gulf_Coast_Urban,Retail,98263,53.374747,22.145974,67.540405,83.204849,533.747471,221.459744,675.404051,832.048489,53.583484,535.834837,C – Moderately Vulnerable
28,SE_Asia_StormBel,AutoManufacturing,76765,56.711245,46.676839,10.646452,30.018867,567.112446,466.768389,106.464516,300.188666,38.682588,386.825882,B – Resilient
29,SE_Asia_StormBel,AutoManufacturing,296467,51.538664,55.910014,72.526899,58.931061,515.386636,559.10014,725.268992,589.31061,58.98742,589.874197,C – Moderately Vulnerable
30,EastAfrica_Droug,RealEstate,50000,55.896413,65.101388,48.300853,65.875245,558.964132,651.01388,483.008528,658.752453,57.795592,577.955916,C – Moderately Vulnerable
31,SE_Asia_StormBel,RealEstate,50000,43.841165,26.105517,53.008855,56.190168,438.41165,261.05517,530.088548,561.901678,43.551526,435.515259,C – Moderately Vulnerable
32,Gulf_Coast_Urban,AutoManufacturing,222554,32.604986,50.326721,74.371958,9.430676,326.049861,503.267214,743.719575,94.306764,44.001016,440.010163,C – Moderately Vulnerable
33,EastAfrica_Droug,AutoManufacturing,63937,44.402929,51.885401,43.181353,48.391805,444.029292,518.854006,431.813532,483.918055,46.566484,465.664845,C – Moderately Vulnerable
34,South_Asia_Coast,Steel,54136,25.510133,61.546813,59.354977,6.279365,255.10133,615.468135,593.549773,62.793655,40.095899,400.958991,C – Moderately Vulnerable
35,South_Asia_Coast,Steel,50000,30.733193,34.008521,51.303858,0.257866,307.331934,340.085208,513.038576,2.578662,32.123392,321.233922,B – Resilient
36,South_Asia_Coast,Retail,103099,76.519954,75.865952,11.874061,20.170746,765.199543,758.65952,118.740605,201.70746,51.742599,517.42599,C – Moderately Vulnerable
37,Gulf_Coast_Urban,Banking,50000,72.887289,32.363638,42.77042,29.745628,728.872893,323.636381,427.704195,297.45628,48.75591,487.559099,C – Moderately Vulnerable
38,EastAfrica_Droug,Agriculture,50000,60.816121,59.682401,83.613961,68.652307,608.161207,596.824006,836.139612,686.523065,67.407579,674.075787,D – High Climate Risk
39,South_Asia_Coast,Banking,101748,33.259951,48.85379,2.999304,38.43088,332.599512,488.537899,29.993043,384.308803,30.368889,303.688885,B – Resilient
40,Gulf_Coast_Urban,Steel,64512,52.608803,38.954376,3.36009,48.935962,526.088035,389.543763,33.600903,489.359619,36.332092,363.320922,B – Resilient
41,EastAfrica_Droug,Retail,50000,51.897472,62.799482,92.921006,59.838294,518.974717,627.994816,929.210062,598.382942,66.069981,660.699812,D – High Climate Risk
42,SE_Asia_StormBel,Banking,61428,53.916323,91.801164,82.015549,3.415932,539.163226,918.01164,820.155489,34.159318,62.837281,628.372809,D – High Climate Risk
43,EastAfrica_Droug,OilGas,182704,66.171654,89.40338,0.353475,34.78872,661.716537,894.0338,3.534747,347.887199,50.8176,508.176005,C – Moderately Vulnerable
44,South_Asia_Coast,RealEstate,110442,46.578856,22.149924,93.454447,42.685038,465.788556,221.49924,934.544472,426.850378,51.606448,516.064479,C – Moderately Vulnerable
45,Gulf_Coast_Urban,Banking,201669,62.200141,21.143504,29.774472,26.167256,622.001411,211.435036,297.744719,261.672556,38.424632,384.246316,B – Resilient
46,South_Asia_Coast,Agriculture,50000,32.720066,62.871504,45.048449,37.585074,327.200656,628.715036,450.484488,375.850737,44.069772,440.697721,C – Moderately Vulnerable
47,Gulf_Coast_Urban,Retail,140953,30.142774,22.960322,23.537215,49.319325,301.427739,229.603219,235.372146,493.193253,29.572254,295.722538,B – Resilient
48,SE_Asia_StormBel,Banking,50000,34.80625,39.429308,17.687282,58.840815,348.062499,394.293085,176.872819,588.408146,35.287457,352.874572,B – Resilient
49,SE_Asia_StormBel,AutoManufacturing,50000,41.650359,89.46567,12.28012,29.052587,416.503593,894.656701,122.801201,290.525866,44.371961,443.719613,C – Moderately Vulnerable
50,Gulf_Coast_Urban,OilGas,50000,62.988799,55.808887,69.68662,69.791685,629.887987,558.088867,696.866204,697.916847,63.888709,638.88709,D – High Climate Risk
51,South_Asia_Coast,RealEstate,66511,72.987427,28.43145,1.405585,86.047762,729.874268,284.314499,14.055855,860.477618,45.912023,459.120225,C – Moderately Vulnerable
52,South_Asia_Coast,OilGas,136266,57.459798,50.93283,38.889407,13.333037,574.597977,509.328302,388.894073,133.330371,44.566444,445.664441,C – Moderately Vulnerable
53,South_Asia_Coast,Retail,76752,37.241776,43.235501,45.447208,29.021306,372.417758,432.355008,454.472081,290.213065,39.558495,395.584947,B – Resilient
54,South_Asia_Coast,Steel,52964,78.247565,66.459991,29.291869,34.623109,782.475652,664.599913,292.918689,346.231086,56.518079,565.180792,C – Moderately Vulnerable
55,SE_Asia_StormBel,RealEstate,50000,76.218486,23.557509,25.027288,10.532027,762.184855,235.57509,250.272875,105.320271,40.402473,404.024731,C – Moderately Vulnerable
56,South_Asia_Coast,OilGas,105268,55.285857,47.961323,61.454212,61.133888,552.858571,479.613234,614.542125,611.338877,55.874017,558.740171,C – Moderately Vulnerable
57,EastAfrica_Droug,Steel,129430,44.266489,63.394137,82.827767,21.068775,442.664887,633.941371,828.277671,210.687753,55.209063,552.090634,C – Moderately Vulnerable
58,Gulf_Coast_Urban,Agriculture,76011,22.83269,22.771874,50.562601,90.695722,228.326895,227.718735,505.626012,906.957222,39.929418,399.294184,B – Resilient
59,EastAfrica_Droug,Retail,50000,19.14467,51.21967,71.178111,13.796025,191.446704,512.196699,711.78111,137.96025,39.369484,393.694836,B – Resilient
60,Gulf_Coast_Urban,Retail,114344,60.807032,76.634966,73.116204,72.661769,608.070321,766.349655,731.162038,726.617693,69.619519,696.19519,D – High Climate Risk
61,Gulf_Coast_Urban,RealEstate,159819,54.15808,91.093787,90.734761,65.738259,541.580797,910.937868,907.34761,657.382591,74.273204,742.732037,D – High Climate Risk
62,Gulf_Coast_Urban,OilGas,204110,54.194053,58.293016,73.357142,46.855072,541.940534,582.93016,733.571419,468.550724,58.908719,589.08719,C – Moderately Vulnerable
63,South_Asia_Coast,Agriculture,50000,71.949467,53.517479,27.091268,51.640613,719.494671,535.174791,270.912678,516.406127,53.080592,530.805921,C – Moderately Vulnerable
64,Gulf_Coast_Urban,AutoManufacturing,84884,35.271526,52.304246,18.983394,15.959014,352.715264,523.042458,189.833942,159.590144,32.560796,325.607964,B – Resilient
65,Gulf_Coast_Urban,RealEstate,50000,57.887718,58.823115,90.810166,2.883457,578.877179,588.231146,908.10166,28.83457,58.10154,581.0154,C – Moderately Vulnerable
66,SE_Asia_StormBel,AutoManufacturing,50000,31.222343,36.007448,76.661499,94.318811,312.223433,360.074476,766.614993,943.188106,53.242878,532.428785,C – Moderately Vulnerable
67,EastAfrica_Droug,RealEstate,212472,46.964327,29.716198,62.534218,3.583442,469.643275,297.16198,625.34218,35.834419,40.037635,400.376349,C – Moderately Vulnerable
68,South_Asia_Coast,OilGas,94057,67.756575,26.054568,94.822433,57.586552,677.565747,260.545684,948.224335,575.865519,62.572034,625.720344,D – High Climate Risk
69,EastAfrica_Droug,Agriculture,168417,55.929371,77.018931,67.310547,81.348056,559.29371,770.189314,673.105469,813.48056,67.859858,678.598578,D – High Climate Risk
70,South_Asia_Coast,OilGas,50000,69.208555,22.396957,63.527181,0.514254,692.08555,223.969573,635.271814,5.142544,45.781167,457.811671,C – Moderately Vulnerable
71,South_Asia_Coast,Retail,75413,34.859939,33.789554,86.889583,38.228371,348.599389,337.895543,868.895832,382.283711,48.105019,481.050187,C – Moderately Vulnerable
72,Gulf_Coast_Urban,AutoManufacturing,89917,77.057831,47.61103,78.824602,30.470806,770.57831,476.1103,788.246019,304.70806,63.14977,631.497697,D – High Climate Risk
73,EastAfrica_Droug,Steel,50000,46.223882,70.873556,29.622028,20.845186,462.238816,708.735564,296.220279,208.451856,44.429032,444.290325,C – Moderately Vulnerable
74,South_Asia_Coast,Banking,196864,56.180149,35.174767,49.944407,16.536649,561.801486,351.747666,499.444074,165.366493,43.423343,434.233429,C – Moderately Vulnerable
75,South_Asia_Coast,Retail,50000,38.313042,5.582513,65.772394,37.691779,383.130417,55.825126,657.723945,376.91779,36.902058,369.020582,B – Resilient
76,South_Asia_Coast,Retail,86069,47.114427,53.82498,23.583682,14.401994,471.144266,538.249802,235.836816,144.019936,38.002514,380.025138,B – Resilient
77,South_Asia_Coast,AutoManufacturing,50000,66.901401,41.884441,63.924976,19.518226,669.014013,418.844408,639.249755,195.182261,52.795578,527.955784,C – Moderately Vulnerable
78,EastAfrica_Droug,RealEstate,50000,44.758947,6.272488,73.745309,54.710269,447.589468,62.724876,737.453085,547.102691,43.876621,438.766208,C – Moderately Vulnerable
79,Gulf_Coast_Urban,Retail,124299,73.704255,67.092173,26.473857,23.96545,737.042554,670.921729,264.738569,239.654498,52.782814,527.828143,C – Moderately Vulnerable
80,EastAfrica_Droug,Banking,81085,57.540328,21.767012,26.97683,7.720746,575.403279,217.670123,269.768297,77.207459,33.483187,334.831871,B – Resilient
81,South_Asia_Coast,Agriculture,72388,58.194753,83.210183,99.33686,86.489676,581.947534,832.101832,993.3686,864.896756,78.978376,789.783758,D – High Climate Risk
82,SE_Asia_StormBel,Retail,50000,23.529138,39.824277,36.576892,43.337314,235.291381,398.242765,365.768924,433.373138,33.836088,338.360876,B – Resilient
83,Gulf_Coast_Urban,Agriculture,79337,52.711237,49.193373,2.847997,83.004419,527.112368,491.933735,28.479968,830.044187,43.909938,439.099382,C – Moderately Vulnerable
84,EastAfrica_Droug,OilGas,164883,55.83967,20.577994,17.002079,5.176062,558.396696,205.779941,170.020792,51.760624,29.715312,297.15312,B – Resilient
85,Gulf_Coast_Urban,RealEstate,50000,35.028416,30.437686,75.398676,63.695952,350.28416,304.376862,753.986755,636.959516,48.273429,482.734288,C – Moderately Vulnerable
86,Gulf_Coast_Urban,Agriculture,93734,36.36684,21.823695,67.377921,81.851599,363.668404,218.236953,673.779207,818.515989,47.306538,473.06538,C – Moderately Vulnerable
87,South_Asia_Coast,Retail,70403,28.773307,38.39093,83.482418,69.63592,287.733066,383.909304,834.824184,696.359203,50.984383,509.843825,C – Moderately Vulnerable
88,SE_Asia_StormBel,RealEstate,51662,42.825468,60.405281,65.823471,84.312251,428.254683,604.052808,658.234707,843.12251,59.192939,591.929394,C – Moderately Vulnerable
89,South_Asia_Coast,Banking,50000,27.7816,76.482973,60.7681,11.222835,277.815997,764.829733,607.680996,112.22835,45.719753,457.197534,C – Moderately Vulnerable
90,SE_Asia_StormBel,RealEstate,59302,49.162392,44.455256,71.607859,17.13347,491.623921,444.552561,716.078593,171.334698,48.792637,487.926365,C – Moderately Vulnerable
91,EastAfrica_Droug,Agriculture,102555,54.383655,60.468818,90.111435,15.924539,543.836554,604.688181,901.114354,159.24539,59.068024,590.680236,C – Moderately Vulnerable
92,South_Asia_Coast,Agriculture,77589,33.436033,33.633536,72.086273,63.458386,334.360331,336.335356,720.862732,634.583855,47.651322,476.513216,C – Moderately Vulnerable
93,South_Asia_Coast,Steel,50000,54.15296,30.2367,10.719578,99.730645,541.529599,302.367005,107.195783,997.306455,44.152202,441.522025,C – Moderately Vulnerable
94,SE_Asia_StormBel,Steel,162372,79.2623,60.373791,79.57532,41.512979,792.622996,603.737906,795.753195,415.129785,68.956029,689.560292,D – High Climate Risk
95,South_Asia_Coast,RealEstate,223762,35.187666,60.030864,98.304452,91.357074,351.876664,600.30864,983.044521,913.570737,65.603073,656.030733,D – High Climate Risk
96,SE_Asia_StormBel,AutoManufacturing,54852,32.827459,68.112022,0.28086,89.244566,328.274587,681.120217,2.808599,892.445664,41.974516,419.745159,C – Moderately Vulnerable
97,SE_Asia_StormBel,AutoManufacturing,380355,42.644445,65.559062,49.174408,81.194278,426.444451,655.590624,491.744079,811.942778,55.788065,557.88065,C – Moderately Vulnerable
98,Gulf_Coast_Urban,Steel,50000,21.654233,29.98553,3.632914,47.979192,216.542327,299.855297,36.329144,479.79192,23.180471,231.804713,B – Resilient
99,EastAfrica_Droug,Retail,50000,47.146638,40.779407,95.515277,31.819733,471.466377,407.79407,955.15277,318.197331,55.347954,553.479542,C – Moderately Vulnerable
100,EastAfrica_Droug,OilGas,50000,54.488785,40.526391,95.849876,5.601013,544.887849,405.263912,958.498763,56.010127,54.005293,540.052935,C – Moderately Vulnerable
101,EastAfrica_Droug,RealEstate,72847,19.40121,35.325694,62.997671,47.897933,194.012102,353.25694,629.976712,478.979333,38.555955,385.559549,B – Resilient
102,SE_Asia_StormBel,OilGas,50000,51.401253,32.050145,50.637671,87.36197,514.012528,320.501455,506.376708,873.619702,51.766688,517.666881,C – Moderately Vulnerable
103,Gulf_Coast_Urban,Steel,50000,35.219842,62.605612,3.36002,48.103726,352.198423,626.056118,33.600202,481.037256,36.033912,360.339116,B – Resilient
104,SE_Asia_StormBel,Agriculture,626335,56.727747,48.435511,96.642346,0.162843,567.27747,484.355109,966.423456,1.628431,56.148602,561.486021,C – Moderately Vulnerable
105,South_Asia_Coast,Banking,50000,36.334106,7.467891,97.119313,79.540909,363.341056,74.678905,971.193131,795.409087,50.794874,507.948742,C – Moderately Vulnerable
106,Gulf_Coast_Urban,RealEstate,50000,36.004786,48.588776,74.322913,12.901559,360.047856,485.887755,743.229131,129.015587,45.264831,452.648309,C – Moderately Vulnerable
107,Gulf_Coast_Urban,Steel,50000,54.425357,63.45149,2.891807,16.45401,544.253566,634.514898,28.918066,164.5401,38.1028,381.028004,B – Resilient
108,South_Asia_Coast,Retail,50000,47.742509,12.239427,79.608473,23.377428,477.425089,122.394269,796.084733,233.774275,43.178467,431.784673,C – Moderately Vulnerable
109,Gulf_Coast_Urban,Banking,50000,58.588018,57.193073,56.195083,19.431062,585.880181,571.930729,561.950827,194.310618,51.767505,517.675045,C – Moderately Vulnerable
110,EastAfrica_Droug,RealEstate,50000,59.00184,32.993161,97.157455,71.665623,590.018399,329.931613,971.57455,716.656234,63.938142,639.381416,D – High Climate Risk
111,Gulf_Coast_Urban,RealEstate,52836,46.595675,77.700094,68.208791,94.068359,465.95675,777.000936,682.087912,940.683592,66.895961,668.959613,D – High Climate Risk
112,Gulf_Coast_Urban,AutoManufacturing,99366,27.695952,46.575363,95.590885,11.707745,276.95952,465.753632,955.908852,117.077446,46.991307,469.91307,C – Moderately Vulnerable
113,South_Asia_Coast,Agriculture,181367,61.627144,69.087227,10.421078,39.000684,616.271443,690.872274,104.21078,390.006837,47.296679,472.966794,C – Moderately Vulnerable
114,South_Asia_Coast,RealEstate,50000,54.346737,48.201174,75.584597,60.142556,543.467372,482.011744,755.845966,601.425563,58.989184,589.891842,C – Moderately Vulnerable
115,SE_Asia_StormBel,Agriculture,60152,41.931417,65.716344,88.272436,47.263298,419.314168,657.163435,882.724359,472.632981,60.262685,602.626854,D – High Climate Risk
116,South_Asia_Coast,Steel,86734,54.963283,38.132062,63.595528,34.912368,549.632833,381.320618,635.955276,349.12368,49.905902,499.059017,C – Moderately Vulnerable
117,South_Asia_Coast,Retail,50000,71.777211,88.920384,54.126687,22.356556,717.772111,889.203844,541.266871,223.565558,64.237275,642.372751,D – High Climate Risk
118,Gulf_Coast_Urban,Banking,52991,48.654557,62.311549,77.507711,55.285439,486.545565,623.11549,775.077105,552.854388,60.276725,602.767255,D – High Climate Risk
119,South_Asia_Coast,Banking,50000,46.291303,47.66442,85.495119,50.827242,462.913026,476.644196,854.951193,508.272415,57.115927,571.159268,C – Moderately Vulnerable
120,SE_Asia_StormBel,Retail,128226,52.661655,65.108084,62.331849,99.142449,526.616546,651.080842,623.318488,991.424487,65.16293,651.629296,D – High Climate Risk
121,South_Asia_Coast,RealEstate,243156,53.065153,50.218965,73.504714,46.373547,530.651534,502.189647,735.047138,463.73547,56.459755,564.597554,C – Moderately Vulnerable
122,South_Asia_Coast,RealEstate,50000,53.329343,90.022729,39.990539,88.451946,533.293429,900.227286,399.905391,884.519457,64.436379,644.363788,D – High Climate Risk
123,Gulf_Coast_Urban,Steel,166707,69.976489,49.454949,34.79929,94.426316,699.764885,494.549488,347.992901,944.263164,59.719278,597.192782,C – Moderately Vulnerable
124,EastAfrica_Droug,AutoManufacturing,50000,59.254893,32.194318,20.403532,32.833908,592.548928,321.943176,204.035317,328.339084,38.813761,388.137611,B – Resilient
125,Gulf_Coast_Urban,AutoManufacturing,70301,30.957621,56.102475,62.511882,29.902421,309.576208,561.024749,625.11882,299.024209,44.97412,449.741196,C – Moderately Vulnerable
126,Gulf_Coast_Urban,AutoManufacturing,73718,19.051578,23.646149,81.785411,94.211694,190.515782,236.461488,817.854113,942.116939,47.157696,471.576965,C – Moderately Vulnerable
127,South_Asia_Coast,Agriculture,50000,28.430771,38.959139,66.349589,57.781223,284.307706,389.59139,663.495888,577.812232,44.945135,449.451351,C – Moderately Vulnerable
128,South_Asia_Coast,AutoManufacturing,50000,50.833721,4.435762,39.242119,19.195372,508.337209,44.357624,392.421187,191.953717,31.590578,315.905783,B – Resilient
129,EastAfrica_Droug,Retail,50000,51.424373,35.353234,98.722783,25.564337,514.243734,353.532345,987.227833,255.643374,55.352186,553.521857,C – Moderately Vulnerable
130,SE_Asia_StormBel,Banking,50000,58.849425,19.767017,0.617281,2.033657,588.494253,197.67017,6.17281,20.336573,25.998422,259.984219,B – Resilient
131,Gulf_Coast_Urban,Banking,50000,35.430478,91.081499,30.98899,32.204318,354.304778,910.814993,309.889898,322.043183,47.748937,477.489373,C – Moderately Vulnerable
132,Gulf_Coast_Urban,Agriculture,50726,56.415294,62.16551,96.818277,62.102836,564.152937,621.655096,968.182773,621.028361,68.806725,688.067249,D – High Climate Risk
133,EastAfrica_Droug,Steel,55859,55.241576,27.391165,38.538143,31.174048,552.415764,273.91165,385.381429,311.740477,40.492986,404.929859,C – Moderately Vulnerable
134,Gulf_Coast_Urban,Retail,55509,47.030758,50.713409,62.015085,22.851372,470.307585,507.134094,620.150853,228.513725,48.070595,480.70595,C – Moderately Vulnerable
135,South_Asia_Coast,Banking,110477,44.830793,84.906878,23.968724,5.872623,448.307933,849.068779,239.687235,58.726225,43.790571,437.905714,C – Moderately Vulnerable
136,Gulf_Coast_Urban,Retail,50000,63.255512,51.648373,69.001051,84.663333,632.55512,516.483733,690.010509,846.63333,65.001285,650.012852,D – High Climate Risk
137,SE_Asia_StormBel,Banking,50000,50.347908,24.368581,64.872743,64.731561,503.479076,243.685809,648.727429,647.315612,49.641833,496.418328,C – Moderately Vulnerable
138,South_Asia_Coast,OilGas,464159,48.778583,60.973187,61.712834,90.860581,487.785833,609.731875,617.128336,908.605807,61.373097,613.730965,D – High Climate Risk
139,Gulf_Coast_Urban,Steel,121711,59.754741,48.39619,37.603251,2.192443,597.547409,483.9619,376.032512,21.924428,42.742886,427.42886,C – Moderately Vulnerable
140,South_Asia_Coast,Steel,122268,29.550759,34.933618,95.633102,92.193734,295.507589,349.336181,956.331022,921.937343,56.813506,568.135058,C – Moderately Vulnerable
141,South_Asia_Coast,OilGas,50000,41.122071,67.531542,64.360943,52.338774,411.220705,675.315425,643.609433,523.387745,55.216662,552.166623,C – Moderately Vulnerable
142,Gulf_Coast_Urban,Agriculture,51189,24.098534,60.834877,9.285368,13.527352,240.985339,608.348766,92.853676,135.273516,27.993651,279.936506,B – Resilient
143,SE_Asia_StormBel,Banking,50000,65.470007,49.654507,73.640211,25.193113,654.700075,496.545074,736.402109,251.931127,57.517149,575.171491,C – Moderately Vulnerable
144,Gulf_Coast_Urban,Banking,95644,35.358663,72.546782,31.955058,14.496972,353.586631,725.467823,319.550576,144.969718,40.675538,406.755378,C – Moderately Vulnerable
145,Gulf_Coast_Urban,Banking,183549,20.778569,72.547759,33.014806,22.636551,207.785693,725.477592,330.148065,226.365511,37.058623,370.586233,B – Resilient
146,EastAfrica_Droug,AutoManufacturing,50000,43.989787,79.583805,22.581252,26.267952,439.897874,795.838047,225.81252,262.679521,44.877883,448.778826,C – Moderately Vulnerable
147,SE_Asia_StormBel,AutoManufacturing,50000,65.970597,21.622799,64.797231,58.319459,659.705968,216.227989,647.972315,583.194588,53.442635,534.426353,C – Moderately Vulnerable
148,SE_Asia_StormBel,AutoManufacturing,58360,33.317816,58.321777,95.581382,26.135003,333.178164,583.217768,955.813819,261.350031,54.057276,540.572759,C – Moderately Vulnerable
149,EastAfrica_Droug,AutoManufacturing,67686,36.644532,35.511931,81.863821,49.143249,366.445324,355.119308,818.638213,491.432488,49.541012,495.410117,C – Moderately Vulnerable
150,Gulf_Coast_Urban,AutoManufacturing,50000,45.936138,19.16446,92.410132,64.208313,459.361377,191.644605,924.101324,642.083132,53.602543,536.025434,C – Moderately Vulnerable
151,South_Asia_Coast,OilGas,50000,36.790976,38.13263,93.074838,77.848448,367.909756,381.3263,930.748384,778.484485,57.355976,573.559758,C – Moderately Vulnerable
152,Gulf_Coast_Urban,Steel,50000,32.492054,73.254552,0.154579,88.293573,324.920545,732.545515,1.545795,882.93573,42.968538,429.685378,C – Moderately Vulnerable
153,EastAfrica_Droug,Agriculture,57571,46.206771,61.529029,62.432585,15.887887,462.067707,615.290291,624.325853,158.878869,49.545956,495.459564,C – Moderately Vulnerable
154,SE_Asia_StormBel,Retail,95694,44.458577,46.177384,93.008825,64.41953,444.58577,461.773845,930.088254,644.195297,60.019984,600.199839,D – High Climate Risk
155,South_Asia_Coast,AutoManufacturing,57559,51.290092,92.280438,55.141006,11.30379,512.900921,922.804377,551.410059,113.0379,56.502462,565.024616,C – Moderately Vulnerable
156,Gulf_Coast_Urban,OilGas,53322,65.226324,66.295019,68.018556,23.463281,652.263237,662.950189,680.185558,234.632805,59.927099,599.27099,C – Moderately Vulnerable
157,South_Asia_Coast,Banking,50000,62.817374,40.957254,43.673298,57.003823,628.173744,409.572541,436.732983,570.038233,51.694293,516.942926,C – Moderately Vulnerable
158,South_Asia_Coast,Agriculture,119808,34.839692,22.107917,85.185264,94.733021,348.396922,221.079167,851.852636,947.33021,53.227141,532.271405,C – Moderately Vulnerable
159,Gulf_Coast_Urban,Agriculture,57463,39.741917,17.413746,16.332338,60.866024,397.419167,174.137457,163.323381,608.660244,31.476095,314.760955,B – Resilient
160,South_Asia_Coast,Agriculture,50000,62.322922,36.428268,9.211894,87.589537,623.229221,364.282679,92.118936,875.895369,46.361494,463.614936,C – Moderately Vulnerable
161,Gulf_Coast_Urban,OilGas,73432,35.611501,87.408641,37.262983,67.17716,356.115012,874.086413,372.629829,671.771605,53.708506,537.085056,C – Moderately Vulnerable
162,SE_Asia_StormBel,Retail,50000,24.446216,41.692354,7.888503,74.929703,244.462157,416.923536,78.885032,749.297028,32.190845,321.908451,B – Resilient
163,SE_Asia_StormBel,AutoManufacturing,50000,57.088401,46.402634,14.158908,22.147012,570.884011,464.026342,141.589082,221.470124,38.443378,384.433778,B – Resilient
164,SE_Asia_StormBel,Agriculture,65256,55.324116,60.656072,15.74908,48.619195,553.241161,606.560721,157.490804,486.191948,45.757608,457.57608,C – Moderately Vulnerable
165,EastAfrica_Droug,OilGas,50000,42.706837,32.586092,0.495053,80.440673,427.068369,325.860916,4.950535,804.406725,35.28378,352.837801,B – Resilient
