cust_id,secured_flag,ead,collateral_value,time_to_recovery,default_flag,recovery_amount,recovery_cost,lgd_observed,collateral_type,legal_action_flag,restructuring_flag,seniority,industry,segment,exposure_class
36,0,3973577,606452,30,0,106207,20429,0.95,Inventory,1,0,Junior,Transport,SME,Unsecured
37,1,743992,283882,34,0,253710,23645,0.6907695244034882,Guarantee,0,0,Junior,Manufacturing,SME,Partially Secured
38,1,1573559,115609,30,1,85958,20215,0.95,Guarantee,0,0,Senior,Transport,Mortgage,Secured
39,0,1482660,416004,14,0,126655,27594,0.9331869747615772,Property,1,0,Senior,Retail,SME,Unsecured
40,1,1149635,3235574,15,0,1517532,85693,0.05,Vehicles,0,0,Senior,Retail,SME,Secured
41,1,780227,778473,24,0,563728,103687,0.41037544201879705,Vehicles,0,0,Senior,Retail,Corporate,Secured
42,1,1780591,3307555,31,0,1956707,206398,0.05,Property,0,0,Junior,Retail,Mortgage,Partially Secured
43,1,476315,888174,32,0,648348,96697,0.05,Property,0,0,Senior,Services,SME,Secured
44,0,358815,314525,17,1,78348,7006,0.801173306578599,PlantMachinery,0,0,Junior,Transport,Corporate,Unsecured
45,1,4167499,2973888,6,0,1989412,391487,0.6165745930592905,Vehicles,0,1,Senior,Energy,SME,Secured
46,0,2488443,921316,35,0,345426,20372,0.8693745446449849,Vehicles,1,1,Junior,Manufacturing,SME,Unsecured
47,1,1284514,2101207,11,1,1419534,228135,0.07249045164163259,PlantMachinery,0,1,Senior,Services,Mortgage,Secured
48,1,6357478,225221,18,0,137594,9909,0.95,Guarantee,0,0,Senior,Services,Mortgage,Secured
49,1,920097,2286726,28,0,1932668,215435,0.05,Guarantee,0,0,Junior,Retail,Corporate,Secured
50,1,4514040,2363793,29,0,1820370,161406,0.6324879708642369,Property,0,1,Senior,Retail,Corporate,Secured
51,0,1433420,1003238,13,0,287217,39275,0.8270276680944872,Vehicles,0,0,Junior,Retail,SME,Unsecured
52,0,431597,300254,28,0,26792,3918,0.9470014851817784,Property,0,0,Senior,Transport,SME,Unsecured
53,0,7633371,693419,16,0,164342,29880,0.95,Guarantee,0,0,Senior,Manufacturing,SME,Unsecured
54,0,3238791,1428906,3,0,479528,67103,0.8726608169529926,Receivables,0,0,Junior,Energy,Corporate,Unsecured
55,1,1065525,944137,13,0,499909,97450,0.6222904202153867,Vehicles,1,1,Junior,Retail,SME,Secured
56,0,2488451,1412951,32,0,100843,21313,0.95,Receivables,0,0,Senior,Construction,SME,Unsecured
57,1,803149,2221005,26,0,1796677,446906,0.05,Vehicles,0,0,Senior,Energy,Mortgage,Secured
58,1,2755609,357434,6,0,239222,17878,0.9196751063013657,Property,0,0,Senior,Transport,Corporate,Secured
59,1,110075,204723,24,0,161412,21274,0.05,Receivables,0,0,Senior,Services,SME,Partially Secured
60,1,433739,699910,10,0,424508,42806,0.11997307136319302,PlantMachinery,1,1,Senior,Transport,Corporate,Secured
61,1,3201915,507515,18,0,352713,68760,0.9113177582790299,Inventory,0,0,Senior,Retail,Mortgage,Secured
62,1,936911,1731382,35,0,1058091,162037,0.05,Guarantee,1,0,Junior,Manufacturing,SME,Partially Secured
63,0,1479984,223697,35,0,62823,4540,0.95,PlantMachinery,1,0,Senior,Retail,SME,Unsecured
64,1,312767,2240971,12,0,1084080,67818,0.05,PlantMachinery,0,0,Senior,Services,Mortgage,Secured
65,1,7632049,3233168,4,0,2261022,339523,0.748232879532089,Receivables,0,0,Senior,Manufacturing,SME,Secured
66,1,3955152,729661,6,0,649015,77974,0.8556209723418974,Receivables,0,0,Senior,Energy,Mortgage,Secured
67,1,983934,779813,25,0,610132,94786,0.47623925995036254,PlantMachinery,1,0,Senior,Manufacturing,SME,Secured
68,0,802353,313545,29,0,31434,3135,0.95,Receivables,0,1,Senior,Manufacturing,Corporate,Unsecured
69,1,3367241,401544,35,0,334056,42601,0.9134439738646566,PlantMachinery,1,1,Junior,Transport,Mortgage,Secured
70,0,8731698,465482,35,0,133613,32708,0.95,Guarantee,1,0,Senior,Retail,Corporate,Unsecured
71,0,3121300,3566995,22,1,749458,73619,0.7834751545830263,Vehicles,0,0,Senior,Construction,Mortgage,Unsecured
72,1,10551754,673970,15,0,287493,15720,0.95,Inventory,0,0,Junior,Retail,Mortgage,Secured
73,1,478135,170349,13,1,116899,27416,0.8128499273217815,Vehicles,1,1,Senior,Retail,Other,Secured
74,0,529989,965971,21,0,365177,76941,0.45614720305515777,Receivables,0,0,Senior,Transport,SME,Unsecured
75,0,366245,1810147,34,0,722493,101796,0.05,PlantMachinery,1,0,Junior,Energy,Mortgage,Unsecured
76,0,1870582,709309,5,0,133321,20863,0.9398807429987031,Vehicles,0,0,Junior,Energy,Other,Unsecured
77,0,1433462,3671587,15,0,503163,58907,0.6900817740547012,PlantMachinery,1,1,Senior,Construction,Mortgage,Unsecured
78,1,1033073,1715576,30,0,912559,71747,0.1861059189428046,Vehicles,0,0,Junior,Energy,SME,Partially Secured
79,1,2701340,230028,24,0,125611,13013,0.95,Property,0,0,Senior,Manufacturing,Corporate,Secured
80,1,4123977,397688,21,0,160921,19564,0.95,Property,0,0,Senior,Services,Corporate,Partially Secured
81,0,261538,935511,33,0,218480,35197,0.299210822136745,Property,0,0,Senior,Retail,SME,Unsecured
82,1,662004,116680,22,0,74275,7907,0.8997468293242941,Inventory,0,1,Senior,Services,SME,Secured
83,1,2730904,1055993,26,0,610297,69942,0.8021332862671116,Vehicles,0,0,Senior,Construction,Corporate,Secured
84,1,753332,105057,34,0,70398,11236,0.9214662326835976,Guarantee,0,0,Senior,Retail,SME,Secured
85,1,541335,2248506,11,0,1339840,142680,0.05,Receivables,1,0,Senior,Energy,Corporate,Secured
86,1,3330181,1978799,21,0,1219495,298027,0.7232979228456351,Vehicles,0,0,Senior,Construction,Corporate,Partially Secured
87,0,331207,1270930,25,1,374588,52169,0.05,Guarantee,0,0,Junior,Energy,Corporate,Unsecured
88,1,889504,346810,27,0,150221,31785,0.8668516386660431,PlantMachinery,0,0,Junior,Retail,Corporate,Secured
89,0,1670517,879600,35,0,92680,17248,0.95,Vehicles,0,0,Senior,Energy,SME,Unsecured
90,1,677510,414689,4,0,204031,15720,0.7220542870215938,Vehicles,0,0,Senior,Retail,Corporate,Secured
91,1,2631739,234709,5,0,146950,30326,0.95,Property,1,0,Senior,Energy,SME,Secured
92,0,680867,502515,30,1,152713,15206,0.798041320845334,PlantMachinery,1,0,Senior,Energy,Mortgage,Unsecured
93,0,4919018,1572366,39,0,160859,36710,0.95,Vehicles,1,0,Junior,Transport,Mortgage,Unsecured
94,1,1060502,765431,37,0,546208,106167,0.5850634888005869,Inventory,1,0,Junior,Services,SME,Secured
95,0,2353161,3597612,16,0,823826,159360,0.7176283305732162,Receivables,1,0,Senior,Construction,SME,Unsecured
96,1,2535810,1693585,26,0,1401310,155795,0.5088295258714178,Property,0,0,Senior,Energy,SME,Secured
97,1,642074,1505385,39,0,687309,88368,0.06717761504125697,Vehicles,0,0,Senior,Retail,Corporate,Partially Secured
98,1,154278,124266,5,0,67370,13224,0.6490361555114792,PlantMachinery,1,0,Junior,Manufacturing,Corporate,Secured
99,1,1725031,533026,25,0,430881,52866,0.780864807646935,Property,1,0,Senior,Transport,SME,Secured
100,1,1292757,226203,36,1,120439,16931,0.9199323616116564,Property,0,0,Senior,Energy,Mortgage,Secured
101,1,2096596,596417,11,0,315504,51043,0.873861726341174,Guarantee,0,0,Junior,Manufacturing,SME,Secured
102,1,958833,340236,20,0,238673,26174,0.7783774651060196,Vehicles,1,0,Senior,Construction,SME,Secured
103,1,781970,481487,4,0,410045,83099,0.581894446078494,Guarantee,0,1,Senior,Services,SME,Partially Secured
104,1,8961722,2343788,24,0,1187889,124634,0.8813559492249369,PlantMachinery,1,0,Junior,Transport,Corporate,Secured
105,0,275859,1230307,37,0,90429,5478,0.6920491990473394,PlantMachinery,1,0,Senior,Construction,Corporate,Unsecured
106,1,2505378,2208503,33,0,1546159,320606,0.5108311001373844,Inventory,1,0,Junior,Energy,Other,Secured
107,1,676980,125398,28,0,91510,11370,0.8816213182073326,Property,0,0,Junior,Transport,Mortgage,Partially Secured
108,0,859599,777448,16,0,306050,67079,0.72199711726049,Inventory,1,1,Junior,Energy,SME,Unsecured
109,1,875803,2112484,30,0,1020204,178267,0.05,PlantMachinery,0,0,Senior,Construction,SME,Secured
110,1,538512,3824451,13,0,2781059,601273,0.05,Receivables,1,0,Senior,Services,Corporate,Partially Secured
111,1,2129130,132866,34,0,65262,8242,0.95,Receivables,0,0,Junior,Transport,SME,Secured
112,1,4831384,495522,23,1,276080,44698,0.95,Receivables,0,0,Senior,Construction,Other,Secured
113,0,1924186,2275361,25,0,200048,10509,0.9014965289218402,Vehicles,0,0,Senior,Energy,Corporate,Unsecured
114,0,1333585,590363,26,0,85934,8714,0.942095929393327,Vehicles,1,0,Senior,Construction,SME,Unsecured
115,1,448453,267945,14,0,114373,25723,0.8023204215380431,PlantMachinery,0,0,Senior,Energy,Other,Secured
116,0,2016401,132587,5,0,44669,6171,0.95,Inventory,0,0,Senior,Retail,Mortgage,Unsecured
117,0,10389950,256896,8,0,21506,3810,0.95,Guarantee,1,0,Senior,Transport,Mortgage,Unsecured
118,1,821843,113801,14,1,50029,5302,0.9455771966178455,Vehicles,0,0,Senior,Services,SME,Secured
119,0,825724,777863,22,0,117796,25975,0.8887994051281057,PlantMachinery,1,0,Senior,Construction,Mortgage,Unsecured
120,1,686190,1955079,8,0,887256,149685,0.05,Receivables,0,0,Senior,Construction,Mortgage,Secured
121,0,737178,182212,22,0,65818,15242,0.9313924181134,Guarantee,0,0,Senior,Manufacturing,SME,Unsecured
122,0,77242,968498,16,0,125295,12368,0.05,Receivables,1,0,Junior,Services,SME,Unsecured
123,1,1803131,1848339,3,0,1381618,270070,0.3835456214773081,Property,0,0,Senior,Transport,Other,Partially Secured
124,1,516302,727246,22,1,490912,26557,0.10061359436918704,Inventory,0,0,Senior,Manufacturing,SME,Secured
125,1,240322,124024,24,0,106711,18093,0.6312530687993609,PlantMachinery,0,0,Senior,Manufacturing,SME,Secured
126,1,2554047,1115521,33,0,512621,56537,0.8214269353696311,PlantMachinery,1,0,Senior,Energy,Corporate,Secured
127,0,407575,686861,33,0,126018,9405,0.713885787891799,Guarantee,0,0,Senior,Transport,SME,Unsecured
128,0,857118,614058,30,0,226887,39784,0.7817068361649154,Receivables,0,1,Senior,Manufacturing,Corporate,Unsecured
129,1,5211834,399703,14,0,256273,14305,0.95,Vehicles,0,0,Senior,Retail,SME,Partially Secured
130,1,293838,802483,18,0,660064,53634,0.05,Vehicles,0,0,Senior,Manufacturing,Corporate,Secured
131,1,259731,1277990,35,0,760826,94455,0.05,PlantMachinery,0,0,Junior,Construction,Other,Secured
132,1,1574276,10116850,37,0,6332441,882513,0.05,Guarantee,1,0,Senior,Manufacturing,SME,Secured
133,1,3796109,825352,6,0,467181,108223,0.9054405445154499,Vehicles,1,0,Senior,Retail,Corporate,Secured
134,1,249112,3844888,12,0,3365696,393834,0.05,PlantMachinery,1,0,Senior,Transport,SME,Secured
135,0,1807923,1081144,36,0,157734,9500,0.9180086762544644,Property,1,0,Senior,Services,SME,Unsecured
136,1,2150045,653775,5,0,508341,123250,0.8208916557560423,Vehicles,0,1,Junior,Energy,SME,Secured
137,1,153405,858895,33,0,642414,138864,0.05,Property,0,0,Senior,Retail,Mortgage,Secured
138,0,2672436,190249,33,1,10348,988,0.95,Guarantee,0,0,Junior,Construction,SME,Unsecured
139,1,2889534,1021156,3,0,875121,133967,0.7435039698442725,Inventory,0,1,Senior,Construction,Corporate,Secured
140,0,880472,81530,7,1,18814,1525,0.95,Property,1,1,Senior,Manufacturing,Corporate,Unsecured
141,0,4207361,282396,7,0,112898,27223,0.95,Inventory,1,0,Senior,Manufacturing,Corporate,Unsecured
142,1,3746960,823095,4,0,671722,102938,0.8482012084463137,Property,0,0,Junior,Manufacturing,SME,Partially Secured
143,1,1333233,2712497,17,0,1164569,168091,0.2525852570405923,Vehicles,0,0,Senior,Manufacturing,SME,Secured
144,1,765706,3518997,3,0,2498088,539017,0.05,Property,0,0,Senior,Transport,Corporate,Secured
145,1,454599,562304,23,0,446746,33862,0.09176219041396927,Vehicles,0,0,Senior,Energy,SME,Partially Secured
146,1,1158268,865695,39,0,738653,75983,0.42787852206915844,PlantMachinery,1,0,Senior,Manufacturing,SME,Secured
147,1,2126012,2153917,9,0,1406826,276484,0.4683275541248121,PlantMachinery,1,0,Junior,Transport,SME,Secured
148,1,869630,168983,13,0,131022,22639,0.8753688350217909,Inventory,1,0,Senior,Services,Mortgage,Secured
149,1,133585,1138500,28,0,1007362,82407,0.05,Receivables,0,0,Senior,Energy,Mortgage,Secured
150,1,4276792,293407,4,0,238810,22002,0.94930592836874,Guarantee,1,0,Senior,Energy,Mortgage,Secured
151,0,1454573,603796,32,0,198566,44869,0.8943353135250001,Property,0,1,Senior,Services,Corporate,Unsecured
152,1,822723,440239,16,0,265746,57067,0.7463556993058418,Vehicles,0,0,Junior,Transport,Mortgage,Partially Secured
153,1,2833882,1177488,7,0,524976,27811,0.824563972670704,Receivables,1,1,Junior,Energy,SME,Partially Secured
154,1,5524142,1336191,33,0,1179875,283525,0.837739507782385,PlantMachinery,0,0,Senior,Energy,SME,Partially Secured
155,0,72990,1943860,34,0,247557,41177,0.05,Vehicles,1,0,Senior,Energy,Corporate,Unsecured
156,1,1856611,1069838,36,0,519494,74935,0.7605535031301657,Vehicles,0,0,Senior,Transport,SME,Partially Secured
157,0,288759,881005,12,1,169508,20530,0.4840749552394904,Receivables,0,0,Senior,Energy,Mortgage,Unsecured
158,0,1980996,5606438,33,0,2023883,253310,0.10622081013793061,Vehicles,0,0,Senior,Transport,Corporate,Unsecured
159,1,1366724,136380,29,0,60714,9041,0.95,Receivables,0,1,Senior,Manufacturing,Corporate,Secured
160,0,2270990,4709869,20,0,349201,32166,0.8603978881456986,Property,0,0,Senior,Manufacturing,Corporate,Unsecured
161,1,729965,530298,7,0,441581,33690,0.441218414581521,Property,0,0,Senior,Retail,Corporate,Partially Secured
162,1,184750,1366797,19,0,1198566,194409,0.05,Property,1,0,Senior,Retail,SME,Partially Secured
163,1,766532,509800,13,1,296914,41755,0.667125442903884,PlantMachinery,0,0,Senior,Services,Mortgage,Secured
164,1,1806402,336786,7,0,204304,37877,0.9078682375240948,Guarantee,0,0,Senior,Retail,SME,Partially Secured
165,1,3319724,1242995,39,0,742972,110357,0.8094374713078557,Receivables,0,0,Junior,Manufacturing,Corporate,Partially Secured
166,0,372565,2295224,23,0,407504,52357,0.05,Property,1,0,Senior,Services,SME,Unsecured
167,1,3358686,1227277,26,0,769046,91294,0.7982091806140854,PlantMachinery,0,0,Senior,Manufacturing,SME,Secured
168,1,629151,401785,32,0,236100,39068,0.6868287581200698,PlantMachinery,1,0,Senior,Energy,SME,Partially Secured
169,1,1727956,38743945,18,0,27544399,2912690,0.05,Guarantee,0,1,Senior,Construction,SME,Partially Secured
170,1,722235,2726232,24,0,1759146,375648,0.05,PlantMachinery,0,0,Junior,Construction,SME,Secured
171,0,1442907,2036364,4,0,187110,39053,0.8973897832639248,Property,0,0,Senior,Transport,Corporate,Unsecured
172,1,2934001,494716,21,0,298564,53378,0.9164328846513685,Vehicles,0,0,Senior,Retail,Mortgage,Secured
173,1,352563,366706,39,0,231119,29385,0.42780722877897004,Guarantee,0,0,Junior,Manufacturing,SME,Secured
174,1,609317,536154,4,0,224105,38195,0.6948878826620626,Property,0,0,Senior,Manufacturing,Mortgage,Secured
175,1,1446941,2396565,13,0,2067974,360595,0.05,Guarantee,0,0,Senior,Transport,Corporate,Secured
176,1,13277529,245324,35,0,101879,18897,0.95,Guarantee,1,0,Senior,Services,SME,Secured
177,0,507275,225252,11,0,57335,7241,0.9012488295303336,PlantMachinery,0,0,Senior,Construction,Corporate,Unsecured
178,1,9249997,1320475,27,0,725118,96838,0.9320778158090214,Inventory,0,0,Senior,Retail,Mortgage,Partially Secured
179,0,8925503,1036246,8,0,412300,95713,0.95,Property,0,0,Senior,Retail,SME,Unsecured
180,1,1091091,312592,13,1,220329,15891,0.8126297439901896,Property,0,0,Junior,Retail,Corporate,Secured
181,1,892558,219624,29,0,165481,12629,0.8287483838585279,Vehicles,0,0,Senior,Retail,SME,Secured
182,1,601953,3547262,10,0,2536649,629400,0.05,Property,1,0,Senior,Manufacturing,SME,Secured
183,0,1123318,1080251,33,0,135175,23611,0.9006835108135007,Property,0,0,Junior,Energy,Mortgage,Unsecured
184,0,294572,162772,29,0,41182,5836,0.8800089621552626,PlantMachinery,1,0,Junior,Services,Corporate,Unsecured
185,1,1114326,175784,7,0,117868,8722,0.9020520027352857,Guarantee,0,0,Senior,Retail,Corporate,Secured
186,0,5372910,490086,17,0,175321,31345,0.95,Guarantee,1,0,Senior,Services,Corporate,Unsecured
187,0,652727,1633321,4,1,273875,56177,0.6664792478325547,Guarantee,1,0,Senior,Construction,Corporate,Unsecured
188,1,945317,1403542,17,0,671853,104968,0.40032285466145223,Guarantee,1,0,Senior,Transport,Corporate,Secured
189,1,219445,2532826,33,0,2042282,122243,0.05,PlantMachinery,0,0,Senior,Transport,Corporate,Secured
190,1,1748138,141579,22,0,78083,11878,0.95,Inventory,0,0,Senior,Retail,Corporate,Secured
191,1,1566699,933066,5,0,733184,59045,0.5697073911453316,Guarantee,1,0,Junior,Retail,Corporate,Partially Secured
192,0,1281705,3500797,12,0,902380,123170,0.39205199324337503,Guarantee,1,0,Senior,Construction,SME,Unsecured
193,0,968179,3159997,28,0,1041175,112998,0.05,PlantMachinery,1,0,Junior,Retail,Corporate,Unsecured
194,1,897386,1082518,12,0,585281,44562,0.39745104113502994,Guarantee,1,0,Junior,Retail,Mortgage,Secured
195,1,1986530,9653396,15,0,5921858,352286,0.05,Guarantee,0,0,Senior,Construction,Corporate,Secured
196,1,1168443,1425757,23,0,683537,116042,0.5143152040792747,Receivables,1,0,Junior,Construction,SME,Partially Secured
197,0,1647833,2296785,36,0,697012,114692,0.6466146751521544,Guarantee,0,0,Senior,Manufacturing,Corporate,Unsecured
198,0,1491037,765965,34,0,201157,16480,0.8761419066059394,Vehicles,1,0,Senior,Services,Corporate,Unsecured
199,0,3698460,308947,11,1,24583,5741,0.95,Property,1,0,Senior,Retail,SME,Unsecured
200,0,2366669,278526,32,0,70749,15911,0.95,Property,1,0,Senior,Construction,SME,Unsecured
201,1,1458416,890712,3,0,528927,54909,0.674977509846299,Receivables,0,0,Senior,Construction,Mortgage,Secured
202,1,5489907,578010,14,0,238033,35903,0.95,Vehicles,1,0,Senior,Energy,Corporate,Partially Secured
203,1,1830809,104250,37,0,58851,8905,0.95,Receivables,1,0,Junior,Services,Mortgage,Secured
204,0,4434665,236009,26,1,44256,3807,0.95,Receivables,0,1,Senior,Energy,Corporate,Unsecured
205,1,2206554,513885,12,0,271880,35110,0.8926969383028922,Guarantee,0,0,Senior,Retail,SME,Secured
206,1,190628,1623357,26,1,856751,152113,0.05,Vehicles,0,0,Senior,Construction,SME,Secured
207,1,4434097,716632,20,0,379836,57015,0.9271957740211818,Property,1,0,Senior,Retail,Corporate,Partially Secured
208,0,1376667,673827,10,0,249802,31541,0.8414569391145426,Property,0,0,Senior,Transport,Mortgage,Unsecured
209,1,1141718,246322,15,0,133295,18362,0.8993332854522745,Vehicles,1,0,Junior,Transport,SME,Secured
210,1,1593348,748242,18,1,617785,110359,0.6815347306426468,PlantMachinery,1,0,Senior,Manufacturing,SME,Partially Secured
211,1,851723,3112731,16,0,1305874,305798,0.05,Guarantee,0,0,Senior,Services,Corporate,Secured
212,0,1509107,865560,11,0,191102,44633,0.9029432637977294,Vehicles,1,0,Senior,Retail,SME,Unsecured
213,0,665386,138961,11,0,8709,1906,0.95,Receivables,0,0,Junior,Transport,Corporate,Unsecured
214,1,4300630,184116,7,0,76219,10654,0.95,Receivables,1,0,Senior,Services,SME,Partially Secured
215,0,1073475,1393971,13,0,459398,114012,0.6782542676820607,Property,0,0,Senior,Construction,SME,Unsecured
216,1,820292,569920,21,0,496362,40587,0.4443746860873933,Vehicles,0,0,Senior,Transport,SME,Partially Secured
217,1,476905,671965,12,0,603936,85989,0.05,Vehicles,0,0,Junior,Retail,SME,Secured
218,0,1573441,371755,18,0,46174,7297,0.95,Property,1,0,Senior,Energy,SME,Unsecured
219,1,1450047,1269017,31,0,650656,159212,0.6610840889984946,Receivables,0,0,Senior,Manufacturing,Corporate,Partially Secured
220,0,1773427,523865,7,0,69637,10181,0.95,Property,1,0,Senior,Transport,Corporate,Unsecured
221,0,430519,594053,20,0,43863,7918,0.9165077499483182,Inventory,0,0,Senior,Energy,Corporate,Unsecured
222,1,242514,285973,37,0,207382,20091,0.22771056516324828,Guarantee,0,0,Senior,Manufacturing,Corporate,Secured
223,1,2248089,2010432,38,1,1744874,269835,0.3438698378934286,Receivables,0,0,Senior,Manufacturing,Corporate,Partially Secured
224,1,5307555,571919,24,0,500432,90821,0.922824916557624,Vehicles,0,0,Senior,Services,Mortgage,Partially Secured
225,1,430906,1423555,26,0,1110151,106162,0.05,PlantMachinery,1,1,Senior,Retail,Corporate,Secured
226,1,5893975,196231,14,0,112706,17398,0.95,PlantMachinery,0,0,Senior,Retail,Corporate,Partially Secured
227,0,1597437,4912391,14,0,553092,100436,0.7166360864309516,PlantMachinery,0,1,Senior,Construction,SME,Unsecured
228,1,1194140,2973087,37,1,1958777,206501,0.05,Vehicles,1,0,Junior,Transport,Other,Secured
229,0,808108,89252,21,0,8325,1191,0.95,Vehicles,0,0,Senior,Transport,Mortgage,Unsecured
230,1,301185,301905,39,0,138650,29512,0.637637996580175,Guarantee,0,0,Senior,Manufacturing,SME,Secured
231,0,3229146,1233538,16,0,389979,61475,0.898269077954357,PlantMachinery,1,0,Senior,Energy,SME,Unsecured
232,1,553708,170808,25,0,109297,10170,0.8209760379116791,PlantMachinery,0,0,Senior,Energy,SME,Secured
233,1,551387,631116,24,0,461341,42833,0.24099044772546319,Guarantee,1,0,Senior,Retail,Mortgage,Partially Secured
234,1,3242730,1166239,13,0,595446,113923,0.8515069093017303,Inventory,0,1,Junior,Energy,Corporate,Secured
235,1,182958,595288,4,0,496617,52877,0.05,Property,0,0,Senior,Construction,Corporate,Secured
236,0,262079,1319446,12,0,179261,9830,0.3535117273799122,Guarantee,0,0,Junior,Transport,Corporate,Unsecured
237,1,1180992,340216,7,0,305723,67405,0.7982052376307376,PlantMachinery,0,1,Senior,Transport,Corporate,Secured
238,1,1612480,61784,32,0,41916,2252,0.95,PlantMachinery,0,0,Senior,Transport,Corporate,Secured
239,1,1952721,2148599,23,0,1017192,162564,0.5623399348908523,Guarantee,0,0,Senior,Energy,Corporate,Partially Secured
240,1,889310,2133759,35,0,1743701,164874,0.05,Inventory,1,0,Senior,Transport,Corporate,Partially Secured
241,0,15102482,11455726,27,0,2877883,591178,0.8485874705892713,Property,1,0,Senior,Transport,Corporate,Unsecured
242,0,957525,64350,9,0,12885,1002,0.95,PlantMachinery,1,0,Senior,Manufacturing,Corporate,Unsecured
243,0,954758,1665965,30,0,460132,101682,0.624564549341299,Inventory,1,0,Senior,Construction,Corporate,Unsecured
244,1,541995,83654,18,0,56503,9273,0.9128589747137889,Receivables,1,0,Junior,Services,Mortgage,Secured
245,1,1361240,5036100,39,0,4228628,354474,0.05,Guarantee,1,0,Senior,Energy,SME,Partially Secured
246,0,2224318,1247501,5,0,466825,83893,0.827842961303195,Property,1,0,Senior,Transport,SME,Unsecured
247,1,4007098,255986,21,1,202948,11335,0.95,Property,1,0,Senior,Manufacturing,Corporate,Secured
248,0,271228,1720705,14,0,372246,63309,0.05,Receivables,0,1,Senior,Energy,SME,Unsecured
