cust_id,secured_flag,ead,collateral_value,recovery_amount,recovery_cost,time_to_recovery,default_flag,lgd_observed
125,1,240322,124024,84204,7093,16,0,0.6791346609964963
126,1,2554047,1115521,968182,62531,37,0,0.6454055074162692
127,0,407575,686861,78323,19030,32,0,0.8545224805250567
128,0,857118,614058,94366,22674,37,0,0.9163569076836562
129,1,5211834,399703,279744,32186,21,1,0.95
130,1,293838,802483,610697,127009,11,0,0.05
131,1,259731,1277990,597721,134194,20,0,0.05
132,1,1574276,10116850,8570369,1225129,3,1,0.05
133,1,3796109,825352,347676,32938,19,0,0.9170893143479284
134,1,249112,3844888,2769749,210392,24,0,0.05
135,0,1807923,1081144,159252,12447,14,0,0.918799086023022
136,1,2150045,653775,329542,69001,20,0,0.8788206758463195
137,1,153405,858895,361041,45810,4,1,0.05
138,0,2672436,190249,56703,10699,26,0,0.95
139,1,2889534,1021156,547172,86310,6,0,0.8405064622876907
140,0,880472,81530,5302,683,25,0,0.95
141,0,4207361,282396,52104,3895,6,0,0.95
142,1,3746960,823095,355517,41485,23,0,0.916190191515255
143,1,1333233,2712497,1477318,322106,29,0,0.1335257978162857
144,1,765706,3518997,2972349,630969,13,0,0.05
145,1,454599,562304,291458,16226,26,0,0.39456092072353877
146,1,1158268,865695,777379,60678,29,0,0.38123042335625257
147,1,2126012,2153917,1138173,228977,38,0,0.5723467224079638
148,1,869630,168983,130041,15233,29,0,0.8679806354426596
149,1,133585,1138500,692810,123817,30,0,0.05
150,1,4276792,293407,137350,22324,36,1,0.95
151,0,1454573,603796,203648,36740,4,0,0.8852529230227703
152,1,822723,440239,324702,19722,28,0,0.6293041521873097
153,1,2833882,1177488,669435,158136,17,0,0.8195764678980988
154,1,5524142,1336191,938091,50838,26,0,0.8393862793534272
155,0,72990,1943860,512776,26462,21,0,0.05
156,1,1856611,1069838,667889,63603,9,0,0.6745220188827923
157,0,288759,881005,237838,59150,19,0,0.3811863872641199
158,0,1980996,5606438,2010908,129716,6,0,0.05038071757843021
159,1,1366724,136380,68048,15303,38,0,0.95
160,0,2270990,4709869,502852,41142,32,0,0.7966921915111912
161,1,729965,530298,395841,28429,16,0,0.4966717582349839
162,1,184750,1366797,1206133,248215,22,0,0.05
163,1,766532,509800,405169,88868,31,0,0.5873609973230081
164,1,1806402,336786,161904,33746,28,0,0.9290534443606684
165,1,3319724,1242995,666681,65471,21,0,0.8188975951012795
166,0,372565,2295224,320595,72444,10,0,0.33393904419363063
167,1,3358686,1227277,574150,36962,22,0,0.8400600711111429
168,1,629151,401785,211074,24990,3,0,0.7042299861241578
169,1,1727956,38743945,19362816,2761846,18,0,0.05
170,1,722235,2726232,1381721,87804,3,0,0.05
171,0,1442907,2036364,653475,108456,37,0,0.622277111414665
172,1,2934001,494716,272261,44072,10,0,0.922225997877983
173,1,352563,366706,169708,42161,10,0,0.6382291959167581
174,1,609317,536154,288942,50372,4,0,0.6084632465531079
175,1,1446941,2396565,1783537,230984,30,1,0.05
176,1,13277529,245324,127127,26447,33,0,0.95
177,0,507275,225252,24626,2881,18,0,0.95
178,1,9249997,1320475,572885,89698,13,1,0.9477635506260165
179,0,8925503,1036246,225960,13804,16,0,0.95
180,1,1091091,312592,256635,29393,39,0,0.7917295624287983
181,1,892558,219624,94330,14679,35,0,0.9107609813591946
182,1,601953,3547262,2380791,453451,10,0,0.05
183,0,1123318,1080251,246559,17211,36,0,0.7958298540573551
184,0,294572,162772,37514,7856,15,0,0.8993183330391211
185,1,1114326,175784,147449,33917,18,0,0.8981159911910876
186,0,5372910,490086,43649,4635,38,0,0.95
187,0,652727,1633321,636357,129224,23,0,0.22305496785026513
188,1,945317,1403542,814716,70122,19,0,0.21233406359982943
189,1,219445,2532826,1862678,288124,36,0,0.05
190,1,1748138,141579,124054,25992,20,0,0.9439048862275176
191,1,1566699,933066,748638,95300,38,0,0.5829843511740289
192,0,1281705,3500797,1277396,70588,38,0,0.0584354434132659
193,0,968179,3159997,1007898,159241,7,0,0.12345031239058069
194,1,897386,1082518,846309,185290,30,0,0.26339501619147165
195,1,1986530,9653396,6137025,439812,7,1,0.05
196,1,1168443,1425757,960462,53716,6,0,0.22397070289265286
197,0,1647833,2296785,883440,187119,5,0,0.5774323004819056
198,0,1491037,765965,228285,23610,35,0,0.8627297645866602
199,0,3698460,308947,55920,6870,5,0,0.95
200,0,2366669,278526,44919,3027,10,0,0.95
201,1,1458416,890712,564818,39155,25,0,0.6395658028984872
202,1,5489907,578010,412365,71301,8,0,0.9378743574344702
203,1,1830809,104250,76097,12209,29,0,0.95
204,0,4434665,236009,39077,4239,24,0,0.95
205,1,2206554,513885,234481,32955,36,0,0.9086693550214497
206,1,190628,1623357,666122,85023,3,0,0.05
207,1,4434097,716632,613752,116005,38,1,0.887745577058869
208,0,1376667,673827,115000,25578,29,1,0.9350445677858189
209,1,1141718,246322,109099,22149,11,0,0.92384284035112
210,1,1593348,748242,473562,24095,27,0,0.7179103372270214
211,1,851723,3112731,1362792,95273,16,1,0.05
212,0,1509107,865560,59863,8133,20,0,0.95
213,0,665386,138961,13977,3079,20,0,0.95
214,1,4300630,184116,120488,11734,29,0,0.95
215,0,1073475,1393971,104010,23484,11,1,0.9249856773562496
216,1,820292,569920,414990,29880,14,0,0.5305208389207745
217,1,476905,671965,493312,31829,20,0,0.05
218,0,1573441,371755,63557,14788,16,0,0.95
219,1,1450047,1269017,915933,75468,12,0,0.42038775294869757
220,0,1773427,523865,66146,9442,22,0,0.95
221,0,430519,594053,169013,19468,24,0,0.6526401854505841
222,1,242514,285973,170629,13569,36,0,0.3523672860123539
223,1,2248089,2010432,1134999,200239,7,0,0.5841979565755626
224,1,5307555,571919,296989,72089,32,0,0.95
225,1,430906,1423555,625267,113562,3,0,0.05
226,1,5893975,196231,128130,15470,28,0,0.95
227,0,1597437,4912391,813702,156523,9,0,0.5886041202250856
228,1,1194140,2973087,1688943,132834,9,0,0.05
229,0,808108,89252,17956,2980,7,0,0.95
230,1,301185,301905,204836,29474,22,0,0.4177598485980377
231,0,3229146,1233538,464355,56649,30,0,0.8737418500123562
232,1,553708,170808,117010,23157,25,0,0.8305009138390632
233,1,551387,631116,312375,23021,10,0,0.47522520480170916
234,1,3242730,1166239,1034817,162008,18,0,0.7308412973019647
235,1,182958,595288,501629,110799,8,0,0.05
236,0,262079,1319446,277893,25105,13,0,0.05
237,1,1180992,340216,177432,18259,15,0,0.8652209329106378
238,1,1612480,61784,31592,5753,4,0,0.95
239,1,1952721,2148599,1725346,352863,4,0,0.2971433195013522
240,1,889310,2133759,927244,98906,15,0,0.06856101921714586
241,0,15102482,11455726,1959577,239028,21,0,0.8860750835524915
242,0,957525,64350,18790,3720,35,0,0.95
243,0,954758,1665965,310500,33243,39,0,0.7096049470127509
244,1,541995,83654,62945,11534,27,0,0.9051448814103451
245,1,1361240,5036100,3790688,309952,20,0,0.05
246,0,2224318,1247501,346738,45860,31,0,0.8647324708067821
247,1,4007098,255986,164263,30837,39,0,0.95
248,0,271228,1720705,585207,83088,13,0,0.05
249,0,940347,396983,96746,5209,25,0,0.9026561471456813
250,0,1879852,1015059,249795,32792,25,0,0.8845637848085913
251,1,2163109,914887,554773,59730,37,0,0.7711428319146192
252,1,1210505,4968283,2358938,165730,5,0,0.05
253,0,2068685,5370429,1265177,65571,20,0,0.4201118101595941
254,1,535542,378135,251750,14879,11,0,0.5576985558555632
255,1,5711004,2335919,1327323,318357,22,1,0.8233294881250302
256,1,3245007,1077683,815691,163108,26,0,0.7988962735673606
257,0,313348,154206,48594,11562,19,0,0.8818182978669084
258,0,410403,339133,41185,3004,14,0,0.9069670543343982
259,1,422134,9528145,7988994,1311009,35,0,0.05
260,1,2368979,1081262,470837,31384,8,0,0.8144968781909844
261,1,332791,2190756,1539770,85243,32,0,0.05
262,0,863695,577666,103859,14878,8,1,0.8969763631837628
263,1,1894952,402747,225175,40366,25,0,0.9024729914003099
264,1,1125608,751623,611212,38330,9,0,0.49104661658410387
265,0,1557959,544316,185089,22768,28,1,0.895811763980952
266,0,414238,141127,13627,927,5,0,0.95
267,0,2180041,241915,89879,11003,27,0,0.95
268,0,651340,1589091,98515,14221,5,0,0.8705837197162772
269,1,869245,479855,274650,32273,17,0,0.7211637685577714
270,1,1525345,750335,499364,82519,6,0,0.7267208402033638
271,0,1333180,944504,210101,35069,23,0,0.8687109017537017
272,0,1231791,1029264,389822,45448,32,0,0.7204282219954521
273,0,567714,2574682,544747,69683,9,0,0.1631983710107554
274,0,891312,217822,81496,11263,15,1,0.9212026765038505
275,1,1205233,1365837,1209715,151372,9,0,0.12187684870892179
276,1,304040,1673671,1315255,265851,25,0,0.05
277,0,757263,2157448,858801,66977,9,0,0.05
278,1,1772107,154166,100675,22290,12,0,0.95
279,0,335227,965403,48761,5668,16,1,0.8714512852485032
280,0,3823136,4817104,348846,67952,7,0,0.9265278556661338
281,0,4280640,654068,229362,52009,21,0,0.95
282,1,346226,1241516,519009,118069,39,0,0.05
283,1,4674438,1721032,1078362,151480,35,0,0.8017126336898681
284,1,1041756,236093,151075,15307,16,0,0.8696738967666133
285,1,1827600,5483242,4018621,687795,5,0,0.05
286,1,731863,1263569,831714,72186,9,0,0.05
287,1,3026885,1291678,1073179,223349,32,0,0.7192394160993894
288,1,1805041,117215,68427,13156,29,0,0.95
289,1,532770,1748028,1057310,221113,38,0,0.05
290,1,375043,1273209,873091,119309,13,0,0.05
291,1,279203,4354021,2182937,352513,38,0,0.05
292,1,1451258,517936,309077,21803,18,0,0.8020517371824996
293,0,2131787,246120,39278,7365,19,0,0.95
294,1,2305863,344392,208668,30750,21,0,0.922841036089308
295,1,1068769,418538,357141,54231,37,0,0.716580477165786
296,1,378133,213047,150762,33076,4,0,0.6887708822028229
297,0,607996,3015197,237495,48559,29,0,0.6892479555786551
298,1,3806987,3142306,2022772,317653,3,0,0.552108005622294
299,1,740715,588086,460112,55683,4,1,0.4540018765652106
300,1,1388059,473526,341730,47598,17,0,0.7880983445228192
301,1,410179,99009,83428,10024,3,0,0.821043983236587
302,1,1683832,1568385,1215484,97628,8,0,0.33612379382266167
303,1,760944,4496384,1937073,347036,32,0,0.05
304,1,3425344,361886,165112,31091,29,1,0.95
305,0,2606601,641482,41006,10015,19,0,0.95
306,0,732555,1176107,112816,15922,26,0,0.8677314331347135
307,1,1059530,4861512,3373488,841545,24,0,0.05
308,1,693068,908685,723412,63240,17,0,0.05
309,0,290851,904351,202591,36735,23,0,0.42975612942709496
310,1,510199,888464,539958,134424,29,0,0.20514544324861472
311,1,1466248,152125,110006,19588,18,0,0.9383337607280624
312,1,1664873,148528,70076,9843,16,0,0.95
313,1,1395199,299900,228405,34957,6,0,0.8613473776859072
314,0,889368,2222580,516780,113227,26,0,0.5462474476257297
315,0,3057372,504391,167162,39754,15,0,0.95
316,0,1281500,407353,92617,13039,7,0,0.9379024580569645
317,1,2429640,399555,319157,65259,35,0,0.8954997448181623
318,1,204071,626922,410806,97253,39,1,0.05
319,1,23803,4743656,2037819,216873,10,0,0.05
320,1,1597240,617653,530753,78886,21,0,0.7170951140717738
321,1,289304,307144,240757,59968,12,0,0.3750898708624838
322,0,972425,749956,165878,20020,21,0,0.8500059130524205
323,0,889044,5028297,1017563,176992,33,0,0.05452261080441467
324,1,5881960,419531,369166,66969,16,0,0.9486230780216118
325,0,1794068,198967,36464,2947,27,0,0.95
326,0,1419562,420378,96850,20466,10,0,0.9461918535435578
327,1,2777303,840405,610618,80955,6,0,0.8092887236286426
328,1,1738438,1555122,840349,126106,7,0,0.5891466937561189
329,1,760950,2207943,1099242,196289,38,0,0.05
330,1,3511226,230893,123910,16368,8,0,0.95
331,1,396428,256291,140080,16111,32,0,0.6872849546449797
332,0,1661526,511146,35997,5733,39,0,0.95
333,1,255871,1548724,727947,86885,21,0,0.05
334,1,1474668,182406,143880,19686,20,0,0.9157817217163456
335,1,1458602,373973,247457,17738,23,0,0.8425074146340126
336,1,6429806,380021,225081,49281,39,1,0.95
337,0,251456,2055282,457682,60570,19,1,0.05
338,0,659417,1304182,87932,5852,33,0,0.8755264119669344
339,1,2737847,1971076,1101356,229087,23,0,0.6814033070511245
340,1,1681702,3180489,1955129,105430,13,0,0.05
341,1,1440218,521145,401025,68121,18,0,0.7688516599570343
342,1,462251,197570,140867,26839,11,0,0.7533201658839029
343,1,666091,198976,154005,13589,25,0,0.7891939689922248
344,1,4176737,96575,73057,5570,25,0,0.95
345,1,1142227,440363,355609,25880,5,0,0.711327958453092
346,1,1750408,477994,239400,59530,8,0,0.8972411003606017
347,1,1071758,1734637,1556943,312972,22,0,0.05
348,1,368396,743114,474021,53347,17,0,0.05
349,1,3059647,425337,322880,37812,32,0,0.9068297748073553
350,1,1989178,642037,474385,85258,34,0,0.8043779893001028
351,1,12062799,232612,158891,22488,8,0,0.95
352,0,435573,2253392,115290,12021,33,0,0.762912301726691
353,0,2737547,307273,17487,1074,18,0,0.95
354,1,323986,208162,127158,26292,31,0,0.688671732729192
355,1,1407529,1793483,831934,189385,24,0,0.5434914662504289
356,1,3193112,1371726,673404,61408,30,0,0.8083386990497045
357,1,151427,109529,82856,5193,17,0,0.4871258097961394
358,1,979764,1868229,751815,55427,23,0,0.2892288346989683
359,0,684737,322625,99511,13220,10,0,0.8739793526565673
360,1,596027,483344,346360,38054,3,1,0.48273148699639445
361,1,1767740,896023,555939,35964,32,0,0.7058532363356602
362,1,3688335,1390657,786667,110899,4,0,0.8167823692804477
363,1,1052544,1190670,551443,50062,26,0,0.52364841754834
364,1,1476945,690519,594385,37677,7,0,0.6230678867527226
365,0,1348237,457207,118471,21512,14,0,0.9280846023362361
366,1,1204775,1147897,652231,107292,7,0,0.5476840073872715
367,0,404601,640352,185146,39858,36,0,0.6409104278041824
368,0,3643460,5314183,1586315,175218,16,0,0.6127041328846756
369,1,1615565,1390327,684481,52817,14,1,0.6090135649138226
370,1,1784915,264142,209500,25565,29,0,0.8969502749430646
371,1,536858,431334,327727,67427,4,0,0.5151418065857265
372,1,759776,769127,499225,49097,38,0,0.4075516994482584
373,1,1008390,3046105,2567624,259330,5,1,0.05
374,0,259334,3444245,746259,59340,38,0,0.05
375,1,222340,471772,295321,73033,10,0,0.05
376,1,659509,261189,197278,48029,4,0,0.7736967956464582
377,0,2027919,226919,29799,5411,31,0,0.95
378,1,625847,962868,564566,52484,27,0,0.18177765492204967
379,0,434171,9194929,554676,112771,6,0,0.05
380,1,532487,1319816,769982,128422,12,0,0.05
381,1,762728,126335,80866,16166,19,0,0.9151729056754178
382,0,844196,328205,51909,11528,3,0,0.95
383,1,10485683,367211,214522,24390,5,0,0.95
384,0,3452539,295314,77457,18027,32,0,0.95
385,0,3351015,476068,61282,14077,7,0,0.95
386,0,3869285,1095076,59301,9454,13,0,0.95
387,1,442935,1544451,752719,140693,11,0,0.05
388,1,354206,2424024,2048098,270773,16,0,0.05
389,0,397571,1298373,169098,30610,21,0,0.651664734097809
390,0,4567635,85002,14148,2260,15,0,0.95
391,0,695793,227969,83052,9514,23,0,0.8943105205140034
392,1,344084,612985,408612,46813,4,1,0.05
393,1,781526,857698,411288,74168,32,0,0.5686387912878139
394,0,947322,1881462,205508,49594,25,0,0.8354160464973894
395,1,1572871,764901,565816,51098,29,0,0.672752565213549
396,0,1545643,771257,173253,22264,3,1,0.9023131473438563
397,0,525349,947495,203930,43058,9,0,0.6937807057784444
398,1,2387258,550992,221880,16552,4,0,0.9139900253763942
399,0,634635,802569,111298,27694,25,1,0.8682644354629039
400,0,1028614,2516590,771596,143229,33,0,0.38911292282624965
401,1,2389928,665103,475618,110419,31,1,0.847192467722877
402,0,632970,705573,185897,40453,16,0,0.7702197576504416
403,1,680544,702960,291760,59935,7,0,0.6593533996332346
404,0,2173106,3040556,1042795,59001,13,0,0.5472866947125451
405,1,510051,215591,175234,23008,35,0,0.7015474923095926
406,0,818483,5144463,1436118,129785,31,0,0.05
407,1,2096421,199981,121497,27247,8,0,0.95
408,1,9380019,355172,225361,41930,9,0,0.95
409,0,2203162,1654835,309468,22100,12,0,0.8695656515499087
410,1,1929245,2265595,1450008,176784,22,0,0.3400402748225342
411,1,2044781,155772,69418,4433,11,0,0.95
412,0,411189,219263,72635,14381,19,0,0.8583279221963622
413,0,1349975,990165,353613,47265,38,0,0.773071353173207
414,1,1167334,9615253,6287718,609117,8,0,0.05
415,1,1658766,2873062,1192219,183051,3,0,0.3916152127545416
416,1,1351205,555205,300814,17570,13,0,0.7903767378007038
417,1,1758021,50968,35860,3638,19,0,0.95
418,1,880753,797954,460679,39185,11,0,0.5214390413657404
419,0,1275194,1086559,380155,89765,18,0,0.7722777867524471
420,0,352276,478798,54878,6882,29,0,0.8637545560867047
421,0,873350,286130,30117,5026,7,1,0.95
422,0,4832302,868985,281455,42383,10,1,0.95
423,1,1654167,258722,206956,37633,11,0,0.8976385092919881
424,1,1177705,5721225,5018631,531087,15,0,0.05
425,1,8009374,3868662,1943573,144127,5,0,0.7753325041382759
426,1,308403,1504097,1166369,77318,29,0,0.05
427,1,396544,805067,451505,40039,39,0,0.05
428,0,6667205,352857,34311,5028,22,1,0.95
429,1,1259166,712926,418449,40675,35,0,0.6999807809295995
430,1,943561,4426974,2411418,329882,15,0,0.05
431,1,362505,1896497,1667774,93162,26,0,0.05
432,0,1881718,912607,330980,58090,26,0,0.8549782698576514
433,1,2072901,2015487,1570637,354386,22,0,0.41326141479983847
434,1,402522,1329311,980148,58336,29,0,0.05
435,1,1045205,1127942,622329,58254,20,0,0.4603211810123373
436,0,859825,2144934,840599,95453,30,0,0.13337481464251444
437,1,1553431,1288166,607333,65256,38,1,0.6510453312699438
438,0,392679,1875538,137539,7987,35,0,0.670081669760797
439,0,4205683,871111,144519,10306,34,1,0.95
440,1,3005107,551535,422603,98251,9,0,0.8920664056221626
441,1,836368,399121,329159,63288,17,0,0.682112419413464
442,0,968575,350094,34740,8396,16,0,0.95
443,1,1049241,124780,73867,10200,37,0,0.9393208995836038
444,1,552214,267497,151244,34151,33,0,0.7879572049966136
445,0,771869,259123,92306,19689,33,0,0.9059205642408232
446,0,917795,417450,162765,36620,28,0,0.8625564532384683
447,0,6033684,4067213,741658,42890,27,1,0.8841888305718364
448,0,3099087,613344,178331,32189,8,0,0.95
449,1,3062232,951641,443632,72456,29,0,0.8787890662758406
450,1,1740922,985250,458988,72998,34,0,0.7782841505822777
451,0,393435,4182162,516319,77900,14,0,0.05
452,1,1153727,387261,302236,63226,32,0,0.792836606926942
453,1,3173953,571046,322928,78668,26,0,0.9230423386861746
454,0,341716,648995,164135,35417,26,1,0.6233187793372275
455,1,2272868,2546392,2009223,450224,24,0,0.31408291198608984
456,1,12269281,3199535,1508989,221490,6,0,0.8950632070453028
457,1,3477473,1229406,754353,141910,21,0,0.8238827447402179
458,1,4945700,2831169,2186776,291088,27,0,0.6166997593869422
459,1,1496049,886846,609188,74355,7,0,0.6425030196203467
460,1,3165849,603279,408419,93550,6,0,0.9005420031088027
461,1,586628,2667351,1276945,295028,31,0,0.05
462,1,2665397,1247159,611689,114045,11,0,0.813294604893755
463,0,2313768,324784,59789,13008,36,0,0.95
464,1,1607050,2185080,899779,109838,10,0,0.5084527550480695
465,0,4483916,579927,80654,11029,13,0,0.95
466,1,701667,506912,291593,62460,36,0,0.6734448107150544
467,1,997435,1947982,1184973,153584,34,0,0.05
468,0,1323065,661512,76736,4450,34,0,0.9453647402055076
469,1,429505,1118897,938011,113180,7,0,0.05
470,0,1508961,1510775,580240,75225,34,0,0.6653226955501169
471,1,215576,308279,192660,15591,7,0,0.17862378001261736
472,0,3426173,1113852,249729,29674,34,0,0.9357723617575645
473,1,1260019,3218482,1899499,449961,3,1,0.05
474,0,714334,254711,59127,13108,8,0,0.9355777549437658
475,1,522106,1196486,692545,96391,27,0,0.05
476,0,951144,292899,98966,18999,29,0,0.9159254539796288
477,1,2393481,2243476,1250711,100519,16,0,0.5194480340558375
478,1,2079709,2220174,974257,195348,11,0,0.6254721213400529
479,0,593897,493977,39985,5804,30,0,0.9424462490970656
480,1,516050,8290256,4037794,785406,26,0,0.05
481,1,2319584,2463978,1295606,231660,11,1,0.5413203401989322
482,0,583997,1587422,224773,21702,38,0,0.6522738986672877
483,1,1276853,1492065,1052837,228400,39,0,0.3543211317199396
484,1,1361033,2152885,1892705,311227,36,0,0.05
485,1,1643045,243968,139018,28754,5,0,0.9328904564391115
486,0,2837036,903533,289570,19921,23,0,0.9049539730902252
487,1,340114,1111820,844846,146217,39,0,0.05
488,1,177875,469700,323600,35070,38,0,0.05
489,0,681841,1216240,354491,78760,4,0,0.5956080669833583
490,0,7286460,2827387,651397,156270,19,0,0.9320483472083838
