cust_id,age,income_monthly,sector,employment_type,loan_type,loan_amt,ltv_ratio,loan_tenure_months,interest_rate,bureau_score,dpd_12m_max,dpd_30_plus_count,utilization_ratio,installment_to_income,region,flood_risk_index,heatwave_days,storm_severity_index,drought_severity_index,sea_level_rise_mm,co2_intensity_sector,carbon_tax_exposure,energy_price_shock,ev_transition_risk,climate_hazard_score,transition_risk_score,climate_total_score,climate_pd_uplift,default_flag
95,43.0,12730,Services,Salaried,Auto,67200,0.634,76,0.0775,563,0,0,0.541,0.9,Inland_Hot,32.8,48.3,2.76,3.95,1.1,0.55,2.59,5.45,9.78,1.687,11.225,5.502,1.372,0
96,42.0,8000,Services,Self-Employed,Auto,90340,0.931,67,0.05,600,2,1,0.602,0.9,Inland_Hot,27.65,67.3,4.42,8.54,1.43,0.236,1.44,3.35,8.28,1.953,7.836,4.306,0.918,1
97,52.0,31420,Construction,Salaried,Auto,136980,0.745,56,0.0524,659,2,1,0.09,0.9,Coastal_Low,42.36,33.2,4.29,0.67,10.08,0.773,4.02,8.78,8.73,1.905,13.403,6.504,1.752,0
98,39.0,18540,Services,Salaried,Mortgage,860650,0.796,243,0.0625,397,2,1,0.272,0.9,Inland_Normal,17.66,38.4,1.58,5.56,1.47,0.324,0.84,14.11,1.7,1.169,6.9,3.462,0.7,0
99,39.0,11330,Transport,Contract,Mortgage,449440,0.505,263,0.0443,710,0,0,0.043,0.9,Inland_Hot,37.37,52.4,8.28,4.89,3.88,0.575,3.3,10.45,2.07,2.055,8.744,4.731,1.079,0
100,34.0,17260,Manufacturing,Salaried,Mortgage,687650,0.943,245,0.03,900,3,2,0.169,0.9,Coastal_Low,41.21,23.3,8.59,3.0,4.59,0.965,5.0,11.75,3.54,1.712,12.549,6.047,1.578,0
101,25.0,9550,Transport,Salaried,Mortgage,1153980,0.812,284,0.0782,524,1,0,0.73,0.9,Inland_Hot,19.28,65.6,3.59,6.02,2.38,1.054,5.0,7.37,1.0,1.688,9.973,5.002,1.182,0
102,43.0,17470,Manufacturing,Self-Employed,Auto,133280,0.685,26,0.0612,566,3,3,0.594,0.9,Coastal_High,76.2,45.1,14.48,3.98,9.24,0.84,4.14,11.24,9.93,3.161,15.163,7.962,2.0,0
103,35.0,20190,Construction,Self-Employed,Mortgage,685270,0.924,300,0.0571,661,0,0,0.756,0.9,Inland_Normal,14.08,40.0,3.75,4.69,2.01,0.434,2.25,9.62,1.93,1.147,7.142,3.545,0.7,0
104,25.0,22670,Construction,Self-Employed,Auto,113500,0.512,28,0.0523,761,0,0,0.464,0.9,Inland_Hot,7.43,60.2,3.23,9.43,2.16,0.735,2.58,7.63,9.84,1.348,12.459,5.792,1.482,0
105,39.0,18830,Services,Self-Employed,SME,298140,0.98,70,0.0899,634,0,0,0.878,0.9,Inland_Normal,27.42,19.8,5.87,5.14,1.18,0.232,1.91,4.0,1.0,1.206,4.023,2.333,0.7,0
106,38.0,13900,Manufacturing,Salaried,Mortgage,681510,0.697,179,0.0469,668,0,0,0.198,0.9,Coastal_High,76.48,19.1,14.29,1.37,6.48,0.5,2.55,9.35,3.2,2.666,8.266,4.906,1.146,0
107,37.0,22600,Transport,Salaried,Mortgage,1029600,0.548,181,0.083,654,2,2,0.575,0.9,Inland_Hot,24.41,39.3,2.96,8.57,1.11,0.453,2.25,12.81,1.0,1.415,7.6,3.889,0.759,0
108,40.0,12030,Services,Salaried,Auto,176310,0.633,47,0.0588,643,0,0,0.877,0.9,Coastal_Low,42.38,34.0,11.73,3.78,9.34,0.572,2.77,7.55,5.39,2.095,9.433,5.03,1.193,0
109,27.0,16900,Services,Contract,Mortgage,764570,0.561,219,0.0763,715,1,1,0.189,0.9,Inland_Hot,24.7,53.4,5.43,5.31,0.07,0.464,2.87,2.86,2.86,1.608,6.267,3.472,0.7,0
110,47.0,11200,Construction,Contract,Mortgage,903000,0.839,196,0.0767,697,4,4,0.763,0.9,Coastal_High,63.34,33.1,11.52,0.65,8.47,0.624,2.48,8.25,2.95,2.531,8.095,4.757,1.089,0
111,43.0,16440,Transport,Salaried,Mortgage,998090,0.668,300,0.0597,832,3,3,0.869,0.9,Coastal_Low,30.01,29.0,9.67,4.52,11.58,0.683,3.68,13.22,1.04,1.735,9.583,4.874,1.133,0
112,49.0,27270,Services,Salaried,Mortgage,745370,0.446,249,0.065,794,1,1,0.585,0.9,Coastal_High,77.07,40.0,7.87,0.76,10.72,0.528,2.01,10.03,2.16,2.964,7.503,4.78,1.098,0
113,35.0,20430,Construction,Salaried,SME,483460,0.518,95,0.0447,583,0,0,0.546,0.9,Inland_Hot,37.98,51.7,5.01,7.08,2.4,0.458,1.64,0.0,1.77,1.991,3.749,2.694,0.7,0
114,43.0,21690,Services,Self-Employed,SME,408550,0.504,58,0.0656,673,1,1,0.218,0.9,Inland_Normal,15.96,34.1,7.01,4.7,1.2,0.297,1.72,6.44,2.55,1.151,5.729,2.982,0.7,0
115,25.0,23420,Services,Salaried,Auto,159010,0.844,74,0.0838,727,1,1,0.21,0.9,Coastal_Low,51.2,20.8,6.16,2.09,11.64,0.451,2.63,12.1,9.27,2.038,12.65,6.283,1.668,0
116,33.0,14590,Services,Self-Employed,SME,104150,0.764,94,0.0621,663,1,1,0.177,0.9,Coastal_Low,46.84,41.7,6.93,5.31,10.44,0.248,1.72,6.87,1.0,2.276,4.782,3.278,0.7,0
117,28.0,10580,Construction,Contract,SME,253120,0.582,98,0.0638,558,0,0,0.263,0.9,Coastal_Low,44.31,26.7,1.76,0.4,9.83,0.625,3.42,3.53,1.0,1.796,6.266,3.584,0.7,0
118,41.0,8000,Construction,Contract,Mortgage,1092940,0.667,194,0.0767,626,3,3,0.74,0.9,Inland_Normal,15.33,46.9,2.57,2.03,0.6,0.893,4.71,3.07,2.15,1.183,8.659,4.173,0.867,1
119,30.0,9720,Manufacturing,Salaried,SME,490730,0.714,121,0.0575,674,0,0,0.286,0.9,Coastal_High,82.28,45.6,5.38,3.31,9.36,0.845,4.56,4.36,2.49,3.132,8.987,5.474,1.361,0
